accx,accy,accz
-0.0045,-0.0514857,1.0181286
-0.006875,-0.0548,1.011375
-0.0007,-0.054325,1.0098
0.00235,-0.056775,1.00975
0.0029,-0.05655,1.017375
0.0026,-0.0531,1.018725
0.005875,-0.05535,1.0112
0.00575,-0.054475,1.0155
0.0086,-0.0553,1.0165333
0.00586,-0.05588,1.01328
-0.00075,-0.052225,1.0225
0.006325,-0.05605,1.0233
0.0111,-0.0590667,1.024
0.01402,-0.05666,1.02622
0.0293333,-0.0522667,1.0183
0.02815,-0.052625,1.0113
0.01936,-0.05454,1.00742
0.0267,-0.0513667,1.0164
0.024975,-0.047825,1.01615
0.008275,-0.04435,1.005925
0.014325,-0.047,1.0118
0.0269,-0.05225,1.017325
0.024325,-0.054325,1.016325
0.022275,-0.054225,1.01885
0.00065,-0.048875,1.022525
-0.00535,-0.0496,1.015675
0.00625,-0.04835,1.0103
0.02215,-0.046625,1.01025
0.0423,-0.047675,1.0105
0.049175,-0.043475,0.9963
0.0498,-0.04925,1.0038
0.04495,-0.04955,1.017675
0.055575,-0.0498,1.0227
0.050325,-0.0473,1.030025
0.03695,-0.0492,1.025
0.026475,-0.052,1.01305
0.018375,-0.049175,0.997875
0.0159,-0.046875,0.997
0.01525,-0.043175,1.0073
0.02055,-0.0438,1.003275
0.025025,-0.048775,0.9977
0.0132333,-0.0510667,1.0107667
0.02792,-0.05714,1.02114
0.061875,-0.065175,1.034625
0.08565,-0.0718,1.02975
0.0935,-0.0771333,1.0365333
0.09222,-0.07956,1.04062
0.09085,-0.0833,1.018525
0.085825,-0.077775,0.992075
0.08885,-0.071675,0.9853
0.1045,-0.0599333,0.9893333
0.09862,-0.04658,0.9967
0.088325,-0.03985,1.0051
0.075025,-0.05055,1.014075
0.077725,-0.0396,1.05525
0.0885667,-0.0913,1.0330333
0.05888,-0.05912,0.9946
0.084725,-0.058475,1.031075
0.147175,-0.08195,0.942525
0.0926,-0.030375,1.036525
0.0857333,-0.0458333,0.9968333
0.08504,-0.05354,0.99996
0.1019,-0.054225,1.048075
0.113675,-0.0553,1.04455
0.076275,-0.051,1.006875
0.0755667,-0.0535,0.9879
0.0671,-0.04786,1.00494
0.08315,-0.051875,1.0102
0.09295,-0.05365,1.008625
0.095175,-0.04655,1.003875
0.1019,-0.0496667,0.9805333
0.1066,-0.05718,0.9952
0.0793333,-0.0515333,0.9851667
0.086375,-0.06135,0.9976
0.094275,-0.054625,1.026125
0.10015,-0.054575,1.034175
0.09436,-0.05304,1.04518
0.1079,-0.0628,1.0288667
0.107575,-0.068225,1.014375
0.1107,-0.074075,1.002225
0.099425,-0.069175,0.999125
0.0969,-0.0669,1.009375
0.09965,-0.065225,1.019275
0.103175,-0.065575,1.0141
0.11135,-0.0674,1.01005
0.11295,-0.06135,1.007725
0.117025,-0.057125,1.008075
0.116825,-0.06275,1.009125
0.11885,-0.068875,1.0089
0.1167,-0.06915,1.00325
0.115875,-0.06685,0.99745
0.118025,-0.064575,0.995925
0.117875,-0.065225,1.00255
0.113325,-0.062325,1.007675
0.112975,-0.063,1.007775
0.1172,-0.065025,1.008525
0.1168,-0.06275,1.00625
0.1196,-0.065075,1.0026
0.1175,-0.064725,1.003775
0.117325,-0.064525,1.00475
0.115625,-0.0616,1.005275
0.1142,-0.06325,1.006475
0.1126,-0.064525,1.0078
0.113875,-0.06465,1.007425
0.115625,-0.0669,1.0098
0.114225,-0.0641,1.0129
0.11525,-0.061775,1.011775
0.11985,-0.0613,1.010225
0.1179,-0.063725,1.000775
0.11375,-0.06595,1.001325
0.110075,-0.0659,1.00875
0.10725,-0.0639,1.0097
0.107575,-0.0621,1.0101
0.111325,-0.061725,1.009625
0.103975,-0.057775,1.015075
0.1152333,-0.0622333,1.0154
0.12388,-0.06494,1.00518
0.1251,-0.06655,1.003625
0.126825,-0.070525,1.00485
0.127175,-0.0679,1.005275
0.124875,-0.067325,1.0027
0.125225,-0.063,1.00875
0.12975,-0.0663,1.00675
0.13215,-0.070075,0.993175
0.135075,-0.067025,0.99855
0.127425,-0.06495,1.0038
0.132625,-0.0672,1.00305
0.1397,-0.0677,1.0018
0.128175,-0.066425,1.0073
0.12566,-0.06748,1.00376
0.1298,-0.0652333,1.0050667
0.1281,-0.066175,1.0084
0.127475,-0.065125,1.009725
0.13386,-0.0687,1.00246
0.1293333,-0.0658,1.0059
0.131575,-0.0674,1.00425
0.1327,-0.0665,1.00085
0.13625,-0.066375,1.003375
0.13125,-0.065,1.003925
0.132475,-0.0653,1.010025
0.135225,-0.06795,1.00775
0.135525,-0.070225,1.001125
0.129625,-0.06405,1.0131
0.13335,-0.0609,1.017825
0.137875,-0.067575,1.00205
0.1381333,-0.0715,1.0035333
0.14198,-0.06854,1.00208
0.13735,-0.06935,1.003375
0.1402,-0.068675,1.0128
0.133325,-0.0669,1.0227
0.1358,-0.0653,1.015925
0.13535,-0.066225,1.002025
0.141675,-0.06575,0.996025
0.147,-0.067275,0.9936
0.151375,-0.067225,1.000425
0.1497333,-0.0669667,1.0029
0.14682,-0.06834,0.99816
0.148275,-0.0659,1.0023
0.1484,-0.0661,1.008275
0.147725,-0.06405,1.009375
0.1544333,-0.0666333,1.0019
0.15188,-0.0676,1.00194
0.148775,-0.06755,1.0037
0.14925,-0.069075,1.0013
0.151525,-0.06855,1.001425
0.1507333,-0.0680667,1.0029667
0.15364,-0.0692,1.00018
0.15215,-0.0657,1.0013
0.152575,-0.068225,0.999275
0.15315,-0.0702,0.9969
0.1547,-0.0689667,0.9978333
0.15362,-0.067,0.99988
0.154725,-0.06675,1.00135
0.15745,-0.0674,1.00235
0.1553333,-0.0680333,1.0038667
0.1564,-0.06768,1.00586
0.1553,-0.067725,1.00485
0.154025,-0.067275,1.0038
0.155725,-0.069975,1.00065
0.1526,-0.066475,1.0037
0.1537333,-0.0655,1.0056333
