accx,accy,accz
0.98058,0.00556,0.11396
0.981775,0.00945,0.139325
0.97948,0.00554,0.12274
0.98085,0.00305,0.128225
0.973975,0.007625,0.12915
0.9716,0.0051333,0.1328333
0.9768,0.00512,0.12826
0.98645,-0.00035,0.1187
0.9809667,0.00255,0.1220667
0.97825,0.00955,0.123775
0.9670333,0.0160667,0.1239667
0.9737,0.01655,0.126725
0.9807,0.0129667,0.1298
0.97724,0.00948,0.12616
0.985975,0.004475,0.11315
0.9832,0.00585,0.11485
0.979,0.0105,0.128425
0.9786667,0.0153333,0.1073333
0.97654,0.0124,0.11084
0.9817,0.008125,0.13
0.9843,0.0056,0.123575
0.9925,-0.00065,0.09835
0.9839667,0.0037,0.0960333
0.97372,0.00906,0.11316
0.976875,0.009,0.116025
0.97955,0.012725,0.092525
0.98335,0.00985,0.0959
0.9803667,0.0041667,0.0988333
0.98852,-0.00266,0.09886
0.979475,0.006525,0.077725
0.9746,0.01305,0.063425
0.970675,0.02205,0.0857
0.9962,0.0145333,0.0991
0.99462,0.00758,0.07954
0.97765,0.0033,0.08185
0.973575,0.007125,0.096025
0.980875,0.008775,0.091625
0.9799,0.0059,0.0886
0.9772,0.0052,0.09198
0.9862,0.006225,0.09625
0.97535,0.006375,0.093475
0.9633,0.00715,0.080025
0.9695333,0.0017,0.0829
0.98698,0.00414,0.10322
1.001925,0.003975,0.065525
1.009325,0.002925,0.01995
1.0023667,0.0042667,0.0438
0.992775,0.0156,0.065475
0.9894333,0.0245333,0.0408333
0.9827833,0.0237667,0.0556833
0.988825,0.0321,0.0728
0.9947333,0.0222,0.0725333
0.99135,0.014225,0.06465
0.9878,0.017275,0.076425
0.98482,0.0165,0.06622
0.9789,0.021925,0.075825
0.9839,0.015025,0.074625
0.9812667,0.0057333,0.09
0.970025,0.008625,0.107925
0.9785,0.00562,0.08262
0.990925,0.003775,0.051475
0.9836333,0.0049,0.0830667
0.969025,0.010625,0.08355
0.976025,0.00915,0.0784
0.983525,0.00865,0.060325
0.9922,0.0093,0.05865
0.9988,0.011225,0.05945
0.9928,0.0175,0.0641333
0.97834,0.021,0.05876
0.97985,0.01715,0.058575
0.98375,0.013625,0.078575
0.987175,0.00585,0.069175
0.98505,0.0061,0.05675
0.97635,0.01105,0.0864
0.97895,0.01145,0.104075
0.9809,0.007875,0.094875
0.982825,0.01075,0.0736
0.9817,0.013625,0.0486
0.978125,0.019425,0.06915
0.98145,0.01895,0.090475
0.98255,0.0196,0.084375
0.99215,0.011025,0.061925
0.9947333,0.0129333,0.0638333
0.98322,0.01958,0.09002
0.974975,0.02015,0.1005
0.9721,0.013725,0.09125
0.979475,0.009375,0.079975
0.9840333,0.0109333,0.0767667
0.9839667,0.0144333,0.0871333
0.9807833,0.01435,0.0930333
0.9898,0.0101,0.078675
0.9901,0.007025,0.06625
0.9833333,0.0109333,0.0917667
0.9832333,0.0102,0.0918
0.9780167,0.0117833,0.0808833
0.98225,0.011675,0.08185
0.98805,0.008125,0.079975
0.9894333,0.0067667,0.0803
0.9896,0.0081667,0.0821667
0.9830333,0.01325,0.0786167
0.980325,0.01025,0.085375
0.9866667,0.0054667,0.0901333
0.991875,0.00055,0.076475
0.9887,0.0033,0.0594333
0.9815667,0.0085667,0.059
0.9758429,0.0147429,0.0681143
0.9786667,0.0146,0.0675
0.98275,0.013175,0.060775
0.9910667,0.0099667,0.0579
0.9922,0.0083667,0.0601167
0.985425,0.01275,0.067525
0.9798333,0.0176,0.0687
0.9794,0.01768,0.06444
0.97855,0.01545,0.0642
0.9793667,0.0158333,0.0817
0.9849714,0.0149857,0.0816286
0.98715,0.016175,0.0678
0.98575,0.014975,0.054625
0.9833,0.01645,0.05285
0.97695,0.021275,0.06885
0.9760667,0.0246167,0.0838167
0.9852,0.0203667,0.0714333
0.9921333,0.0187333,0.0587667
0.9905,0.0187,0.061925
0.9790667,0.0213167,0.0783833
0.9775333,0.0202333,0.0722333
0.9806,0.021025,0.0719
0.985,0.0201,0.078375
0.9919,0.0174,0.07005
0.9897,0.017025,0.0757
0.9785,0.02295,0.079
0.975575,0.0231,0.06895
0.9768667,0.0261667,0.068
0.9827,0.02724,0.07136
0.98435,0.02015,0.068575
