accx,accy,accz
0.99528,0.05722,-0.00334
0.96428,0.05382,0.0156
0.973,0.039925,0.006025
0.96635,0.025075,-0.022025
0.94965,0.013175,0.0136
0.94165,0.00355,0.040675
0.9491667,0.0069333,0.0407
1.0133,0.01002,0.06346
1.063275,0.0105,0.09675
1.0615,0.0111,0.106
1.009625,0.027875,0.093175
0.942,0.0258333,0.0482667
0.90952,0.03188,0.06726
0.8715,0.0512,0.05455
0.8877667,0.0430333,0.0579
0.91876,0.05228,0.09474
0.920075,0.084625,0.122475
0.92455,0.095025,0.1579
0.96445,0.0985,0.2476
1.006375,0.08005,0.2958
1.02705,0.063375,0.27485
1.030625,0.0627,0.196375
1.0427,0.07205,0.182
1.0428333,0.0971,0.1756833
1.02805,0.11005,0.1423
0.9939333,0.1120667,0.1608667
0.94228,0.08866,0.16288
0.907625,0.070725,0.160075
0.926575,0.067575,0.1503
0.978275,0.076975,0.218
0.952425,0.102475,0.238025
0.92475,0.130525,0.2284
0.934325,0.15985,0.27815
0.921575,0.16645,0.29405
0.921925,0.154175,0.307675
0.9369667,0.1279667,0.3099667
0.99814,0.10402,0.32622
1.042675,0.10465,0.325375
1.064325,0.125025,0.328425
1.088675,0.1428,0.31395
1.1138667,0.1447333,0.2958
1.09452,0.1382,0.31448
1.0272,0.12105,0.32525
0.983475,0.09055,0.272625
0.99565,0.070075,0.147675
1.08025,0.13785,0.002925
1.12635,0.250075,-0.123275
1.083925,0.2728,-0.259125
1.0738333,0.2031667,-0.0778667
0.9691,0.14325,0.019775
0.867825,0.072225,-0.06645
0.833225,0.0196,-0.144875
0.839775,0.016975,-0.090175
0.8811,0.07675,0.02055
0.93485,0.13715,0.12385
0.9427,0.1656,0.1844
0.92675,0.1176,0.122475
0.940975,0.076925,0.02625
0.899225,0.063375,0.076175
0.869275,0.050175,0.1028
0.912025,0.0162,0.0984
0.888075,-0.004525,0.174675
0.8867,-0.0291333,0.1987333
0.89662,-0.0098,0.20856
0.936025,0.0014,0.223425
0.915375,0.02425,0.1996
0.8918,0.052625,0.131375
0.982575,0.068675,0.147775
0.984975,0.0688,0.233525
1.013725,0.05975,0.302875
1.08825,0.063925,0.294675
1.073725,0.02975,0.2074
1.174475,-0.02835,0.17015
1.169275,-0.016475,0.3002
1.15835,-0.003175,0.556975
1.263825,0.035625,0.489875
1.1911,0.116575,0.11015
0.994075,0.1925,-0.24005
0.888475,0.22285,-0.419925
0.898925,0.24115,-0.380175
0.95585,0.278225,-0.078925
1.0331,0.3102,0.1415
0.934225,0.319425,0.18505
1.02,0.27125,-0.003475
0.947575,0.195375,-0.089625
0.79685,0.1406,-0.108525
0.7572,0.1189,-0.0824
0.765825,0.12245,0.0092
0.883,0.095875,-0.03975
0.95485,0.091775,0.001675
0.8231667,0.1152333,0.0227
0.79474,0.13572,-0.01822
0.75645,0.13665,0.02295
0.8146,0.1373,0.055225
0.88965,0.13205,0.084775
0.903375,0.1222,0.144375
0.947575,0.09005,0.14535
0.9947333,0.0607,0.1922333
1.05794,0.04214,0.21562
1.11785,0.037625,0.14045
1.15235,0.052075,0.1679
1.229725,0.054025,0.244975
1.1740333,0.0691,0.2567667
1.08185,0.0518,0.22655
1.1291,-0.001475,0.062925
1.19136,0.14008,-0.2575
1.197875,0.322425,-0.1937
1.2904,0.3589,-0.12205
1.34664,0.25904,-0.24402
1.170625,0.1502,-0.36595
0.939425,0.002075,-0.290225
0.8462,-0.06595,-0.2551
0.81865,-0.0085,-0.271575
0.8374,0.0511,-0.167425
0.8198,0.10325,0.043425
0.808025,0.107625,0.0942
0.785825,0.103825,-0.014875
0.710225,0.1238,-0.013775
0.6877,0.134575,0.00975
0.862575,0.068375,0.011025
0.936525,0.04335,0.036
0.9249,0.01125,0.068175
0.909675,-0.0264,0.040225
0.902425,-0.075325,0.046075
0.88035,-0.0368,0.105
0.90615,-0.019175,0.1523
0.98565,0.0253,0.16435
1.068225,0.0759,0.172175
1.08915,0.105825,0.189
1.12565,0.071625,0.1434
1.154625,0.0436,0.11455
1.169725,0.044,0.180125
1.240175,0.0872,0.321825
1.273725,0.15025,0.176825
1.0253,0.280725,-0.1594
0.91085,0.28,-0.3226
1.02555,0.1925,-0.253025
1.16115,0.091125,-0.175675
1.18855,0.108525,-0.10135
1.095125,0.1875,-0.00675
1.057725,0.2019,0.055175
0.9686,0.154225,0.0455
0.829575,0.16855,-0.04325
0.77225,0.121425,-0.03215
0.749875,0.042175,0.040825
0.7225,0.0161333,0.1158333
0.72116,0.03694,0.16062
0.6998667,0.0719667,0.1118333
0.6989,0.09178,0.04438
0.7463,0.1123,0.0872333
0.81994,0.12742,0.17752
0.874175,0.1415,0.214
0.8703,0.1266333,0.2281667
0.92616,0.11556,0.20112
1.05355,0.074,0.2477
1.1578333,0.0691667,0.2221667
1.23878,0.08124,0.17136
1.3277333,0.1010667,0.1889
1.36054,0.07714,0.3399
1.2118,0.0578667,0.4022333
1.0775,0.037775,0.34005
1.05704,-0.02176,0.26828
1.0214,0.0109333,-0.0971667
1.026675,0.1468,-0.37715
1.11145,0.26655,-0.316275
1.17925,0.3356,-0.269925
1.1274,0.2895,-0.21788
0.833675,0.139025,-0.1524
0.6955333,0.064,-0.0766333
0.732425,0.038525,0.0317
0.909025,0.0946,0.012975
0.96915,0.167625,-0.037975
0.91622,0.08116,0.02816
0.8132333,0.0117333,0.1135333
0.739825,-0.00085,0.121775
0.7072,0.020975,0.07065
0.739625,0.013,-0.00165
0.85255,-0.022275,0.061075
0.8987,-0.019125,0.11305
0.97485,0.0131,0.103625
1.0184,0.007575,0.12505
1.04375,-0.005575,0.16445
1.034125,-0.023875,0.145475
1.036475,-0.03795,0.179575
1.07005,-0.0134,0.215575
1.0571,0.03035,0.22455
1.0417,0.01465,0.213675
1.04455,-0.0327,0.223825
1.1408,-0.01225,0.305875
1.28785,0.0833,0.284625
1.20015,0.20795,-0.0004
1.01045,0.2052,-0.217875
1.068325,0.173975,-0.2848
1.1156667,0.1705333,-0.2495333
1.11735,0.171825,-0.149125
1.1043333,0.1558,-0.0429
1.01895,0.2876667,0.0660833
1.002275,0.18845,0.048
0.9651333,0.1344667,-0.0224
0.91346,0.09472,-0.05462
0.841675,0.035875,-0.05525
0.804875,0.041225,0.031075
0.787725,0.04915,0.1343
0.737425,0.0547,0.09315
0.709075,0.0713,0.045
0.70635,0.073325,0.0335
0.704875,0.12045,0.0784
0.7673333,0.1646333,0.0987
0.88298,0.15128,0.17562
0.9843,0.150025,0.217025
1.057725,0.184225,0.16205
1.113225,0.1853,0.105975
1.2000333,0.1416333,0.0573
1.33442,0.09242,0.0998
1.3697,0.0617667,0.2359333
1.1729,0.06104,0.36238
1.0565,0.0206667,0.3449333
1.049,0.01098,-0.0734
1.0402,0.1177667,-0.4714667
1.099825,0.238875,-0.3832
1.204175,0.2914,-0.250875
1.134525,0.263925,-0.3275
1.014025,0.1538,-0.263375
0.89815,0.0636,-0.1973
0.831675,0.008375,-0.109975
0.9023,0.0284,-0.102125
0.983575,0.053775,-0.15525
0.9329,0.0964,-0.037475
0.772075,0.109075,0.07525
0.619875,0.11575,0.073125
0.6432,0.079925,0.0291
0.730825,0.029475,0.02675
0.778075,-0.010775,0.083575
0.8539,-0.037025,0.08675
0.8890667,-0.0578333,0.0799667
0.93016,-0.06404,0.07548
1.001375,-0.049125,0.099575
1.0485,-0.027775,0.1325
1.08565,-0.0203,0.1583
1.14105,0.0066,0.172975
1.163975,0.0141,0.18035
1.142525,0.0281,0.156425
1.126575,0.01925,0.19
1.168075,0.03805,0.2845
1.168525,0.122525,0.19845
1.029125,0.2156,-0.159575
0.9602,0.188075,-0.345425
1.013575,0.15355,-0.3507
1.011675,0.1153,-0.180125
0.9428,0.168225,-0.087975
0.88155,0.2684,-2.5e-05
0.93185,0.305525,0.162875
1.027475,0.24425,0.104525
1.0432667,0.2117667,-0.0597667
1.06046,0.17362,-0.10792
1.063825,0.066225,-0.0428
0.946,0.026475,0.086925
0.832325,0.023575,0.095825
0.74885,-0.0011,0.0659
0.660225,-0.009525,0.05485
