accx,accy,accz
0.9706833,0.02275,0.0819
0.96495,0.0242,0.085575
0.967075,0.018925,0.077075
0.9825,0.012875,0.047525
0.9613,0.007525,0.0496
0.9721333,0.001,0.0592
0.98678,0.00058,0.07136
0.99615,0.0141,0.1192
0.991775,0.013825,0.134225
0.9931,0.0170333,0.1466
1.00892,0.02048,0.16086
1.003725,0.023275,0.17795
1.012125,0.00385,0.165625
0.982425,-0.022275,0.152025
0.9425,-0.0438667,0.1286
0.92874,-0.06134,0.11974
0.9468,-0.06105,0.125475
0.929225,-0.05225,0.14185
0.905675,-0.053975,0.163375
0.8958667,-0.0496667,0.1468333
0.90328,-0.05108,0.12044
0.868775,-0.06105,0.09855
0.852025,-0.052175,0.125725
0.8166,-0.0344333,0.1099333
0.756075,-0.01595,0.123225
0.72324,-0.0133,0.18542
0.7834,-0.045525,0.240625
0.8808,-0.0723,0.2122
0.9192,-0.0741333,0.1863
0.7654,-0.01628,0.18866
0.701,0.0243,0.2417
1.02036,-0.02274,0.2563
1.0518333,-0.0323667,0.1993333
0.9025,-0.02995,0.1134
0.80985,-0.030775,0.246275
0.842325,-0.0579,0.3912
1.0106,-0.073275,0.2941
1.0316,-0.001575,0.164475
1.031925,0.0394,0.182125
1.2802,0.004,0.34695
1.4686,-0.040575,0.1401
1.28625,0.00235,-0.0581
1.0964,0.01645,-0.020975
1.11345,0.01955,0.170425
1.2512333,-0.0263,0.323
1.3416,-0.02952,0.31408
1.170375,0.028225,0.22045
0.97445,0.07895,0.141675
0.838675,0.08585,0.120825
0.750125,0.09175,0.125225
0.71905,0.0647,0.1402
0.697,0.068025,0.181225
0.7103,0.0746,0.20425
0.708025,0.091375,0.216175
0.6715,0.0946,0.211525
0.659875,0.083125,0.18885
0.64415,0.095525,0.1998
0.6845,0.0922,0.249525
0.694425,0.0935,0.239475
0.7049,0.0519,0.2246
0.7658,-0.0339,0.2183
0.870325,-0.0594,0.166025
0.9471,0.0127,0.1815
1.015,0.07435,0.314675
1.081475,0.104125,0.345925
1.106125,0.219425,0.187475
1.1965,0.2076,0.035975
1.24935,0.11805,-0.160975
1.2728333,-0.0260667,0.0304333
1.31652,-0.15064,-0.06772
1.5019,-0.099475,0.10615
1.3897,0.1064,0.412575
1.312475,0.2068,0.3359
1.2992,0.1212333,0.3948
1.22504,-0.02006,0.29974
1.1384,-0.123575,0.138375
1.0521,-0.074175,0.1676
0.9237,-0.022625,0.137025
0.8443667,0.0219333,0.1340333
0.7981,0.0159,0.1472333
0.8215,-0.05446,0.09324
0.8031,-0.06708,0.06922
0.70685,-0.0421,0.128225
0.6339333,-0.0166,0.1865333
0.6038,-0.0064,0.2035
0.5959,-0.0033667,0.20645
0.645425,-0.0243,0.1886
0.70775,-0.036425,0.2408
0.7682,-0.0396667,0.2055
0.8087,-0.0266,0.1639
0.88604,-0.01208,0.20316
1.0378,-0.042225,0.330325
1.16575,-0.0476,0.3211
1.20195,0.003625,0.21585
1.1863333,0.0059333,0.1194
