accx,accy,accz
0.9975833,0.0841833,0.1803333
0.994475,0.106975,0.218975
0.9645,0.1156,0.23405
0.95545,0.1007,0.178725
0.95285,0.08365,0.179675
0.9645,0.08355,0.17615
0.965625,0.085675,0.197425
0.967875,0.089025,0.195325
0.96875,0.09215,0.17945
0.975675,0.090325,0.175225
0.96945,0.079325,0.18
0.96595,0.064475,0.154825
0.952875,0.0606,0.1511
0.932,0.055725,0.149375
0.9251333,0.0482,0.1530333
0.95774,0.02896,0.15266
0.9753,0.0144,0.1713667
0.9795,0.03102,0.16652
0.9866667,0.0492,0.1710333
0.9774,0.07336,0.17534
0.9825,0.0869667,0.1812
1.00866,0.08702,0.16356
0.9892,0.0938,0.1388667
0.96424,0.09474,0.09728
0.9799,0.10125,0.039825
0.9701,0.1243667,0.0263667
0.931825,0.148625,0.046025
0.94435,0.169375,0.0724
0.970325,0.173125,0.119875
0.991475,0.19325,0.1175
0.98975,0.20755,0.190475
0.9966,0.192675,0.2356
0.983825,0.1623,0.2842
0.966425,0.178075,0.32745
1.064325,0.165725,0.3134
1.086325,0.207075,0.2607
1.0893,0.236125,0.210375
1.051975,0.243525,0.204425
1.030875,0.23415,0.25815
0.930475,0.22545,0.290425
0.87835,0.210025,0.325025
0.82895,0.198775,0.347025
0.8127,0.16825,0.334
0.797325,0.1303,0.366925
0.804825,0.113125,0.357775
0.836675,0.1147,0.2999
0.8772,0.1078,0.2818
0.8819,0.13405,0.295425
0.8623,0.184025,0.3152
0.8704,0.2166,0.32025
0.893425,0.23465,0.307425
0.8572667,0.2528333,0.3766333
0.85404,0.24194,0.3656
0.860125,0.216625,0.347
0.883175,0.188725,0.336875
0.898275,0.173925,0.31885
0.895525,0.17665,0.31955
0.9062,0.16805,0.3186
0.909875,0.175275,0.35305
0.9451,0.20545,0.2565
1.05015,0.256225,0.063825
1.1814,0.3484333,0.0980667
1.2381,0.42984,0.28662
1.191,0.46755,0.387475
1.13405,0.408225,0.109275
1.14655,0.322975,-0.114275
1.14365,0.277875,-0.155225
1.11605,0.28025,-0.13875
1.0327,0.299675,-0.0774
0.952475,0.295775,-0.057975
0.9032333,0.2742667,-0.0526
0.89266,0.25038,-0.05898
0.9425,0.2112,-0.01635
0.9954667,0.1974333,-0.0094333
1.0203,0.20498,-0.00802
1.0169,0.2057333,-0.0131
1.02318,0.20126,-0.01002
1.060325,0.189275,-0.04765
1.02815,0.153875,-0.0362
0.9843667,0.1327333,-0.0297
0.957425,0.0966,-0.009325
0.85895,0.08695,-0.03985
0.7711,0.100325,-0.081375
0.765375,0.10335,-0.0794
0.7653,0.1192,-0.0656
0.7449,0.118475,-0.0467
0.764025,0.099375,-0.0057
0.739925,0.09935,0.03735
0.770625,0.093925,0.0642
0.851825,0.10615,0.05625
0.91475,0.109325,0.122075
0.97195,0.06375,0.090675
0.997025,0.039225,0.000775
1.032425,0.03715,-0.07005
1.0968,0.0553,-0.0705
1.053075,0.1012,-0.044
1.00405,0.1339,-0.02475
0.9937167,0.18485,0.07395
1.07365,0.21755,0.2306
1.1669,0.21845,0.151525
1.21795,0.191725,-0.037375
1.23175,0.158075,-0.180725
1.2818,0.1138,-0.0295
1.3541,0.19965,-0.079375
1.377675,0.271175,-0.312475
1.23485,0.33765,-0.3335
1.21225,0.492825,-0.03205
1.217925,0.4712,0.213775
1.061875,0.30585,0.066675
0.96185,0.264425,-0.004275
0.930575,0.219625,0.025325
0.922225,0.21005,-0.07565
0.86395,0.227625,-0.2252
0.805575,0.242075,-0.20925
0.7424,0.21045,-0.03795
0.693975,0.19625,0.011025
0.64835,0.205675,0.085475
0.61965,0.2187,0.10935
0.64065,0.2164,0.09315
0.62125,0.20875,0.1375
0.6161,0.184175,0.15255
0.619525,0.173675,0.164775
0.67595,0.1564,0.18685
0.766225,0.1443,0.190875
0.840825,0.1679,0.172725
0.898,0.21395,0.2152
0.9616,0.27315,0.26765
1.0120667,0.2997,0.2685
0.99746,0.32524,0.29092
0.95165,0.3372,0.29575
0.937675,0.291375,0.342625
0.90145,0.247875,0.331075
0.922525,0.17195,0.360275
0.924175,0.131225,0.28785
0.969175,0.168675,0.15255
1.0821,0.2239333,0.0999333
1.23178,0.29518,0.19814
1.356,0.396,0.2887
1.3434,0.3741,0.0119
1.256975,0.334075,-0.2449
1.1798333,0.2627667,-0.3999667
1.05466,0.22228,-0.23456
0.9479,0.2105667,0.0592667
0.92918,0.1888,0.19468
0.9711,0.1623667,0.1597333
1.006975,0.147875,0.15605
1.0373,0.13135,0.141425
1.0351,0.10505,0.12145
0.9662,0.089275,0.07835
0.87785,0.06525,0.022325
0.809225,0.05335,-0.026475
0.7584,0.06825,-0.04145
0.71975,0.07675,-0.028
0.676775,0.097725,0.005375
0.64725,0.11935,0.0494
0.664425,0.1197,0.08505
0.7614,0.130225,0.063725
0.82035,0.130775,0.109725
0.883975,0.106075,0.143325
0.965675,0.085675,0.13825
1.027775,0.067825,0.1073
1.06185,0.0531,0.029425
1.054975,0.06465,-0.072875
1.054475,0.076925,-0.042875
1.050125,0.088675,0.06705
1.0937,0.10405,0.1429
1.1357,0.1067,0.105475
1.174075,0.09515,-0.03555
1.30135,0.124875,-0.09065
1.3302,0.13775,-0.1613
1.3555,0.239375,-0.2609
1.311675,0.365,-0.330675
1.2763,0.39885,-0.199425
1.161125,0.521625,0.040075
0.99735,0.475375,0.2364
0.877125,0.338975,0.28375
0.8278,0.264525,0.1301
0.864275,0.17485,0.11265
0.97055,0.123075,0.117775
0.9617,0.098275,0.15215
0.912875,0.07295,0.138175
0.85265,0.154175,0.142425
0.77685,0.201525,0.208475
0.687275,0.2471,0.2334
0.63215,0.260575,0.21665
0.610825,0.22895,0.253425
0.6259,0.190975,0.273625
0.678475,0.1798,0.242825
0.679875,0.17765,0.267825
0.65335,0.17935,0.3165
0.7167333,0.1732667,0.2928
0.7897,0.1802,0.262925
0.81576,0.20506,0.29198
0.8448,0.2354,0.3272
0.923275,0.245775,0.260875
0.9905667,0.2583667,0.2541
0.99435,0.250925,0.29485
0.93252,0.26476,0.38596
0.89695,0.264775,0.423575
0.9255333,0.2761333,0.3787
0.92505,0.249725,0.397225
1.1152,0.313075,0.25285
1.2749,0.34574,0.22114
1.1974,0.39525,0.48415
1.197275,0.337625,0.237975
1.3731,0.2576667,-0.0526667
1.3503,0.2421,-0.012875
1.1668,0.237975,-0.001225
0.989775,0.2046,-0.076525
0.893875,0.19875,-0.03115
0.869225,0.213275,0.125025
0.8931333,0.2363,0.1556667
0.9096,0.2278667,0.1296667
0.9202,0.2095,0.0774
0.899125,0.164025,0.0669
0.8599,0.1166,0.07655
0.836975,0.06825,0.046425
0.81755,0.0422,0.0136
0.77665,0.043,0.019375
0.7334,0.068475,0.026025
0.72055,0.09945,0.04505
0.7254667,0.1223333,0.0291667
0.74766,0.12518,0.06136
0.775225,0.126775,0.0705
0.820575,0.1442,0.0488
0.902975,0.140725,0.12045
0.9548,0.1310333,0.1633333
1.07728,0.0932,0.05578
1.09655,0.068475,0.009125
1.0934,0.071025,0.038125
1.11595,0.089275,0.10545
1.1043,0.0893,0.0106
1.116075,0.112625,-0.054475
1.1146,0.148,0.012175
1.118875,0.17,-0.018975
1.143425,0.144025,-0.13915
1.23535,0.166325,-0.228925
1.297125,0.283925,-0.26175
1.29485,0.3782,-0.2766
1.221375,0.3917,-0.2251
