accx,accy,accz
0.1379,-0.140725,0.9028
0.185275,-0.1342,0.97715
0.207475,-0.108475,1.021375
0.163875,-0.105175,1.070325
0.06475,-0.1081,1.0754
0.056125,-0.07855,1.121075
0.10965,-0.024,1.102275
0.16285,-0.088425,1.007825
0.0835,-0.149275,0.899175
0.030225,-0.19855,0.880475
-0.04035,-0.2415,0.89535
-0.080275,-0.278975,0.9297
-0.11815,-0.335975,1.00545
-0.122325,-0.37655,1.039475
-0.08485,-0.39275,0.994625
-0.0854,-0.4244,0.988225
-0.07415,-0.48025,0.9887
-0.093725,-0.497325,1.0171
-0.145875,-0.45545,1.0056
-0.2623,-0.386075,1.00075
-0.204225,-0.3825,1.017875
-0.166425,-0.3859,0.993725
-0.3355,-0.340975,0.9818
-0.44735,-0.282075,1.001425
-0.310075,-0.236925,0.924375
-0.205225,-0.228125,0.91165
-0.122375,-0.329225,1.059925
-0.0726,-0.3083,1.138525
-0.118525,-0.1009,1.185275
-0.04385,-0.0672,1.006775
0.0123333,-0.1283,0.9150333
0.00132,-0.22642,0.95086
-0.05995,-0.31115,1.105725
-0.094325,-0.22275,1.0687
-0.0457,-0.158,0.891175
-0.022,-0.1267,0.7768
0.0221429,-0.1431286,0.7994
0.063775,-0.1716,1.031675
0.0208,-0.193175,1.106525
-0.02905,-0.12535,1.08115
-0.0264,-0.0922,1.0604
-0.01735,-0.110775,0.9530125
-0.01258,-0.14464,0.91676
-0.069425,-0.171225,1.0461
-0.06565,-0.140975,1.192375
-0.030275,-0.14985,1.2287
-0.09365,-0.19905,1.121925
-0.1289,-0.20455,1.0243
-0.15585,-0.1990167,0.9390833
-0.1041,-0.188925,0.9282
0.0237333,-0.1817,0.9179
0.110275,-0.159325,0.968375
0.0964,-0.152825,1.0496
-0.000375,-0.157,0.97545
-0.0103,-0.096725,0.9111
0.019525,-0.05705,0.878175
0.053325,-0.032,0.86345
0.0996,-0.034275,1.0183
0.051725,0.00435,1.154225
0.0081,-0.03705,1.0638
-0.0183,-0.039425,1.0546
-0.004775,-0.0489,1.0441
-0.02205,-0.062275,1.0629
-0.03645,-0.076325,1.010525
-0.0354,-0.091325,0.9381
-0.004075,-0.123175,0.974425
0.02055,-0.137975,0.998025
0.015675,-0.158075,0.9663
0.008875,-0.169225,0.97215
0.023,-0.1573,1.016
0.04035,-0.122725,1.036525
0.0165,-0.096225,1.025575
-0.021775,-0.0887,1.024625
-0.010675,-0.0977,0.984125
0.029075,-0.07945,1.0296
0.0773,-0.080175,1.05375
0.0639,-0.0685,1.005825
0.0296,-0.07405,0.952625
-0.022275,-0.089975,0.93115
-0.0501333,-0.1133667,0.9464
-0.03048,-0.13962,1.0235
0.00505,-0.156975,1.107925
0.0111333,-0.1460667,1.1013
0.01806,-0.15282,1.06828
0.014325,-0.14805,1.02225
0.027,-0.153075,0.990325
0.042,-0.138925,0.9884
0.029625,-0.12595,0.9853
0.0005,-0.119775,1.000925
-0.005475,-0.125525,1.008825
0.00485,-0.147275,1.02795
0.00855,-0.1578,1.03425
0.00695,-0.1559,1.0323
0.0012,-0.14605,1.014325
0.007175,-0.121,0.993175
0.0198,-0.094875,0.9914
0.014275,-0.076125,1.006325
0.000475,-0.072125,1.00375
-0.00515,-0.075575,1.010525
0.0003667,-0.0939333,1.0233
0.00708,-0.10516,1.01318
0.0131333,-0.1159333,1.0113667
0.00895,-0.11695,1.019275
0.01065,-0.122075,1.025525
0.019475,-0.1273,1.01835
0.0197333,-0.1323667,1.0134
0.01754,-0.13664,0.9955
0.014825,-0.145875,0.98595
0.0103,-0.152275,1.0144
0.01255,-0.156625,1.027375
0.017525,-0.153625,1.0125
0.0315,-0.1549,0.994825
0.02435,-0.141025,1.008325
0.023,-0.131025,1.020925
0.021325,-0.1231,1.009675
0.016575,-0.117725,1.002825
0.016525,-0.1138,1.001675
0.018925,-0.109275,1.0016
0.01105,-0.10755,1.01365
0.00815,-0.1095,1.00655
0.013925,-0.114925,1.006
0.014525,-0.12265,1.018475
0.006125,-0.122725,1.0134
-0.00455,-0.12255,1.011375
-0.002975,-0.1219,1.0111
0.000625,-0.121,1.01905
0.00475,-0.120475,1.019575
0.0035,-0.123075,1.020325
0.009575,-0.126425,1.015625
0.014325,-0.1259,1.000025
0.012375,-0.124775,1.00235
0.0077,-0.1223,1.009
0.00365,-0.1169,1.0098
-0.00035,-0.117025,1.015175
-0.000625,-0.113175,1.01825
0.003225,-0.1108,1.01075
