accx,accy,accz
0.85095,-0.02615,0.5153
0.840425,-0.025775,0.539725
0.839,-0.024975,0.5386
0.8371,-0.020675,0.533375
0.843975,-0.0211,0.535725
0.85055,-0.024575,0.5282
0.8452667,-0.0273,0.5333
0.83652,-0.02504,0.53908
0.837175,-0.022625,0.534125
0.84475,-0.025425,0.534625
0.8431,-0.02315,0.5327
0.8411333,-0.0203667,0.5333667
0.84392,-0.02494,0.5372
0.84345,-0.0295,0.536125
0.842175,-0.027,0.53345
0.83875,-0.020225,0.52655
0.8386333,-0.0153,0.5246667
0.84326,-0.02144,0.53686
0.846225,-0.024925,0.544275
0.8449,-0.028,0.53425
0.83875,-0.027875,0.533625
0.8367667,-0.0232,0.5348667
0.8384333,-0.0209333,0.5364
0.8413167,-0.0209167,0.5332167
0.847875,-0.027475,0.53395
0.845875,-0.029325,0.5358
0.8449,-0.0304667,0.5354333
0.8407,-0.0263667,0.5317
0.8389667,-0.0233833,0.53225
0.8362,-0.0219667,0.5422
0.83985,-0.02265,0.536425
0.844575,-0.02505,0.53015
0.8440333,-0.0293667,0.5367333
0.8449667,-0.0290333,0.5386
0.8407,-0.0229833,0.53215
0.84175,-0.020775,0.5337
0.84485,-0.02405,0.5335
0.8438,-0.02315,0.532725
0.842475,-0.02535,0.531775
0.844,-0.027625,0.534175
0.839825,-0.026875,0.5377
0.8409,-0.024475,0.53325
0.84285,-0.022775,0.533325
0.843475,-0.024475,0.5337
0.84175,-0.02395,0.5366
0.83925,-0.02365,0.534375
0.841825,-0.02475,0.533525
0.844275,-0.0256,0.5348
0.842725,-0.025,0.53745
0.841325,-0.02475,0.5332
0.83905,-0.024675,0.53195
0.8421,-0.022825,0.5332
0.844625,-0.024675,0.534925
0.84245,-0.02475,0.536025
0.8403,-0.025275,0.5329
0.8473,-0.02925,0.5338
0.8476333,-0.0304333,0.5331
0.8414,-0.02304,0.52972
0.841925,-0.01905,0.526075
0.8382,-0.018675,0.535875
0.838925,-0.023025,0.544825
0.8417,-0.0289,0.5443
0.84106,-0.02914,0.53784
0.84285,-0.02315,0.52665
0.84125,-0.01805,0.53085
0.842125,-0.0204,0.5325
0.8414667,-0.0242,0.5359667
0.84274,-0.02732,0.53748
0.843825,-0.02995,0.5311
0.843,-0.028425,0.536375
0.84175,-0.02535,0.533075
0.8399,-0.0231,0.5340667
0.8379,-0.02,0.53408
0.8423333,-0.0239667,0.533
0.84466,-0.0266,0.53608
0.84585,-0.02595,0.533025
0.8404,-0.0256333,0.5337667
0.83848,-0.0238,0.53802
0.843725,-0.023275,0.52875
0.84505,-0.021575,0.5333
0.8425333,-0.0218333,0.5377
0.840175,-0.02195,0.537875
0.8424,-0.02478,0.5314
0.84365,-0.0272,0.531
0.8380333,-0.0228,0.5391667
