accx,accy,accz
0.972825,0.01375,0.1583
0.9757,0.009475,0.127025
0.96875,0.003125,0.1189
0.973875,-0.001325,0.11705
0.9888,0.00075,0.139475
0.99405,-0.0036,0.1336
0.98715,-0.00035,0.119
0.979175,0.0102,0.104625
0.976375,0.023375,0.129425
0.972675,0.02955,0.12965
0.973875,0.0319,0.1135
0.9873,0.023325,0.11405
0.992875,0.0185,0.12835
0.98455,0.02175,0.1253
0.975125,0.029875,0.1115
0.979925,0.0366,0.100175
0.979725,0.040925,0.09865
0.9861,0.043075,0.102
0.98395,0.044,0.0997
0.967725,0.044525,0.11075
0.9622,0.0463,0.1122
0.9644,0.05165,0.085325
0.9824,0.0560667,0.0737667
1.00668,0.03384,0.13524
0.9947,0.030975,0.157575
0.97645,0.0189,0.1303
0.967525,0.01355,0.1047
0.964625,0.023775,0.100175
0.950575,0.028275,0.115025
0.946075,0.040875,0.11085
0.959,0.04685,0.1049
0.9862667,0.0164667,0.1265667
0.98906,0.02738,0.13926
0.971,0.03545,0.0983
0.9724,0.0381333,0.0829
0.976325,0.03745,0.130775
0.9774,0.03795,0.142675
0.982525,0.03095,0.13005
0.987675,0.02805,0.124925
0.972025,0.03755,0.0986
0.96965,0.0361,0.107325
0.9719,0.0299,0.1534
0.96845,0.03245,0.153775
0.9664,0.034275,0.1336
0.9746,0.035375,0.13175
0.979525,0.0325,0.11575
0.9711,0.03805,0.11155
0.97025,0.040175,0.11405
0.9793,0.04145,0.13045
0.981325,0.03955,0.1367
0.98285,0.033875,0.1396
0.9781,0.035675,0.132725
0.9769,0.037125,0.131475
0.9795,0.03615,0.1134
0.984075,0.0365,0.107825
0.980375,0.03805,0.10525
0.97665,0.045575,0.109575
0.986825,0.046,0.1147
0.981575,0.048825,0.1123
0.981325,0.053725,0.13115
0.981175,0.060125,0.11205
0.97895,0.06275,0.097425
0.97595,0.05665,0.1142
0.9765,0.0509,0.124775
0.97295,0.045675,0.11865
0.977425,0.04245,0.105
0.988425,0.03645,0.120825
0.99325,0.0363,0.144625
0.992825,0.03105,0.134925
0.98275,0.03935,0.0873
0.968125,0.0491,0.088825
0.969225,0.051325,0.1375
0.971875,0.052225,0.13665
0.97295,0.05135,0.11005
0.97405,0.0567,0.104675
0.98225,0.0512,0.10415
0.9865667,0.0438667,0.1085667
0.98478,0.03916,0.11952
0.97675,0.046975,0.1208
0.97055,0.05065,0.119975
0.968,0.052875,0.11675
0.9795667,0.0407667,0.1115667
0.983225,0.03615,0.110025
0.98476,0.04168,0.11094
0.975775,0.050975,0.097225
0.9856,0.0439,0.10985
0.98185,0.043,0.116625
0.986825,0.041175,0.1198
0.986525,0.039775,0.1047
0.9837,0.04175,0.101525
0.9819333,0.0395333,0.1067
0.9738,0.041925,0.120175
0.9699,0.044025,0.11405
0.9659,0.04755,0.094375
0.983225,0.0444,0.108625
0.9831,0.0473,0.10825
0.9829,0.0457,0.106
0.98095,0.0451,0.106125
0.973025,0.0501,0.10175
0.976475,0.043375,0.1082
0.975925,0.0399,0.114225
0.976975,0.03245,0.1074
0.977175,0.031425,0.116975
0.97875,0.0358,0.127625
0.9842,0.0378333,0.1094667
0.98224,0.03972,0.09362
0.979675,0.041425,0.10255
0.9817,0.04095,0.098825
0.9797,0.046975,0.0896
0.984325,0.049175,0.091675
0.9823,0.0451,0.099025
0.98555,0.0424,0.10355
0.9847,0.041575,0.0961
0.978875,0.042475,0.105925
0.980525,0.0372,0.1055
0.986325,0.0369,0.096425
0.985775,0.037025,0.080025
0.9765,0.0432,0.103
0.972875,0.0401,0.099575
0.97265,0.030325,0.0898
0.97655,0.027925,0.09525
0.98,0.029325,0.0894
0.984375,0.032025,0.0791
0.98305,0.036975,0.08325
0.98865,0.03335,0.0853
0.982375,0.0356,0.0848
0.980275,0.03545,0.079225
0.98165,0.03845,0.08625
0.983825,0.0413,0.086425
0.989425,0.036325,0.0773
0.98165,0.039075,0.083875
0.978575,0.040625,0.09175
0.982125,0.03605,0.081925
0.976925,0.047425,0.09335
0.985525,0.04935,0.09035
0.9839,0.0465,0.089925
0.980525,0.04475,0.091875
0.976,0.0444,0.093525
0.983175,0.04125,0.087075
0.9826,0.043375,0.0897
0.977125,0.0459,0.089075
0.97905,0.044075,0.08535
0.98365,0.04015,0.07905
0.981625,0.0393,0.0831
0.984375,0.03975,0.08115
0.98335,0.04295,0.076525
0.9828,0.04545,0.0867
0.978875,0.041625,0.08155
0.9818,0.04045,0.075525
0.991525,0.04285,0.08475
0.989925,0.039475,0.08445
0.9715667,0.0427,0.0896333
0.974475,0.038375,0.080825
0.97985,0.03555,0.08155
0.986825,0.0361,0.07545
0.9804,0.0415,0.07845
0.975025,0.041975,0.0944
0.981625,0.0402,0.083875
0.986025,0.03945,0.0712
0.99605,0.036775,0.082525
0.986875,0.0388,0.077075
0.973325,0.043275,0.07295
0.969975,0.047,0.084425
0.990825,0.045275,0.088075
0.987625,0.041625,0.0828
0.9826,0.0406,0.0827333
0.97966,0.04226,0.08998
0.978875,0.046375,0.079725
0.98585,0.045275,0.077525
0.979675,0.044,0.08205
0.976825,0.045875,0.0858
0.976,0.049975,0.07565
0.972625,0.052975,0.080575
0.978675,0.04895,0.08905
0.98585,0.045825,0.070925
0.989275,0.049925,0.0694
0.986325,0.0495,0.07295
0.982475,0.045025,0.081425
0.977875,0.04625,0.091025
0.979075,0.046875,0.085875
0.983175,0.045175,0.072975
0.98475,0.04515,0.074175
0.9834,0.04445,0.07955
0.9823,0.0462,0.076925
0.9834,0.0466,0.0702
0.98115,0.0486667,0.0847
0.97916,0.04558,0.08836
0.980475,0.044975,0.07635
0.9779,0.0493,0.08095
0.979325,0.047775,0.08955
0.97765,0.045025,0.083825
0.985475,0.04195,0.06945
0.99375,0.045875,0.0697
0.985725,0.053825,0.082675
0.9734667,0.0543667,0.0885333
0.9735,0.0487,0.09145
0.98248,0.04648,0.08348
0.983625,0.04235,0.073475
0.9813667,0.0384,0.0789
0.9783,0.0399,0.08495
0.98096,0.0411,0.08374
0.98285,0.041625,0.0822
0.9856667,0.0376333,0.0832
0.98428,0.04564,0.0849
0.987375,0.0493,0.085875
0.9878,0.0549,0.0766
0.987675,0.0622,0.069475
0.9805,0.0672667,0.0661
0.97765,0.061,0.072825
0.970325,0.07185,0.05915
0.981975,0.058675,0.0651
0.99475,0.0666,0.0695
1.002775,0.067575,0.069325
0.9837,0.0779,0.048375
0.98565,0.0622,0.051775
0.973025,0.09565,0.074825
0.98525,0.081275,0.068475
0.973075,0.089675,0.0539
0.9725,0.082475,0.059725
0.9757,0.0782,0.072825
0.984425,0.077775,0.060625
0.977725,0.07615,0.0565
0.9738,0.0696,0.070075
0.976875,0.0666,0.083325
0.977425,0.067275,0.0761
0.9746,0.067875,0.067225
0.9798,0.062325,0.078075
0.982975,0.0556,0.0765
0.982025,0.053675,0.067325
0.9818,0.056775,0.06835
0.99365,0.06085,0.0794
0.9963,0.0653,0.0796
0.98685,0.069925,0.06835
0.9727,0.077925,0.064025
0.97245,0.080825,0.0785
0.980925,0.08035,0.0695
0.9793,0.08115,0.06375
0.975625,0.07845,0.066275
0.97455,0.079525,0.07325
0.97085,0.080975,0.076125
0.970575,0.07435,0.0719
0.97905,0.06715,0.0707
0.979375,0.0668,0.07
0.9729,0.066,0.069325
0.97095,0.066375,0.07545
0.972825,0.066825,0.084525
0.9688,0.070075,0.0768
0.9693,0.06975,0.075075
0.9875,0.064275,0.076225
0.992925,0.069,0.08185
0.9954,0.07175,0.080225
0.9871,0.070575,0.06725
0.972325,0.07485,0.062675
0.980225,0.076975,0.0694
0.989075,0.077675,0.0673
0.9898,0.079875,0.08055
0.97815,0.074375,0.064325
0.97125,0.068375,0.06115
0.97055,0.068475,0.085
0.9589,0.0745,0.09725
0.9581,0.07285,0.083
0.975925,0.063,0.082425
0.99255,0.06325,0.0892
0.9931,0.0680333,0.0863
0.98146,0.07194,0.0835
0.973875,0.072575,0.07445
0.9740333,0.0697333,0.0643
0.977525,0.071975,0.0621
0.983075,0.075525,0.055525
0.9862667,0.0771,0.0574
0.9878,0.08145,0.0702
0.9879714,0.0763857,0.0719286
0.985075,0.072,0.053725
0.9818,0.07128,0.05528
0.9729,0.0657667,0.0586
0.9648,0.0642,0.0646
0.9724571,0.0572143,0.0756714
0.980275,0.059025,0.065375
0.9843,0.0653,0.0614
0.982725,0.065825,0.0598
0.9759667,0.0644,0.057
0.97308,0.06172,0.05714
0.9801,0.05915,0.06625
0.985475,0.0581,0.06375
0.9935,0.0559,0.05755
0.990775,0.05525,0.06395
0.988475,0.059025,0.058025
0.979325,0.06355,0.054125
0.979225,0.058925,0.060775
0.97935,0.05855,0.060775
0.98605,0.056275,0.0552
0.98385,0.0577,0.0529
0.9793,0.06405,0.057575
0.976925,0.066675,0.0594
0.977,0.0641,0.047125
0.9869,0.065825,0.0488
0.99155,0.065,0.056875
0.986375,0.0591,0.0557
0.980475,0.0583,0.050325
0.98695,0.05995,0.060425
0.9842,0.0638,0.05235
0.9818,0.060725,0.03905
0.982425,0.058975,0.0592
0.9826,0.057375,0.066025
0.9814,0.05485,0.04915
0.9812,0.060925,0.05045
0.979675,0.0621,0.0687
0.9834,0.0541333,0.0752333
0.985,0.05634,0.05862
0.992525,0.0473,0.059725
0.990325,0.049375,0.0719
0.9936,0.0518,0.0743667
0.9808,0.05318,0.0695
0.9664,0.049275,0.07035
0.9736333,0.0446,0.0742
0.9823333,0.0433667,0.0824
0.9830833,0.0470333,0.0786833
0.971925,0.044125,0.08015
0.9749,0.03995,0.083975
0.9777667,0.0447,0.0905333
0.98375,0.0525,0.08765
0.98425,0.05165,0.08595
0.982225,0.04185,0.0914
0.986075,0.031475,0.09695
0.98285,0.03305,0.0967
0.979375,0.038,0.10135
0.97435,0.04235,0.106725
0.96695,0.0427,0.11045
0.9673667,0.0443333,0.1037333
0.98116,0.04226,0.10586
0.983775,0.039725,0.10625
0.97635,0.035125,0.101875
0.975625,0.03345,0.106325
0.98695,0.0321,0.106625
0.982975,0.032975,0.10855
0.976675,0.03495,0.110675
0.97675,0.0339,0.1061
0.978875,0.03465,0.111175
0.978325,0.03805,0.101225
0.987075,0.0393,0.0986
0.9836,0.0379,0.1089
0.9801,0.03715,0.111175
0.9675,0.038375,0.100125
0.96935,0.04045,0.102
0.974475,0.04265,0.099925
0.98795,0.045225,0.0934
0.98895,0.04265,0.09475
0.979825,0.039525,0.113075
0.985225,0.0388,0.103175
0.985125,0.04375,0.093025
0.9843,0.046025,0.09585
0.987075,0.037275,0.0945
0.987775,0.035925,0.09975
0.982775,0.035775,0.088625
0.981375,0.035875,0.10465
0.981575,0.038,0.1129
0.981425,0.04065,0.10745
0.9806,0.04045,0.09405
0.9812,0.03825,0.101025
0.978325,0.0394,0.106925
0.97815,0.038375,0.096225
0.9787,0.04455,0.096825
