accx,accy,accz
0.72695,0.057925,0.1445
0.819825,0.092575,0.145525
0.85465,0.11645,0.15195
0.8226,0.11435,0.214775
0.82995,0.101625,0.2465
0.875625,0.088825,0.31125
0.9195333,0.0908667,0.2639667
0.952,0.09626,0.0391
1.01065,0.14165,0.05825
1.1654,0.173475,0.059375
1.133225,0.272,0.49035
1.16365,0.402175,0.85515
1.264625,0.23865,0.495075
1.467575,0.112775,0.046225
1.473575,0.111925,-0.181375
1.301525,0.0963,-0.37995
1.01935,0.119525,-0.252775
0.82935,0.1133,-0.175175
0.757575,0.11615,-0.0651
0.781325,0.142075,0.112225
0.94265,0.10775,-0.02295
1.068025,0.078525,-0.025225
0.9514667,0.1078,-0.0434667
0.85186,0.08808,-0.08468
0.764775,0.06415,0.006725
0.710175,0.04535,0.096275
0.6756667,0.0274,0.1545
0.7262,0.03352,0.17806
0.8217,0.034775,0.1526
0.822375,0.030275,0.09765
0.87985,0.021075,0.1072
0.97625,0.0118,0.166375
1.0692,-0.0212333,0.1839
1.08235,-0.040025,0.1283
1.01315,-0.03305,0.0344
0.98702,0.00804,0.07448
0.9919333,0.0612,0.1583333
0.96305,0.03845,0.198375
1.057575,-0.040075,0.073
1.213525,-0.0662,0.1418
1.41885,-0.0007,0.226275
1.4491,0.06835,0.06555
1.25112,0.13428,-0.27814
1.0761,0.20835,-0.4281
1.0644667,0.1925667,-0.2361667
1.0253667,0.2259,-0.0218
1.05542,0.20712,0.09908
1.08375,0.268825,0.135625
1.134775,0.2712,0.026725
1.15535,0.231925,-0.03235
0.98635,0.126325,-0.085925
0.83245,0.0936,-0.1689
0.667725,0.071625,0.0032
0.572475,0.042275,0.1837
0.484925,0.0083,0.24405
0.48335,-0.0088,0.19295
0.62875,0.029075,0.20055
0.750275,0.034825,0.30465
0.81015,0.0833,0.28365
0.831525,0.063975,0.24735
0.861375,0.0379,0.2994
0.898575,0.0352,0.30315
0.88435,0.0833,0.2069
0.904275,0.131325,0.1761
1.045125,0.1419,0.0766
1.150325,0.180775,0.287225
1.133975,0.27065,0.410925
1.14155,0.296025,0.497925
1.26865,0.16105,0.1766
1.4993,0.146975,0.02485
1.4902,0.2051,0.0185667
1.25974,0.21528,-0.11896
1.11985,0.20905,-0.1247
1.04175,0.081525,-0.1511
0.91065,0.098525,-0.056625
0.904925,0.031,0.051975
1.0624,-0.03635,0.030225
1.0363,0.091675,0.1591
0.8920667,0.1123667,0.2131667
0.79412,0.10228,0.15494
0.7224,0.065075,0.1387
0.6778667,0.0324333,0.2224667
0.62495,0.0105,0.255525
0.66842,0.01648,0.21898
0.709575,0.048825,0.215975
0.713075,0.036075,0.210375
0.7498333,0.0055667,0.174
0.833075,-0.01155,0.196725
0.96474,-0.0137,0.28214
1.033275,-0.0045,0.3029
1.04725,0.0204,0.2345
1.0609,0.0094667,0.2013333
1.1169,-0.060675,0.0775
1.192325,-0.13685,0.05795
1.221475,-0.14375,0.167175
1.1444,-0.00535,0.094025
1.21885,0.215175,0.027525
1.2791,0.296025,-0.142275
1.3081,0.31655,0.053
1.416125,0.3079,0.07995
1.46535,0.3585,-0.09525
1.4266,0.319175,-0.107825
1.265475,0.274625,-0.0682
1.085575,0.20465,-0.028025
0.781,0.146175,-0.0513
0.54785,0.115,0.06505
0.3901,0.0514,0.150725
0.307725,-0.00685,0.107875
0.2588,-0.060875,0.059125
0.361675,-0.051625,0.12175
0.59475,0.034825,0.254625
0.7428,0.065325,0.290425
0.87235,0.06095,0.314575
1.03685,0.067075,0.288775
1.127575,0.04185,0.289075
1.11625,0.0852,0.257175
1.09565,0.1206,0.171375
1.17655,0.116525,-0.068775
1.1988,0.2418,0.049225
1.268175,0.44035,0.79605
1.180525,0.2879,0.571875
1.3818,0.1374,-0.0615
1.4925,0.092425,-0.31745
1.222675,0.08635,-0.426225
1.074075,0.062,-0.3409
1.121125,0.05345,-0.1573
1.053475,0.08335,0.110875
0.928575,0.0886,0.0928
0.996525,0.01325,-0.149925
1.05825,-0.036775,-0.1506
0.949725,0.0047,-0.0342
0.754775,0.057975,0.0943
0.58795,0.1161,0.033025
0.443675,0.108525,0.09835
0.515475,0.0687,0.161725
0.686725,0.0244,0.1512
0.7637,-0.007275,0.1024
0.78225,-0.022,0.05
0.892275,-0.04705,0.083025
1.056175,-0.0477,0.1455
1.11495,-0.05915,0.14785
1.0440333,-0.0691333,0.1412333
1.02916,-0.04924,0.22296
1.052575,0.000125,0.217525
1.046225,-0.041925,0.157075
1.1229,-0.13315,0.0794
1.2106333,-0.1825,0.2342333
1.31314,-0.12546,0.21774
1.4152,0.029075,0.090225
1.307475,0.11745,-0.14835
1.1844,0.1923,-0.4138
1.0876,0.25412,-0.24476
1.20125,0.2417,0.042575
1.196725,0.24455,0.035775
1.1617333,0.2925333,0.0132333
1.13275,0.308775,0.1255
1.02168,0.19328,0.09282
0.7683,0.1042333,0.0031333
0.650025,0.0514,0.013375
0.53622,-0.02904,0.10832
0.4640667,-0.0309333,0.1975333
0.420725,-0.057675,0.240275
0.58484,-0.04388,0.17018
0.6742667,0.0018667,0.2756
0.7248,0.05305,0.27865
0.799675,0.10425,0.206325
0.844375,0.137625,0.248375
0.9129667,0.1067667,0.2807
1.01442,0.05172,0.2852
1.0248,0.049925,0.2697
1.022975,0.107875,0.105875
1.1245,0.1683,0.057525
1.195775,0.233925,0.344375
1.2401,0.346975,0.726175
1.3468,0.363675,0.5178
1.466425,0.1794,0.089125
1.683325,0.200425,-0.126725
1.464075,0.1975,-0.2711
1.144675,0.148725,-0.3342
0.79995,0.116275,-0.2572
0.703075,0.0305,-0.099575
0.7073333,0.0652667,0.0453333
0.82422,0.02022,0.08088
1.038525,-0.009475,-0.026975
0.9895,0.05795,0.046175
0.8225,0.071,0.108675
0.7131,0.0799333,0.0535667
0.71218,0.04662,0.03326
0.686475,0.03,0.0763
0.723925,0.003525,0.1405
0.658875,-0.009625,0.1244
0.728825,-0.037775,0.136325
0.80885,-0.058475,0.119675
0.913575,-0.1046,0.128925
1.016275,-0.08635,0.156275
1.037775,-0.05035,0.13295
1.0519,0.033675,0.171625
1.160125,0.0913,0.1993
1.158775,0.014425,0.174325
1.23255,-0.145875,0.021075
1.19055,-0.181375,0.1239
1.217625,-0.063775,0.1473
1.4034,0.1196,0.01165
1.365225,0.213225,-0.261025
1.253425,0.24635,-0.4904
1.2122667,0.2660333,-0.2109333
1.31174,0.2349,-0.05296
1.20765,0.2942,-0.0263
1.0436,0.327675,-0.0318
0.9539,0.33195,0.04795
0.8601,0.2496,0.0252
0.73615,0.14555,-0.0342
0.58498,0.03844,0.078
0.5013667,-0.0265,0.0979667
0.4242,-0.044925,0.071175
0.393225,-0.040025,0.0524
0.4495333,-0.0173333,0.0864
0.58954,0.04594,0.25108
0.73526,0.07148,0.32684
0.8494,0.10535,0.27385
0.9685,0.1168333,0.3058
1.068975,0.08655,0.3785
1.11635,0.047375,0.2188
1.112225,0.0278,0.04065
1.104275,0.060875,-0.096975
1.26445,0.1733,0.1498
1.32638,0.37188,0.91374
1.3381,0.3833,0.5496667
1.4656,0.38265,-0.0489
1.432425,0.25765,-0.53805
1.397975,0.206275,-0.6207
1.2620667,0.2059,-0.4422667
0.91738,-0.00662,-0.31686
0.85985,-0.117275,-0.22595
0.86805,-0.1518,-0.15215
1.008675,-0.06805,-0.066825
1.06235,0.083575,0.081275
0.8636,0.14565,0.18
0.702475,0.1666,0.0588
0.6623,0.0801,0.02265
0.69785,0.006725,0.076525
0.6997,-0.0091,0.1459
0.72204,-0.04314,0.1871
0.76045,-0.0434,0.145125
0.721125,-0.0341,0.105225
0.673925,-0.018875,0.120725
0.8581,0.0151,0.2029333
0.97892,0.03608,0.203
1.074875,0.022225,0.15755
1.106375,0.084875,0.1858
1.1161,0.123075,0.154175
1.143775,0.05035,0.0728
1.253075,-0.027675,0.024775
1.234925,-0.07425,0.12225
1.30435,0.001775,0.02075
1.4193333,0.1229667,-0.2964
1.3872,0.2267,-0.4749333
1.3198333,0.29165,-0.3035667
1.245425,0.298225,0.133375
1.104725,0.32675,0.127575
0.9983333,0.3380667,0.0335
0.99196,0.32844,0.05764
0.9697,0.198275,0.006075
0.747325,0.121975,-0.050225
0.629625,0.0714,0.0036
0.5808,0.056,0.1021
0.5355,0.0378,0.22732
0.512125,0.01705,0.293775
0.6112,0.043325,0.315725
0.66275,0.0824,0.28395
0.6694,0.1307667,0.2543
0.7095,0.1565,0.2292
0.7814857,0.1654571,0.2651714
0.840575,0.13495,0.318875
0.926675,0.11575,0.226425
1.0003667,0.1164333,0.0837
1.08654,0.16822,0.15214
1.2697,0.1963667,0.2181333
1.265075,0.34685,0.5533
1.188475,0.48135,0.72155
1.310025,0.372825,0.337175
1.5214,0.249075,-0.2163
1.45925,0.210225,-0.341875
1.292,0.07205,-0.2851
0.936525,0.046125,-0.116375
0.732025,0.01535,-0.112275
