accx,accy,accz
0.81395,0.005725,-0.006625
0.866225,0.021675,-0.037625
0.914225,0.05375,0.047275
0.9422,0.074225,0.04795
0.9561,0.0785,0.018975
0.941625,0.104225,0.02545
0.91795,0.128875,0.0158
0.892775,0.1375,0.039325
0.873975,0.1208,0.089125
0.847675,0.0988,0.074525
0.77325,0.1047,0.07625
0.7,0.097525,0.0678
0.65195,0.099125,0.049225
0.6646,0.085125,0.0607
0.6957,0.084525,0.124525
0.733125,0.088925,0.142675
0.8132,0.081075,0.0507
0.8927,0.0940667,0.023
0.96794,0.10842,0.08424
1.0034,0.10745,0.113725
1.0245333,0.0499333,0.1041
1.0912,-0.03692,-0.14842
1.215175,-0.1018,-0.3453
1.259,-0.03795,-0.2906
1.2876,0.029825,-0.135625
1.4234,0.0847,0.155675
1.56535,-0.0023,0.402575
1.558775,-0.137625,-0.0243
1.570475,-0.1072,-0.180025
1.454375,-0.0526,-0.0238
1.090875,0.025775,0.031675
0.849225,0.011325,0.1164
0.6723,-0.05595,0.0878
0.584175,-0.0297,-0.02055
0.626325,0.004,-0.10775
0.7772,0.040525,-0.1368
0.85385,0.0399,-0.094125
0.895875,0.049575,-0.061425
0.92865,0.036775,-0.035475
0.944325,0.027125,-0.04965
0.962425,-0.026475,-0.041175
0.9381667,-0.0997,0.0832333
0.89652,-0.11944,0.1671
0.848525,-0.15355,0.191025
0.8478,-0.1257,0.17365
0.813525,-0.1119,0.128575
0.77155,-0.0776,0.06935
0.776125,-0.0297,0.035475
0.814025,0.009575,0.079275
0.798275,0.0402,0.0292
0.815775,0.03115,-0.05105
0.8516333,0.029,-0.1067
0.8904,0.03326,-0.09462
0.9619,0.049575,-0.010325
1.046075,0.114625,-0.128675
1.159575,0.182025,-0.2592
1.2336,0.1632,-0.1182667
1.274225,0.0969,-0.007175
1.432425,0.027625,-0.04445
1.5743,0.07945,0.08375
1.626075,0.19725,0.13675
1.601575,0.177775,-0.2733
1.453575,0.135125,-0.4
1.09515,0.1048,-0.133925
0.77855,0.045575,0.058525
0.577325,0.018275,0.06645
0.538025,-0.031525,0.067125
0.690075,-0.019875,0.080575
0.810575,0.0107,0.087
0.861125,0.059025,0.090175
0.8996,0.0778,0.056
0.97205,0.078325,0.046175
1.0366667,0.078,0.0158333
1.04122,0.09414,-0.07486
0.990625,0.115925,-0.06975
0.950225,0.136625,0.057725
0.9015,0.119875,0.111375
0.861,0.0978667,0.0998333
0.79786,0.07376,0.08798
0.712025,0.049625,0.064225
0.627575,0.03585,0.04805
0.593625,0.034125,0.01525
0.5914,0.0323,0.0063
0.6342,0.032,0.01646
0.76625,0.04505,0.051675
0.86875,0.033675,0.1261
0.9226,0.02555,0.145775
1.010575,-0.03005,0.068825
1.1421,-0.0945,-0.02215
1.281775,-0.134075,-0.149025
1.43225,-0.185525,-0.251725
1.53185,-0.1034,-0.276125
1.6795,-0.1125,0.083325
1.68755,-0.12795,0.221
1.6393,-0.216825,-0.119425
1.59605,-0.1225,-0.126475
1.286,-0.0234,-0.156275
0.8838333,0.0641,-0.1168333
0.5961,0.04486,0.08148
0.4946667,0.0464333,0.2224
0.51776,-0.00328,0.0259
0.6098,0.0382333,-0.1696
0.73238,0.02672,-0.11436
0.8075,0.0278,-0.046775
0.933475,0.001225,-0.0442
1.059175,-0.01705,-0.0472
1.154175,-0.056225,-0.0714
1.1700667,-0.0933667,-0.0969333
1.08088,-0.09876,0.01244
0.99405,-0.151675,0.196875
0.9285667,-0.1544333,0.2401333
0.868075,-0.179175,0.170825
0.83385,-0.143225,0.0954
0.793975,-0.125325,0.078
0.754925,-0.0707,0.0018
0.67235,-0.027675,-0.0373
0.6328,0.009425,0.023325
0.669975,0.0208,0.072
0.74218,0.0204,0.07864
0.7488,0.040125,0.011075
0.8111667,0.0354,-0.0793333
0.9578,0.058525,-0.109825
1.0779333,0.0710667,-0.067
1.18314,0.13362,-0.18202
1.4028333,0.1106667,-0.0441333
1.57978,0.06764,-0.07228
1.625775,0.0917,-0.12745
1.6511,0.152175,0.077025
1.584675,0.213075,0.1177
1.456075,0.13835,-0.060875
1.172775,0.059825,-0.08475
0.8274,0.01305,0.024675
0.6050667,-0.0254667,0.0983
0.50458,-0.0225,0.0662
0.59785,0.010925,0.0284
0.736525,0.0391,0.154575
0.837175,0.06635,0.187425
0.8865333,0.0589333,0.1080667
0.93174,0.06032,0.01696
1.040975,0.047425,-0.051675
1.10925,0.0319,-0.053625
1.013825,0.050375,0.012
0.9392333,0.0583333,0.0788333
0.87088,0.0731,0.14504
0.794125,0.076275,0.1514
0.74135,0.052375,0.1002
0.702475,0.0609,0.0013
0.6613333,0.0815667,0.0152667
0.63896,0.05806,0.04524
0.59725,0.0781,0.023625
0.611925,0.07735,0.004925
0.708525,0.0493,-0.007725
0.7838667,0.0465333,0.0153667
0.93782,-0.00142,0.0503
1.156025,-0.0712,-0.12005
1.218025,-0.059825,-0.237325
1.25595,-0.04925,-0.145025
1.2923667,-0.0507667,-0.0674333
1.62816,-0.12884,0.0724
2.14785,-0.25775,0.039025
2.007075,-0.101075,-0.005675
1.6185,-0.0931,-0.042375
1.2214,-0.0788333,0.1457333
0.90986,-0.12666,0.31208
0.731125,-0.14355,0.0791
0.697675,-0.167975,-0.06755
0.7642333,-0.1308333,-0.0097333
0.8252,-0.06905,-0.010375
0.83312,0.0215,-0.04142
0.856775,0.02425,0.02695
0.898525,0.01365,0.03305
0.9354,-0.0277333,-0.0003
0.8951,-0.046625,-0.0591
0.877325,-0.099725,-0.0867
0.8828,-0.144225,-0.055675
0.841125,-0.169375,0.01065
0.7823,-0.15815,0.09615
0.71275,-0.136025,0.14035
0.653875,-0.120875,0.1153
0.59105,-0.133225,0.084625
0.59675,-0.1078,0.085325
0.682,-0.04045,0.11185
0.7584,0.015625,0.14015
0.759125,0.068,0.117775
0.7827,0.08385,0.1156
0.911325,0.078975,0.091625
1.07275,0.04895,-0.087475
1.1735667,0.0698333,-0.2745667
1.30332,0.1241,-0.16512
1.50045,0.132025,-0.059625
1.6157,0.10665,0.197775
1.793175,0.06385,0.40365
1.8566667,0.0601667,0.2557667
1.75718,0.07016,-0.02856
1.483625,-0.0241,-0.119325
1.1446,-0.058525,-0.024525
0.80265,-0.1095,0.152625
0.599325,-0.1097,0.14595
0.536625,-0.0958,0.12445
0.511875,-0.019975,0.05895
0.592775,0.03905,0.02205
0.6672,0.038925,0.119825
0.7087333,0.0490333,0.1414
0.77876,0.06374,0.11082
0.902325,0.051375,0.09035
0.95365,0.05335,0.1644
0.9309,0.09105,0.2292
0.8769,0.1026,0.2419667
