accx,accy,accz
0.88505,-0.032525,0.023675
0.848875,-0.051575,0.017275
0.79795,-0.038225,-0.001175
0.7999,-0.03375,0.02
0.820525,0.027725,0.0768
0.891525,0.0154,0.068925
0.8928,0.003225,0.052825
0.900775,0.011,0.13615
0.930125,0.0038,0.160075
0.9554,-0.021075,0.0931
0.92155,-0.034575,0.132175
0.930225,-0.036375,0.183825
0.9765,-0.057025,0.20125
1.030325,-0.0522,0.261775
1.091425,-0.051875,0.248675
1.217225,-0.04385,0.253775
1.321075,-0.028975,0.2592
1.3337,-0.024,0.242175
1.30085,-0.020325,0.219025
1.26595,-0.013325,0.1799
1.2355,0.0273,0.10595
1.162275,0.044725,-0.038875
1.086175,0.050225,-0.150375
1.0131,0.052975,-0.179075
0.959125,0.059825,-0.119325
0.8967667,0.0705667,-0.0439667
0.8621,0.0913,0.000225
0.88756,0.11996,0.0699
0.951375,0.1269,0.211825
0.9672,0.093675,0.2523
0.9458,0.053,0.2076
0.92586,0.01008,0.1743
0.87864,-0.03812,0.06188
0.85606,-0.029,-0.03414
0.81795,-0.009525,-0.0798
0.839175,0.032325,-0.0474
0.8452,0.075775,0.076975
0.88965,0.10865,0.1866
0.8554,0.130675,0.12865
0.8233,0.1079,0.0827333
0.80386,0.09322,0.06168
0.8069,0.0910333,0.1075
0.82044,0.08774,0.12348
0.81315,0.091175,0.1275
0.825425,0.090375,0.154675
0.8599,0.10205,0.210125
0.913425,0.099725,0.23835
0.9636,0.1061333,0.2939333
1.07834,0.11354,0.35672
1.1232,0.1245667,0.2819667
1.0968,0.15324,0.11958
1.152425,0.1799,0.161475
1.2618,0.14195,0.1484
1.325525,0.127125,0.07055
1.3743667,0.1204333,0.0175333
1.37535,0.139575,0.028825
1.34565,0.143175,0.0417
1.289,0.12185,0.050425
1.15885,0.069625,0.018375
0.962325,0.024,0.0012
0.8063,0.005,-0.004425
0.7482,0.017275,0.047425
0.782025,0.03985,0.116875
0.8173,0.045325,0.13265
0.8409,0.050725,0.145625
0.8437,0.063175,0.113125
0.8694,0.05925,0.119075
0.889625,0.063925,0.110075
0.897475,0.07675,0.109575
0.877025,0.06525,0.087825
0.868875,0.016025,0.033525
0.8431,-0.022075,0.02735
0.794325,-0.00495,0.05185
0.7625,0.0406333,0.0291
0.81234,0.08002,0.0123
0.864775,0.092875,0.06835
0.905925,0.07965,0.1162
0.91805,0.0644,0.132025
0.89485,0.0253,0.17475
0.88575,0.00605,0.126275
0.897575,-0.0187,0.1345
0.947275,-0.01545,0.1135
1.0090667,-0.0151333,0.1307
1.04666,0.02048,0.13524
1.1283,0.08475,0.136625
1.175275,0.15955,0.056825
1.172375,0.173425,-0.025125
1.19825,0.183325,-0.025575
1.354425,0.1719,0.028875
1.459075,0.15495,-0.066275
1.414725,0.120025,-0.219725
1.362525,-0.02495,-0.339775
1.2106333,-0.0641333,-0.3693667
1.04678,-0.01672,-0.20436
0.908725,0.04945,-0.118325
0.8476,0.1167667,0.0072
0.86458,0.15766,0.12532
0.9403,0.1272333,0.1708
0.96525,0.0836,0.154325
0.95945,0.0212,0.0576
0.9088,-0.04572,-0.07888
0.8514667,-0.0635333,-0.1016667
0.82782,-0.03276,-0.06728
0.8410333,0.0362,-0.0039667
0.8725,0.106175,0.02675
0.86245,0.18425,0.041375
0.787825,0.2198,-0.0072
0.71756,0.24584,0.00318
0.6733667,0.2820333,0.0499
0.717025,0.28665,0.0661
0.777225,0.2861,0.0852
0.825175,0.267725,0.1366
0.82135,0.21025,0.14645
0.8428667,0.1527,0.1659167
0.851425,0.150025,0.197675
0.864725,0.1585,0.2202
0.885175,0.1702,0.244175
0.96855,0.16235,0.3115
1.119425,0.1738,0.40995
1.162925,0.170025,0.366875
1.006125,0.16805,0.1471
1.002225,0.235275,0.131475
1.221475,0.2516,0.12785
1.394775,0.1986,0.059075
1.4405,0.157275,0.01445
1.347175,0.153625,0.05215
1.2277,0.176,0.03645
1.119375,0.1713,0.00425
0.9672,0.130825,-0.035025
0.8637,0.073925,-0.071425
0.8255,0.0209,-0.077275
0.886925,0.0044,-0.0243
1.00005,0.04615,0.02405
