accx,accy,accz
0.23665,-0.29355,1.1069
0.249275,-0.2907,1.10025
0.224525,-0.2668,1.06025
0.183175,-0.23325,1.047875
0.16745,-0.200075,1.010525
0.1437,-0.157575,0.9583
0.091975,-0.150425,0.852525
0.04595,-0.1524,0.702575
-0.051225,-0.091125,0.6411
-0.11025,-0.0533,0.620975
-0.145725,-0.095075,0.591375
-0.1839,-0.105775,0.6583
-0.2299,-0.1080333,0.7608
-0.21944,-0.10604,0.88098
-0.144525,-0.1386,0.995825
-0.073825,-0.12565,1.194575
0.0264,-0.098,1.442875
0.1183333,-0.0517333,1.5688
0.17444,0.0452,1.54952
0.114725,0.107325,1.20315
0.046475,0.0399,0.9534
0.077325,0.067575,0.7933
0.0895,0.0316333,0.6676667
0.04848,0.02304,0.70512
0.0589,-0.007325,0.899825
0.16815,-0.05535,1.1428
0.226575,-0.0468,1.254225
0.24655,-0.01275,1.16085
0.1914333,-0.0264333,1.1076667
0.1433,0.0132,1.01616
0.10655,0.042275,0.88115
0.074825,0.0158,0.820825
0.0520333,0.0245667,0.8910333
0.0446,0.0181667,0.9892667
0.0165333,-0.0215167,1.12795
0.0552,-0.0501667,1.1703667
0.05634,-0.01928,1.05796
0.0407667,0.0009667,0.973
0.0696,0.00024,1.0166
0.03855,0.019425,0.9551
0.06665,0.04135,0.905025
0.07435,0.0382,0.957775
0.0720667,0.0148333,1.0578667
0.0948667,-0.0389,1.0748333
0.15666,-0.08034,1.03296
0.2143,-0.08735,0.906225
0.210925,-0.057175,0.8676
0.18195,-0.05,0.87505
0.128425,-0.05225,0.92185
0.125175,-0.065825,1.02025
0.1459,-0.075275,1.07885
0.150175,-0.087675,1.10265
0.113075,-0.09955,1.097075
0.051725,-0.101375,1.1039
0.014325,-0.107475,1.102125
0.023275,-0.120675,1.0648
0.0485,-0.14495,1.026775
0.05825,-0.15835,1.008025
0.09315,-0.1837,1.001425
0.084775,-0.1736,1.019575
0.126675,-0.1531,0.987725
0.14575,-0.130525,0.9667
0.157925,-0.09965,0.94925
0.138075,-0.084325,0.954475
0.1421,-0.086825,0.9846
0.135425,-0.089475,0.99905
0.12285,-0.10795,1.0142
0.13025,-0.11715,1.026775
0.10445,-0.111,1.016475
0.0895,-0.1051,1.0024
0.079475,-0.095925,1.002225
0.08095,-0.088625,1.000575
0.0748,-0.083775,1.012975
0.0725,-0.0844,1.0227333
0.0715,-0.08492,1.02422
0.081125,-0.08875,1.02675
0.088325,-0.0946,1.028
0.0985333,-0.1021667,1.0173667
0.1047,-0.10796,1.00978
0.1096,-0.113475,0.99685
0.105175,-0.11525,0.99245
0.102075,-0.1133,0.98945
0.096375,-0.111775,0.99305
0.0931,-0.1113,1.0046
