accx,accy,accz
0.9587333,-0.0064333,0.2480667
0.95924,-0.00524,0.2547
0.961125,-0.0083,0.249725
0.961425,-0.009625,0.246575
0.963725,-0.01295,0.238775
0.9605,-0.0095,0.2413
0.95686,-0.00544,0.25198
0.9559,-0.003225,0.24895
0.95705,-0.002975,0.24695
0.956825,-0.004525,0.25415
0.9596,-0.0081,0.2593667
0.95892,-0.00998,0.25192
0.96,-0.009375,0.244225
0.9589,-0.0099,0.250325
0.955925,-0.00745,0.2474
0.955175,-0.0027,0.24185
0.962175,-0.0053,0.24175
0.96445,-0.009775,0.2432
0.96345,-0.01275,0.239675
0.95805,-0.008675,0.2444
0.95455,-0.00625,0.2465
0.95205,-0.00525,0.2475
0.956075,-0.007925,0.249725
0.96,-0.01155,0.24585
0.963025,-0.01235,0.238
0.95975,-0.008925,0.23245
0.9591333,-0.0043,0.2432333
0.9591,-0.009,0.24936
0.958775,-0.01165,0.2394
0.9627,-0.0112,0.24085
0.9634,-0.0095667,0.2469
0.95886,-0.01038,0.24138
0.956875,-0.00945,0.23765
0.959975,-0.012775,0.24075
0.966275,-0.0137,0.2433
0.9605,-0.0113667,0.2445667
0.9554,-0.0092,0.2407
0.958775,-0.010525,0.240475
0.9614667,-0.0120333,0.2371333
0.961025,-0.01105,0.237875
0.959925,-0.01115,0.24185
0.95732,-0.0079,0.24788
0.9605,-0.0084333,0.2529333
0.96822,-0.01376,0.24338
0.9643333,-0.0148,0.2366667
0.95555,-0.00855,0.24435
0.951875,-0.0058,0.251875
0.9581,-0.0099,0.2479
0.9586,-0.014225,0.248925
0.961775,-0.01415,0.2469
0.961625,-0.0105,0.242125
0.9581,-0.007625,0.24885
0.9611,-0.0092,0.248425
0.960125,-0.0113,0.23955
0.959825,-0.009675,0.245325
0.9614667,-0.0120333,0.2447333
0.96204,-0.01368,0.24482
0.9581,-0.0117,0.243775
0.956875,-0.009825,0.248875
0.957125,-0.010025,0.251675
0.958225,-0.011175,0.2537
0.956125,-0.010825,0.250225
0.953825,-0.011725,0.257925
0.95575,-0.012225,0.255275
0.961025,-0.0148,0.242075
0.967175,-0.01505,0.233875
0.961325,-0.0083,0.237525
0.956475,-0.0105,0.2479
0.953,-0.0075,0.25115
0.95835,-0.00805,0.24195
0.96465,-0.00465,0.2375
0.9672,-0.00905,0.255875
0.962075,-0.016925,0.2574
0.95315,-0.016725,0.25585
0.951425,-0.012225,0.2488
0.957875,-0.007825,0.242875
0.9619,-0.007375,0.24355
0.9595,-0.008975,0.256625
0.95635,-0.01035,0.254375
0.9579,-0.012175,0.2515
0.9578667,-0.0121667,0.2537333
0.959,-0.01226,0.2523
0.9628,-0.013425,0.2615
0.957325,-0.01365,0.258275
0.951875,-0.007875,0.250275
0.9511333,-0.0041333,0.2453333
0.95668,-0.00358,0.25204
