accx,accy,accz
0.98385,0.05915,0.04425
0.9833,0.0622,0.0480333
0.98482,0.0612,0.03968
0.9766333,0.0651333,0.0264
0.97325,0.065575,0.03095
0.97484,0.0676,0.03828
0.9712667,0.0652,0.0543667
0.973725,0.06575,0.0529
0.985625,0.07205,0.0441
1.00546,0.06232,0.03172
1.0011,0.0629,0.0113333
1.002425,0.064475,0.0225
0.988175,0.06895,0.02795
0.9672,0.06715,0.028025
0.958675,0.070325,0.02775
0.9577,0.0633,0.030675
0.97,0.059575,0.0262
0.981325,0.054125,0.036625
0.978625,0.056825,0.030725
0.98565,0.054375,0.030275
0.97645,0.052025,0.044975
0.97525,0.06485,0.031375
0.9835,0.05735,0.04365
0.9925833,0.0586667,0.04345
0.99405,0.054075,0.03805
0.98445,0.055125,0.035775
0.989675,0.05445,0.04355
0.9939667,0.0582,0.0589333
0.98878,0.06032,0.06018
0.97435,0.0597,0.032975
0.971475,0.05485,0.0233
0.9741,0.054825,0.038525
0.9757,0.058525,0.04445
0.98365,0.054375,0.041925
0.982475,0.060675,0.038075
0.990775,0.06025,0.03945
0.97285,0.0657,0.024775
0.995,0.0621667,0.0388333
0.98344,0.06908,0.05008
0.984475,0.065625,0.052225
0.97565,0.061975,0.0361
0.97855,0.057075,0.032475
0.979475,0.056275,0.039725
0.974225,0.05575,0.042525
0.973575,0.057025,0.046725
0.979375,0.0559,0.03945
0.98415,0.056425,0.038125
0.9829,0.0602,0.04985
0.9834,0.0681333,0.0499
0.98812,0.06768,0.0498
0.984375,0.071175,0.06115
0.981725,0.0729,0.042925
0.97905,0.073625,0.028775
0.980425,0.071325,0.0282
0.99305,0.059525,0.03565
0.9856,0.056775,0.028275
0.991225,0.055,0.018925
0.984325,0.061975,0.02195
0.9829,0.062925,0.039325
0.981275,0.06565,0.054975
0.974225,0.069475,0.052525
0.968125,0.0743,0.046475
0.963475,0.0735,0.0433
0.97075,0.06835,0.037
0.983575,0.061425,0.03875
0.9854,0.0634,0.0480333
0.98785,0.064025,0.041825
0.9826,0.06876,0.033
0.987125,0.067725,0.040175
0.9891,0.065825,0.03995
0.987675,0.06575,0.037975
0.98335,0.06485,0.046
0.9824333,0.0641667,0.0284667
0.979675,0.060075,0.01945
0.973975,0.0615,0.037675
0.97045,0.064775,0.0408
0.973625,0.059775,0.027525
0.980575,0.055925,0.02295
0.984725,0.05445,0.039725
0.98785,0.05695,0.0502
0.992875,0.056025,0.0548
0.990775,0.0519,0.044625
0.9872,0.0541,0.032825
0.97795,0.058475,0.030975
0.982,0.06115,0.0411
0.980825,0.064275,0.0389
0.979725,0.067025,0.0438
0.9804,0.0693,0.032375
0.981575,0.067875,0.0218
0.98435,0.067225,0.031275
0.98085,0.06675,0.0205
0.98725,0.06025,0.02075
0.984325,0.05995,0.02735
0.983525,0.06275,0.040125
