accx,accy,accz
1.112175,0.175075,-0.2972
1.246275,0.3241,-0.2014
1.1753,0.31675,-0.216775
1.00375,0.207075,-0.27905
0.827175,0.068375,-0.224625
0.757,-0.040375,-0.1648
0.8415,-0.074725,-0.15385
1.017625,0.019075,-0.110575
0.992725,0.03325,-0.0861
0.911725,0.04845,-0.03675
0.829625,0.06315,0.03855
0.793725,0.08415,-0.0009
0.790075,0.061775,-0.035425
0.8538,0.014825,-0.03035
0.8712,0.0204,0.026925
0.8796667,0.0109333,0.1171
0.834,-0.03188,0.14572
0.81435,-0.083975,0.105875
0.86215,-0.08635,0.090125
0.9662,-0.053525,0.185975
1.0166667,-0.0175667,0.2539333
1.07152,-0.01136,0.15656
1.1077,-0.0058,0.1168
1.10845,-0.010275,0.205425
1.1029,-0.005475,0.1965
1.1254667,-0.0404333,0.202
1.18026,-0.05516,0.27156
1.26125,0.024725,0.293225
1.139175,0.17235,-0.141075
1.1004,0.3286667,-0.3611667
1.02726,0.22596,-0.29418
1.1343667,0.0990333,-0.2874333
1.08952,0.10202,-0.26338
1.029175,0.20025,-0.1443
1.0592,0.2468,0.044725
1.026675,0.1815,0.11515
0.974725,0.0735,-0.003025
0.8803,0.0438,-0.030625
0.817475,0.0038,-0.02045
0.8221,-0.043925,0.02415
0.835625,-0.022225,0.0672
0.78985,0.032125,0.060475
0.7268333,0.0868,0.0601667
0.74302,0.10646,0.06324
0.7582667,0.1271333,0.0752333
0.77812,0.1266,0.09102
0.8316,0.1424,0.104025
0.8962,0.141075,0.149125
0.940625,0.145875,0.18035
0.9835,0.1507,0.1790333
1.01812,0.1453,0.20044
1.074225,0.130525,0.108525
1.1376333,0.1251,0.0507
1.3,0.107225,0.1558
1.375175,0.049375,0.35875
1.25008,0.01994,0.44108
1.1133333,-0.0567,0.3611333
1.041075,-0.0639,0.033475
0.990275,0.0435,-0.3697
1.0228,0.19765,-0.39385
1.113825,0.31605,-0.27335
1.102625,0.2798,-0.129775
1.00265,0.193275,-0.100925
0.9001,0.0869,-0.1717
0.862025,-0.002225,-0.239125
0.9157,-0.0141333,-0.2456333
1.0633,0.03186,-0.07844
1.05985,0.028925,0.0601
0.921925,0.024125,0.02325
