accx,accy,accz
1.20345,-0.009975,0.020375
1.2893,0.07635,0.184775
1.381425,0.1098,0.2587
1.309225,0.19555,0.25675
1.32665,0.21155,0.265925
1.3154,0.275925,0.3292
1.279275,0.21815,0.298975
1.107525,0.121,0.1484
0.984325,0.02805,0.136125
0.889775,-0.003775,0.19435
0.7972,0.0378,0.22455
0.7474333,0.0605667,0.2253
0.71464,0.08134,0.23268
0.70265,0.124825,0.2403
0.6924,0.14525,0.22575
0.709425,0.14505,0.1919
0.7255,0.1385333,0.1612
0.73695,0.1298,0.137525
0.70792,0.1152,0.14532
0.6655,0.100825,0.15425
0.67855,0.06295,0.1481
0.7738333,0.0104333,0.1563333
0.88454,0.0038,0.17646
0.965,0.04715,0.22615
0.943225,0.0767,0.294275
0.862525,0.088875,0.298825
0.8523667,0.1052,0.2558
0.935,0.14666,0.18972
1.0607333,0.1758333,0.1228
1.2854,0.140375,0.210025
1.422475,0.06,0.253075
1.27554,-0.07012,0.03642
1.184675,-0.155575,-0.071525
1.2510667,-0.1338667,0.0330333
1.353625,-0.04805,0.248825
1.310775,0.082175,0.34065
1.245975,0.09635,0.282675
1.19675,0.0474,0.2121
1.09505,0.00275,0.129125
0.988225,-0.031175,0.077825
0.912375,-0.037325,0.072675
0.8854,-0.02315,0.10965
0.8741833,-0.0251833,0.13195
0.83245,-0.056425,0.084525
0.787725,-0.086875,0.11815
0.7527333,-0.0757667,0.1921333
0.71368,-0.04582,0.21044
0.69195,-0.033075,0.152525
0.666025,-0.0448,0.154525
0.6717,-0.065,0.13765
0.732425,-0.05095,0.1654
0.7543667,-0.01,0.1735
0.79142,-0.0046,0.1468
0.8541,-0.030925,0.166175
0.894,-0.0580667,0.147
0.95212,-0.05736,0.19608
1.069675,-0.0852,0.18685
1.1683,-0.049675,0.15255
1.206325,-0.068925,0.040825
1.27265,0.00805,0.062175
1.3795,0.073325,0.155325
1.4244333,0.1547333,0.1743667
1.46884,0.2038,0.16912
1.41635,0.1799,0.056675
1.30055,0.111025,-0.049325
1.27325,0.04825,0.012925
1.2138667,0.0547667,0.1201333
1.0974,0.08984,0.19504
0.97735,0.1188,0.225875
0.88385,0.079975,0.196675
0.7667,0.055675,0.138375
0.651025,0.0506,0.106775
0.567475,0.067825,0.070675
0.527625,0.094975,0.08985
0.5105,0.10695,0.10955
0.502775,0.0985,0.110325
0.5031,0.0988333,0.0654667
0.51856,0.11648,0.07734
0.614775,0.128075,0.1627
0.76005,0.088325,0.208225
0.888675,0.022625,0.140825
0.9938333,0.0274667,0.0249667
1.03586,0.0686,0.07408
1.1128667,0.13,0.1793667
1.14825,0.1492,0.177125
1.23712,0.14572,0.10226
1.33355,0.1776375,0.0224
1.139025,0.080475,0.02125
1.17175,-0.02005,-0.037
1.3736,-0.0443,0.0269333
1.378825,0.0199,0.2573
1.34205,-0.0315,0.230025
1.28145,-0.082475,0.16045
1.23555,-0.1053,0.1691
1.144,-0.0395,0.1719
1.0249,0.0028,0.1239
0.921675,0.030475,0.0689
0.87895,0.016325,0.001375
0.84515,0.00085,-0.012175
0.818475,-0.018025,-0.00845
0.796375,-0.02285,-0.019675
0.791675,-0.013825,0.017875
0.761325,0.005525,0.093525
0.750025,0.0067,0.12475
0.7211,-0.006975,0.0846
0.67815,-0.023275,0.0263
0.665375,-0.012525,0.0621
0.749075,0.008875,0.18505
0.843275,0.005425,0.16735
0.846275,0.005425,0.008275
0.799725,0.0016,0.014375
0.912075,-0.008025,0.192875
1.018,-0.01455,0.251075
1.059425,-0.011125,0.1615
1.1379,-0.021225,0.11235
1.2162,-0.0671,0.0878
1.2543,-0.04426,0.04116
1.219825,0.04925,0.04475
1.3481,0.134025,0.191625
1.469,0.1701,0.283575
1.3814,0.1296667,0.2023333
1.25445,0.0316,0.0931
1.15102,-0.03102,0.055
1.028275,-0.008,0.081725
0.96595,0.090125,0.17295
0.9381667,0.147,0.2382333
0.86006,0.16254,0.2014
0.7419,0.1059,0.106975
0.6622,0.050475,0.0381
0.6002,-0.0027667,-0.0101
0.558025,-0.006525,-0.0247
0.5521,0.0046,0.01002
0.5687,0.044775,0.04795
0.62035,0.112475,0.09195
0.6912,0.1668333,0.0857667
0.8032,0.166225,0.1314
0.97978,0.11032,0.28836
1.09415,0.04955,0.25235
1.13685,0.025,0.16655
1.1603,-0.000175,0.22705
1.17155,0.014825,0.276375
1.24035,0.033225,0.303
1.34405,0.10695,0.245925
