accx,accy,accz
0.717675,0.05725,-0.106825
0.79185,0.122725,0.0703
0.93455,0.193075,0.20145
1.00705,0.195825,0.22565
0.972175,0.13785,0.166125
0.899475,0.081225,0.113625
0.800075,0.061975,0.077875
0.7691,0.03025,0.040975
0.7211,-0.0093,-0.01935
0.7196,-0.073475,-0.081425
0.6798,-0.131875,-0.096825
0.69015,-0.153325,-0.095925
0.7526,-0.13205,-0.0736
0.82845,-0.071475,0.030575
0.889725,-0.002875,0.130675
0.960725,0.03035,0.19615
1.05925,0.037875,0.0967
1.11075,0.0116,0.1055
1.197825,0.02525,0.02975
1.2653333,0.0303333,0.0638333
1.3156,0.05474,0.13196
1.3405,0.0431,0.1402333
1.27076,0.0932,0.1087
1.3058667,0.0879333,0.1868
1.37162,0.08242,0.04344
1.3447333,0.0830333,-0.0818667
1.21462,0.0194,-0.1061
1.0097,0.0030333,-0.1354
0.862175,0.052125,-0.07455
0.96835,0.120425,0.0262
1.121225,0.223,0.23375
1.094,0.211225,0.240625
0.9389,0.095025,0.09725
0.817125,0.0201,-0.0273
0.789775,-0.02615,0.006875
0.701,-0.0245,0.00315
0.656475,0.025475,0.055775
0.606225,0.069725,0.0804
0.56435,0.1045,0.0662
0.5457,0.1853333,0.0433
0.58888,0.24624,0.03192
0.6908,0.2783,0.0785
0.79235,0.3061,0.10875
0.79825,0.243875,0.09445
0.8645,0.2444667,0.0606667
1.0283,0.21774,0.1542
1.1707,0.1634,0.27575
1.154625,0.112175,0.2834
1.224,0.104175,0.398875
1.1859,0.131175,0.40195
1.2203,0.1951,0.3239
1.300125,0.079625,0.1842
1.355725,0.088,-0.0065
1.334025,0.130075,-0.0921
1.23395,0.16175,-0.04815
1.0709,0.119525,-0.101825
0.957375,0.089925,-0.08595
0.907325,0.112375,-0.0205
0.924575,0.167325,0.03295
0.9453667,0.188,0.0523333
0.95294,0.13494,0.07296
0.909825,0.097575,0.0515
0.8313,0.053575,0.08625
0.7612,0.0226667,0.0429
0.67596,-0.04436,-0.05706
0.634725,-0.14105,-0.116075
0.6332333,-0.1684,-0.1244667
0.67344,-0.12538,-0.09886
0.6968,-0.068925,-0.068575
0.7589,-0.0463333,-0.0179667
0.84845,0.0017,0.051575
0.94544,0.03592,0.09574
1.055875,0.03125,0.1408
1.2083333,0.0049,0.2412
1.341325,-0.006775,0.249725
1.427725,-0.0341,0.249725
1.42066,-0.05634,0.171
1.2963667,-0.0233667,0.0396333
1.2175,-0.015625,0.062
1.359275,-0.02345,0.088325
1.398575,0.068825,-0.088175
1.253375,0.10645,-0.201025
1.058375,0.101925,-0.198875
0.9155,0.109325,-0.091075
0.7981,0.1507,-0.00785
0.8115,0.202575,0.04625
0.90095,0.230375,0.17125
0.920025,0.156425,0.127425
0.8795,0.0502,-0.001175
0.8359,-0.00745,-0.0373
0.816,-0.047175,-0.02715
0.767075,-0.034475,-0.025125
0.744275,0.00935,-0.021525
0.732075,0.0635,0.003275
0.731375,0.107,0.1025
0.703225,0.148325,0.071775
0.66155,0.183375,0.045925
0.67115,0.208375,0.070125
0.7268,0.21785,0.1115
0.7783333,0.2080333,0.1365
0.8275,0.22198,0.15728
0.874325,0.221225,0.1665
0.950275,0.224775,0.234675
1.07975,0.213875,0.29605
1.2082,0.1703,0.365275
1.25435,0.1377,0.4017
1.139275,0.134875,0.323
1.088825,0.15565,0.147275
1.25725,0.1879,0.117975
1.399425,0.173125,0.06375
1.435375,0.18345,-0.01745
1.355175,0.166525,-0.0381
1.1627,0.10045,-0.117625
0.916625,0.0251,-0.16245
0.774375,-0.021725,-0.159525
0.7521,-0.018825,-0.073425
0.85275,0.03775,0.03725
0.97465,0.101575,0.0851
1.035225,0.121975,0.1035
1.037625,0.07405,0.05985
1.03785,0.00275,0.001525
0.94905,-0.01565,-0.0048
0.8305,-0.00205,-0.008325
0.7568,-0.01075,-0.009625
0.734875,-0.033675,-0.0422
0.7163,-0.0624,-0.041875
0.729725,-0.0557,-0.02605
0.770925,-0.02895,0.04885
0.8137,0.0099,0.08075
0.848225,0.01185,0.10465
0.8718,-0.0199,0.076125
0.9344,-0.0352,0.06555
1.062975,-0.019225,0.136
1.236775,0.01615,0.21775
1.4086,0.038175,0.268675
1.475075,-0.014525,0.17365
1.3221,-0.0148,-0.0324
1.24575,0.021025,-0.07215
1.345525,0.085625,0.00645
1.40995,0.18195,-0.06255
1.347,0.20416,-0.17796
1.227225,0.1496,-0.10375
1.0735,0.1422667,-0.0526
0.923,0.16062,0.11598
0.9297667,0.1468333,0.2013
0.96285,0.087525,0.21385
0.856,-0.00266,0.05326
0.7803667,-0.0788,-0.0238333
0.7631,-0.107,0.049525
0.70635,-0.094175,0.0467
0.65445,-0.04295,0.059625
0.607825,0.018825,0.0699
0.5736,0.096925,0.087425
0.6113,0.14715,0.1091
0.6361333,0.2037,0.1403333
0.66358,0.23096,0.11324
0.74965,0.244375,0.1583
0.799875,0.240025,0.1286
0.80665,0.2391,0.140825
0.780025,0.241925,0.189775
0.803775,0.254875,0.25905
0.89855,0.276475,0.33105
1.0674,0.264725,0.400125
1.281175,0.2003,0.482125
1.453075,0.265775,0.59485
1.13635,0.272725,0.361425
1.128375,0.143975,0.259425
1.237775,0.1389,0.19925
1.340725,0.14735,-0.05345
1.41845,0.236125,-0.075625
1.277175,0.21585,-0.1572
1.124725,0.1713,-0.2002
1.002725,0.115,-0.24485
0.873225,0.091,-0.19375
0.8373,0.116475,-0.1259
0.88075,0.127575,-0.0407
0.95455,0.105525,-0.0655
0.9878,0.072175,-0.031925
0.958175,0.033425,-0.021925
0.9262,-0.036775,-0.043975
0.850575,-0.077075,-0.0502
0.753375,-0.080825,-0.022525
0.659325,-0.063,-0.0138
0.61425,-0.083125,-0.0156
0.59475,-0.118,-0.025225
0.618375,-0.149475,-0.04
0.66435,-0.1392,0.02495
0.747525,-0.133125,0.0847
0.8293333,-0.1191,0.1415333
0.942275,-0.10915,0.16775
1.0498333,-0.1192667,0.1726
1.07574,-0.11622,0.1524
1.0133,-0.1285,-0.08442
0.90185,-0.0924,-0.247025
0.84915,-0.00905,-0.267075
0.958225,0.0863,-0.04765
1.233025,0.280025,0.0667
1.39815,0.43465,0.098575
1.4984333,0.4337333,0.1530333
1.39442,0.31058,0.1115
1.06685,0.46895,0.1451
1.0606667,0.1974333,0.1651
1.006925,0.0666,-0.00545
0.9698,0.005,0.051175
0.968975,-0.000725,0.149475
0.93855,0.0021,0.1897
0.886275,0.02815,0.219325
0.7882,0.0699,0.242175
0.681775,0.087975,0.1976
0.593525,0.107425,0.1751
0.520675,0.17405,0.151375
0.50745,0.254275,0.1652
0.57645,0.2987,0.196425
0.66575,0.34495,0.21625
0.819075,0.323675,0.20775
1.004425,0.2888,0.2053
1.158175,0.232225,0.24045
1.26585,0.173675,0.29645
1.323975,0.1117,0.3186
1.27565,0.0537,0.308975
1.21825,0.060625,0.258525
1.2147,0.142575,0.2397
1.242525,0.19,0.2581
1.241325,0.200575,0.001725
1.17785,0.197075,-0.236775
1.165175,0.18455,-0.2381
1.02495,0.187725,-0.2002
0.84485,0.169375,-0.2237
0.760975,0.17465,-0.1875
0.8294333,0.1893,-0.1303667
1.02582,0.22066,-0.06612
1.175825,0.243525,-0.005175
1.1512,0.20385,-0.028875
1.0602333,0.1308,-0.0513667
0.93364,0.08032,-0.08878
