time,gFx,gFy,gFz,TgF
16:49:49:581,0.9778,0.0271,0.1636,0.992
16:49:49:581,0.9653,0.0366,0.1753,0.982
16:49:49:584,0.9609,0.0432,0.1838,0.979
16:49:49:590,0.9638,0.0452,0.1890,0.983
16:49:49:595,0.9656,0.0469,0.1900,0.985
16:49:49:600,0.9636,0.0476,0.1924,0.984
16:49:49:605,0.9626,0.0466,0.1973,0.984
16:49:49:610,0.9626,0.0442,0.2012,0.984
16:49:49:614,0.9626,0.0415,0.2041,0.985
16:49:49:620,0.9631,0.0393,0.2088,0.986
16:49:49:625,0.9643,0.0366,0.2164,0.989
16:49:49:630,0.9609,0.0361,0.2200,0.986
16:49:49:635,0.9641,0.0332,0.2232,0.990
16:49:49:644,0.9702,0.0280,0.2278,0.997
16:49:49:645,0.9717,0.0266,0.2234,0.997
16:49:49:650,0.9736,0.0258,0.2151,0.997
16:49:49:655,0.9775,0.0241,0.2051,0.999
16:49:49:660,0.9800,0.0219,0.1944,0.999
16:49:49:665,0.9800,0.0195,0.1868,0.998
16:49:49:670,0.9788,0.0190,0.1834,0.996
16:49:49:675,0.9792,0.0197,0.1821,0.996
16:49:49:680,0.9817,0.0210,0.1860,0.999
16:49:49:685,0.9783,0.0251,0.1904,0.997
16:49:49:691,0.9724,0.0278,0.1909,0.991
16:49:49:695,0.9651,0.0307,0.1868,0.983
16:49:49:700,0.9604,0.0342,0.1826,0.978
16:49:49:706,0.9592,0.0364,0.1809,0.977
16:49:49:711,0.9607,0.0364,0.1824,0.979
16:49:49:715,0.9629,0.0356,0.1858,0.981
16:49:49:720,0.9643,0.0368,0.1917,0.984
16:49:49:725,0.9641,0.0388,0.1975,0.985
16:49:49:731,0.9634,0.0398,0.2022,0.985
16:49:49:735,0.9619,0.0408,0.2022,0.984
16:49:49:744,0.9631,0.0425,0.2005,0.985
16:49:49:745,0.9673,0.0412,0.2010,0.989
16:49:49:751,0.9729,0.0378,0.2005,0.994
16:49:49:755,0.9770,0.0364,0.2000,0.998
16:49:49:762,0.9741,0.0354,0.1980,0.995
16:49:49:766,0.9814,0.0437,0.2022,1.003
16:49:49:771,0.9805,0.0452,0.2078,1.003
16:49:49:775,0.9739,0.0430,0.2100,0.997
16:49:49:781,0.9709,0.0425,0.2117,0.995
16:49:49:786,0.9704,0.0405,0.2066,0.993
16:49:49:791,0.9678,0.0378,0.1997,0.989
16:49:49:795,0.9651,0.0366,0.1953,0.985
16:49:49:800,0.9648,0.0351,0.1970,0.985
16:49:49:806,0.9631,0.0344,0.2034,0.985
16:49:49:811,0.9629,0.0337,0.2098,0.986
16:49:49:816,0.9638,0.0359,0.2117,0.987
16:49:49:821,0.9626,0.0386,0.2107,0.986
16:49:49:826,0.9621,0.0383,0.2076,0.985
16:49:49:832,0.9616,0.0376,0.2049,0.984
16:49:49:845,0.9604,0.0378,0.2019,0.982
16:49:49:846,0.9607,0.0376,0.1973,0.981
16:49:49:847,0.9638,0.0366,0.1929,0.984
16:49:49:851,0.9673,0.0359,0.1897,0.986
16:49:49:856,0.9704,0.0368,0.1878,0.989
16:49:49:862,0.9722,0.0364,0.1868,0.991
16:49:49:866,0.9717,0.0368,0.1860,0.990
16:49:49:871,0.9690,0.0381,0.1858,0.987
16:49:49:876,0.9682,0.0388,0.1868,0.987
16:49:49:881,0.9695,0.0381,0.1897,0.989
16:49:49:887,0.9700,0.0373,0.1934,0.990
16:49:49:893,0.9709,0.0366,0.1936,0.991
16:49:49:896,0.9719,0.0366,0.1931,0.992
16:49:49:901,0.9709,0.0371,0.1939,0.991
16:49:49:906,0.9690,0.0371,0.1953,0.989
16:49:49:911,0.9680,0.0366,0.1983,0.989
16:49:49:916,0.9673,0.0356,0.2019,0.989
16:49:49:923,0.9685,0.0342,0.2068,0.991
16:49:49:926,0.9709,0.0337,0.2117,0.994
16:49:49:932,0.9739,0.0339,0.2127,0.997
16:49:49:945,0.9756,0.0329,0.2112,0.999
16:49:49:946,0.9751,0.0324,0.2083,0.998
16:49:49:947,0.9726,0.0324,0.2039,0.994
16:49:49:952,0.9680,0.0342,0.2012,0.989
16:49:49:956,0.9641,0.0361,0.1988,0.985
16:49:49:963,0.9641,0.0361,0.1980,0.985
16:49:49:967,0.9663,0.0344,0.1961,0.987
16:49:49:973,0.9690,0.0349,0.1924,0.989
16:49:49:976,0.9709,0.0349,0.1895,0.990
16:49:49:981,0.9695,0.0346,0.1875,0.988
16:49:49:986,0.9663,0.0364,0.1875,0.985
16:49:49:992,0.9643,0.0393,0.1914,0.984
16:49:49:996,0.9646,0.0408,0.1970,0.985
16:49:50:001,0.9648,0.0408,0.2032,0.987
16:49:50:006,0.9646,0.0425,0.2078,0.988
16:49:50:012,0.9626,0.0442,0.2088,0.986
16:49:50:016,0.9614,0.0456,0.2066,0.984
16:49:50:022,0.9619,0.0459,0.2041,0.984
16:49:50:027,0.9629,0.0452,0.2027,0.985
16:49:50:032,0.9636,0.0449,0.2029,0.986
16:49:50:046,0.9629,0.0454,0.2054,0.986
16:49:50:047,0.9626,0.0444,0.2078,0.986
16:49:50:048,0.9624,0.0432,0.2102,0.986
16:49:50:053,0.9614,0.0420,0.2137,0.986
16:49:50:056,0.9612,0.0408,0.2164,0.986
16:49:50:063,0.9614,0.0386,0.2161,0.986
16:49:50:066,0.9612,0.0376,0.2132,0.985
16:49:50:072,0.9607,0.0390,0.2085,0.984
16:49:50:077,0.9597,0.0408,0.2061,0.982
16:49:50:082,0.9590,0.0410,0.2046,0.981
16:49:50:087,0.9604,0.0403,0.2061,0.983
16:49:50:093,0.9634,0.0395,0.2068,0.986
16:49:50:097,0.9663,0.0388,0.2107,0.990
16:49:50:103,0.9665,0.0378,0.2137,0.991
16:49:50:107,0.9663,0.0388,0.2164,0.991
16:49:50:112,0.9638,0.0400,0.2183,0.989
16:49:50:117,0.9648,0.0393,0.2203,0.990
16:49:50:122,0.9687,0.0390,0.2237,0.995
16:49:50:128,0.9687,0.0400,0.2266,0.996
16:49:50:133,0.9687,0.0412,0.2269,0.996
16:49:50:146,0.9702,0.0422,0.2249,0.997
16:49:50:148,0.9719,0.0415,0.2198,0.997
16:49:50:148,0.9739,0.0405,0.2146,0.998
16:49:50:153,0.9744,0.0388,0.2107,0.998
16:49:50:160,0.9741,0.0383,0.2071,0.997
16:49:50:163,0.9726,0.0393,0.2019,0.994
16:49:50:167,0.9714,0.0398,0.1973,0.992
16:49:50:173,0.9695,0.0390,0.1929,0.989
