time,gFx,gFy,gFz,TgF
15:42:41:837,0.9066,0.0320,0.3432,0.970
15:42:41:838,0.9147,0.0285,0.3559,0.982
15:42:41:839,0.9189,0.0300,0.3669,0.990
15:42:41:843,0.9213,0.0324,0.3723,0.994
15:42:41:848,0.9191,0.0354,0.3735,0.993
15:42:41:853,0.9137,0.0390,0.3711,0.987
15:42:41:861,0.9066,0.0420,0.3674,0.979
15:42:41:863,0.9018,0.0447,0.3642,0.974
15:42:41:868,0.8993,0.0466,0.3662,0.972
15:42:41:874,0.9000,0.0474,0.3752,0.976
15:42:41:879,0.9010,0.0483,0.3899,0.983
15:42:41:882,0.9037,0.0483,0.4043,0.991
15:42:41:888,0.9088,0.0469,0.4129,0.999
15:42:41:899,0.9152,0.0437,0.4156,1.006
15:42:41:900,0.9189,0.0415,0.4141,1.009
15:42:41:903,0.9201,0.0412,0.4087,1.008
15:42:41:908,0.9213,0.0412,0.4043,1.007
15:42:41:914,0.9223,0.0408,0.4002,1.006
15:42:41:919,0.9238,0.0398,0.3928,1.005
15:42:41:924,0.9240,0.0371,0.3850,1.002
15:42:41:929,0.9225,0.0368,0.3796,0.998
15:42:41:933,0.9196,0.0373,0.3784,0.995
15:42:41:938,0.9157,0.0395,0.3774,0.991
15:42:41:943,0.9137,0.0405,0.3767,0.989
15:42:41:948,0.9132,0.0408,0.3762,0.989
15:42:41:953,0.9135,0.0398,0.3750,0.988
15:42:41:959,0.9128,0.0400,0.3713,0.986
15:42:41:963,0.9106,0.0412,0.3662,0.982
15:42:41:969,0.9101,0.0412,0.3611,0.980
15:42:41:974,0.9113,0.0405,0.3584,0.980
15:42:41:984,0.9132,0.0410,0.3589,0.982
15:42:41:985,0.9145,0.0417,0.3645,0.985
15:42:41:988,0.9145,0.0417,0.3740,0.989
15:42:41:997,0.9154,0.0425,0.3840,0.994
15:42:41:999,0.9154,0.0430,0.3919,0.997
15:42:42:003,0.9154,0.0442,0.3960,0.998
15:42:42:010,0.9154,0.0452,0.3963,0.999
15:42:42:014,0.9167,0.0459,0.3950,0.999
15:42:42:019,0.9169,0.0469,0.3941,0.999
15:42:42:024,0.9169,0.0471,0.3948,0.999
15:42:42:028,0.9174,0.0469,0.3965,1.001
15:42:42:033,0.9179,0.0459,0.3955,1.001
15:42:42:041,0.9191,0.0452,0.3928,1.001
15:42:42:044,0.9208,0.0452,0.3894,1.001
15:42:42:049,0.9225,0.0452,0.3855,1.001
15:42:42:053,0.9225,0.0447,0.3814,0.999
15:42:42:059,0.9223,0.0456,0.3787,0.998
15:42:42:064,0.9218,0.0469,0.3799,0.998
15:42:42:069,0.9201,0.0469,0.3828,0.998
15:42:42:074,0.9184,0.0466,0.3860,0.997
15:42:42:079,0.9181,0.0459,0.3894,0.998
15:42:42:085,0.9174,0.0459,0.3928,0.999
15:42:42:090,0.9162,0.0466,0.3965,0.999
15:42:42:095,0.9137,0.0478,0.3990,0.998
15:42:42:099,0.9110,0.0481,0.3997,0.996
15:42:42:104,0.9093,0.0476,0.3994,0.994
15:42:42:117,0.9076,0.0449,0.3994,0.993
15:42:42:119,0.9079,0.0437,0.3980,0.992
15:42:42:119,0.9093,0.0430,0.3958,0.993
15:42:42:124,0.9088,0.0410,0.3941,0.991
15:42:42:130,0.9086,0.0403,0.3897,0.989
15:42:42:134,0.9103,0.0383,0.3836,0.989
15:42:42:141,0.9115,0.0376,0.3767,0.987
15:42:42:144,0.9130,0.0388,0.3686,0.985
15:42:42:149,0.9130,0.0390,0.3574,0.981
15:42:42:154,0.9135,0.0408,0.3430,0.977
15:42:42:160,0.9152,0.0420,0.3298,0.974
15:42:42:164,0.9169,0.0403,0.3242,0.973
15:42:42:169,0.9211,0.0383,0.3283,0.979
15:42:42:174,0.9247,0.0368,0.3405,0.986
15:42:42:180,0.9260,0.0359,0.3564,0.993
15:42:42:184,0.9252,0.0373,0.3713,0.998
15:42:42:200,0.9228,0.0400,0.3843,1.000
15:42:42:201,0.9191,0.0432,0.3948,1.001
15:42:42:202,0.9157,0.0461,0.4026,1.001
15:42:42:204,0.9137,0.0488,0.4078,1.002
15:42:42:210,0.9120,0.0488,0.4104,1.001
15:42:42:215,0.9113,0.0496,0.4082,1.000
15:42:42:220,0.9115,0.0493,0.4053,0.999
15:42:42:224,0.9110,0.0491,0.4014,0.997
15:42:42:229,0.9115,0.0478,0.3977,0.996
15:42:42:235,0.9135,0.0464,0.3950,0.996
15:42:42:240,0.9137,0.0459,0.3921,0.995
15:42:42:248,0.9128,0.0469,0.3894,0.993
15:42:42:250,0.9128,0.0471,0.3867,0.992
15:42:42:254,0.9113,0.0498,0.3828,0.990
15:42:42:260,0.9086,0.0542,0.3748,0.984
15:42:42:265,0.9093,0.0562,0.3630,0.981
15:42:42:269,0.9135,0.0549,0.3513,0.980
15:42:42:275,0.9176,0.0522,0.3437,0.981
15:42:42:280,0.9218,0.0505,0.3442,0.985
15:42:42:285,0.9233,0.0505,0.3508,0.989
15:42:42:299,0.9225,0.0503,0.3596,0.991
15:42:42:300,0.9206,0.0508,0.3669,0.992
15:42:42:301,0.9201,0.0508,0.3733,0.994
15:42:42:304,0.9191,0.0525,0.3784,0.995
15:42:42:310,0.9176,0.0535,0.3818,0.995
15:42:42:316,0.9172,0.0537,0.3843,0.996
15:42:42:321,0.9169,0.0544,0.3850,0.996
15:42:42:326,0.9162,0.0554,0.3858,0.996
15:42:42:331,0.9164,0.0549,0.3870,0.996
15:42:42:335,0.9164,0.0537,0.3870,0.996
15:42:42:340,0.9164,0.0525,0.3877,0.996
15:42:42:345,0.9169,0.0520,0.3884,0.997
15:42:42:350,0.9176,0.0503,0.3887,0.998
15:42:42:354,0.9176,0.0493,0.3865,0.997
15:42:42:362,0.9186,0.0478,0.3848,0.997
15:42:42:365,0.9179,0.0464,0.3882,0.998
15:42:42:370,0.9154,0.0430,0.4007,1.000
15:42:42:381,0.9147,0.0388,0.4087,1.003
15:42:42:383,0.9159,0.0398,0.4078,1.003
15:42:42:385,0.9206,0.0434,0.4053,1.007
15:42:42:390,0.9282,0.0439,0.3975,1.011
15:42:42:398,0.9291,0.0442,0.3902,1.009
15:42:42:401,0.9257,0.0491,0.3902,1.006
15:42:42:405,0.9235,0.0549,0.3655,0.995
15:42:42:410,0.9262,0.0606,0.3532,0.993
15:42:42:415,0.9301,0.0625,0.3440,0.994
15:42:42:420,0.9264,0.0571,0.3310,0.985
15:42:42:425,0.9191,0.0510,0.3112,0.972
15:42:42:430,0.9179,0.0515,0.3127,0.971
15:42:42:435,0.9174,0.0537,0.3234,0.974
15:42:42:440,0.9198,0.0532,0.3393,0.982
15:42:42:445,0.9242,0.0481,0.3361,0.985
15:42:42:450,0.9255,0.0493,0.3444,0.989
15:42:42:455,0.9233,0.0508,0.3506,0.989
15:42:42:461,0.9225,0.0515,0.3537,0.989
15:42:42:466,0.9235,0.0527,0.3532,0.990
15:42:42:470,0.9233,0.0527,0.3515,0.989
15:42:42:476,0.9230,0.0520,0.3466,0.987
15:42:42:481,0.9235,0.0508,0.3396,0.985
15:42:42:485,0.9242,0.0503,0.3339,0.984
15:42:42:497,0.9255,0.0493,0.3315,0.984
15:42:42:499,0.9269,0.0483,0.3342,0.987
15:42:42:501,0.9277,0.0466,0.3418,0.990
15:42:42:506,0.9296,0.0452,0.3491,0.994
15:42:42:511,0.9311,0.0439,0.3547,0.997
15:42:42:516,0.9316,0.0427,0.3598,1.000
15:42:42:526,0.9318,0.0412,0.3628,1.001
15:42:42:527,0.9301,0.0422,0.3620,0.999
15:42:42:531,0.9286,0.0447,0.3572,0.996
15:42:42:535,0.9269,0.0466,0.3530,0.993
15:42:42:542,0.9250,0.0481,0.3542,0.992
15:42:42:545,0.9245,0.0513,0.3645,0.995
15:42:42:551,0.9233,0.0488,0.3532,0.990
15:42:42:558,0.9228,0.0491,0.3486,0.988
15:42:42:561,0.9216,0.0508,0.3532,0.988
15:42:42:566,0.9213,0.0510,0.3596,0.990
15:42:42:571,0.9316,0.0503,0.3828,1.008
15:42:42:576,0.9360,0.0469,0.3870,1.014
15:42:42:581,0.9240,0.0498,0.3831,1.001
15:42:42:587,0.9140,0.0532,0.3796,0.991
15:42:42:597,0.9157,0.0510,0.3667,0.988
