time,gFx,gFy,gFz,TgF
17:41:23:736,0.9431,0.0422,0.0409,0.945
17:41:23:738,0.9482,0.0476,0.0475,0.951
17:41:23:744,0.9492,0.0574,0.0533,0.952
17:41:23:748,0.9531,0.0635,0.0563,0.957
17:41:23:754,0.9682,0.0618,0.0589,0.972
17:41:23:766,0.9910,0.0574,0.0707,0.995
17:41:23:767,1.0125,0.0537,0.0858,1.018
17:41:23:769,1.0279,0.0522,0.1012,1.034
17:41:23:775,1.0399,0.0537,0.1215,1.048
17:41:23:778,1.0509,0.0576,0.1428,1.062
17:41:23:784,1.0619,0.0610,0.1589,1.075
17:41:23:789,1.0729,0.0637,0.1709,1.088
17:41:23:800,1.0831,0.0669,0.1809,1.100
17:41:23:802,1.0927,0.0703,0.1939,1.112
17:41:23:804,1.0990,0.0752,0.2093,1.121
17:41:23:810,1.0983,0.0801,0.2203,1.123
17:41:23:815,1.0907,0.0874,0.2232,1.117
17:41:23:818,1.0782,0.0962,0.2188,1.104
17:41:23:825,1.0636,0.1072,0.2056,1.089
17:41:23:830,1.0504,0.1178,0.1870,1.073
17:41:23:834,1.0372,0.1270,0.1658,1.058
17:41:23:839,1.0210,0.1349,0.1430,1.040
17:41:23:844,1.0049,0.1393,0.1230,1.022
17:41:23:849,0.9917,0.1410,0.1098,1.008
17:41:23:854,0.9832,0.1407,0.1049,0.999
17:41:23:859,0.9700,0.1373,0.1064,0.985
17:41:23:865,0.9592,0.1319,0.1137,0.975
17:41:23:869,0.9475,0.1273,0.1193,0.963
17:41:23:874,0.9348,0.1236,0.1178,0.950
17:41:23:879,0.9201,0.1222,0.1144,0.935
17:41:23:885,0.9059,0.1212,0.1100,0.921
17:41:23:890,0.8961,0.1151,0.1056,0.910
17:41:23:895,0.8905,0.1092,0.1029,0.903
17:41:23:899,0.8900,0.1099,0.0985,0.902
17:41:23:905,0.8898,0.1094,0.0934,0.901
17:41:23:920,0.8893,0.1080,0.0883,0.900
17:41:23:921,0.8910,0.1065,0.0863,0.901
17:41:23:921,0.8961,0.1060,0.0853,0.906
17:41:23:925,0.9057,0.1048,0.0800,0.915
17:41:23:930,0.9172,0.1031,0.0714,0.926
17:41:23:936,0.9264,0.1009,0.0621,0.934
17:41:23:944,0.9299,0.0984,0.0536,0.937
17:41:23:945,0.9282,0.0970,0.0494,0.935
17:41:23:949,0.9218,0.0960,0.0475,0.928
17:41:23:954,0.9154,0.0960,0.0494,0.922
17:41:23:959,0.9120,0.0972,0.0545,0.919
17:41:23:965,0.9137,0.0982,0.0582,0.921
17:41:23:970,0.9203,0.0980,0.0565,0.927
17:41:23:975,0.9318,0.0972,0.0501,0.938
17:41:23:979,0.9528,0.0918,0.0409,0.958
17:41:23:986,0.9744,0.0840,0.0281,0.978
17:41:23:991,0.9817,0.0784,0.0110,0.985
17:41:23:996,0.9697,0.0777,-0.0051,0.973
17:41:24:000,0.9502,0.0708,-0.0124,0.953
17:41:24:005,0.9304,0.0635,-0.0100,0.933
17:41:24:020,0.9103,0.0674,0.0093,0.913
17:41:24:021,0.8991,0.0752,0.0460,0.903
17:41:24:022,0.8978,0.0835,0.0912,0.906
17:41:24:026,0.9030,0.0940,0.1372,0.918
17:41:24:030,0.9064,0.1097,0.1797,0.931
17:41:24:037,0.9106,0.1124,0.2205,0.944
17:41:24:043,0.9125,0.1046,0.2386,0.949
17:41:24:045,0.9064,0.0982,0.2327,0.941
17:41:24:050,0.8952,0.0972,0.2110,0.925
17:41:24:055,0.8878,0.0967,0.1860,0.912
17:41:24:060,0.8866,0.0911,0.1638,0.906
17:41:24:066,0.8793,0.0818,0.1521,0.896
17:41:24:070,0.8609,0.0735,0.1555,0.878
17:41:24:075,0.8355,0.0684,0.1623,0.854
17:41:24:080,0.8047,0.0694,0.1706,0.826
17:41:24:087,0.7725,0.0757,0.1831,0.797
17:41:24:090,0.7473,0.0799,0.1929,0.776
17:41:24:100,0.7309,0.0804,0.1838,0.758
17:41:24:101,0.7204,0.0804,0.1548,0.741
17:41:24:106,0.7101,0.0811,0.1166,0.724
17:41:24:110,0.6972,0.0769,0.0905,0.707
17:41:24:117,0.6854,0.0652,0.0753,0.693
17:41:24:120,0.6739,0.0503,0.0677,0.679
17:41:24:127,0.6585,0.0432,0.0592,0.663
17:41:24:130,0.6402,0.0452,0.0516,0.644
17:41:24:135,0.6214,0.0503,0.0545,0.626
17:41:24:141,0.6013,0.0525,0.0646,0.607
17:41:24:146,0.5764,0.0591,0.0717,0.584
17:41:24:151,0.5393,0.0750,0.0751,0.550
17:41:24:155,0.5080,0.0874,0.0758,0.521
17:41:24:161,0.4933,0.0906,0.0739,0.507
17:41:24:167,0.4906,0.0882,0.0633,0.502
17:41:24:176,0.4811,0.0877,0.0391,0.491
17:41:24:177,0.4786,0.0872,0.0228,0.487
17:41:24:180,0.4970,0.0772,0.0321,0.504
17:41:24:187,0.5190,0.0547,0.0387,0.523
17:41:24:201,0.5341,0.0364,0.0360,0.537
17:41:24:202,0.5539,0.0298,0.0384,0.556
17:41:24:203,0.5877,0.0278,0.0477,0.590
17:41:24:209,0.6207,0.0288,0.0655,0.625
17:41:24:212,0.6427,0.0322,0.0890,0.650
17:41:24:217,0.6654,0.0368,0.1139,0.676
17:41:24:221,0.6979,0.0405,0.1318,0.711
17:41:24:229,0.7270,0.0461,0.1501,0.744
17:41:24:230,0.7575,0.0554,0.1799,0.781
17:41:24:237,0.8030,0.0686,0.2093,0.833
17:41:24:241,0.8548,0.0806,0.2254,0.888
17:41:24:247,0.9010,0.0884,0.2349,0.935
17:41:24:251,0.9318,0.0994,0.2366,0.967
17:41:24:256,0.9462,0.1190,0.2283,0.981
17:41:24:262,0.9514,0.1478,0.2034,0.984
17:41:24:266,0.9702,0.1674,0.1648,0.998
17:41:24:270,0.9946,0.1715,0.1147,1.016
17:41:24:276,1.0127,0.1630,0.0626,1.028
17:41:24:280,1.0313,0.1483,0.0127,1.042
17:41:24:287,1.0543,0.1351,-0.0503,1.064
17:41:24:303,1.0787,0.1207,-0.1141,1.091
17:41:24:304,1.1027,0.0999,-0.1464,1.117
17:41:24:305,1.1252,0.0686,-0.1557,1.138
17:41:24:307,1.1648,0.0268,-0.1681,1.177
17:41:24:312,1.2090,-0.0162,-0.2016,1.226
17:41:24:316,1.2418,-0.0502,-0.2640,1.271
17:41:24:321,1.2643,-0.0717,-0.3417,1.312
17:41:24:328,1.2738,-0.0854,-0.4187,1.344
17:41:24:331,1.2777,-0.0871,-0.4712,1.365
17:41:24:336,1.2843,-0.0683,-0.4761,1.371
17:41:24:341,1.2941,-0.0338,-0.4336,1.365
17:41:24:347,1.3190,0.0024,-0.3610,1.368
17:41:24:352,1.3870,0.0178,-0.2737,1.414
17:41:24:357,1.5075,0.0104,-0.1882,1.519
17:41:24:362,1.6646,-0.0128,-0.1002,1.668
17:41:24:366,1.8045,-0.0406,-0.0051,1.805
17:41:24:371,1.8793,-0.0558,0.0809,1.882
17:41:24:377,1.9015,-0.0575,0.1406,1.908
17:41:24:381,1.9291,-0.0663,0.1350,1.935
17:41:24:387,1.9729,-0.0793,0.0487,1.975
17:41:24:402,2.0027,-0.0783,-0.0723,2.006
17:41:24:403,1.9917,-0.0604,-0.1713,2.000
17:41:24:404,1.9448,-0.0243,-0.2202,1.957
17:41:24:409,1.8687,-0.0076,-0.2293,1.883
17:41:24:412,1.7903,-0.0169,-0.1958,1.801
17:41:24:417,1.7316,-0.0125,-0.1464,1.738
17:41:24:421,1.6986,0.0078,-0.1083,1.702
17:41:24:429,1.6715,0.0288,-0.0819,1.674
17:41:24:431,1.6478,0.0300,-0.0537,1.649
17:41:24:436,1.6214,0.0060,-0.0166,1.621
17:41:24:442,1.5906,-0.0338,0.0328,1.591
17:41:24:447,1.5273,-0.0570,0.0695,1.530
17:41:24:451,1.4239,-0.0846,0.0805,1.429
17:41:24:457,1.3386,-0.1105,0.0704,1.345
17:41:24:463,1.2474,-0.1071,0.0761,1.254
17:41:24:467,1.1440,-0.1108,0.0961,1.153
17:41:24:472,1.0511,-0.1233,0.1210,1.065
17:41:24:477,0.9704,-0.1374,0.1362,0.990
17:41:24:481,0.8988,-0.1450,0.1313,0.920
17:41:24:487,0.8384,-0.1406,0.1144,0.858
17:41:24:502,0.7859,-0.1333,0.0944,0.803
17:41:24:504,0.7309,-0.1267,0.0655,0.745
17:41:24:505,0.6823,-0.1213,0.0306,0.694
17:41:24:509,0.6495,-0.1147,-0.0071,0.660
17:41:24:511,0.6297,-0.1079,-0.0437,0.640
17:41:24:519,0.6185,-0.0944,-0.0789,0.631
17:41:24:522,0.6101,-0.0768,-0.1100,0.625
17:41:24:529,0.5965,-0.0568,-0.1369,0.615
17:41:24:532,0.5793,-0.0311,-0.1637,0.603
17:41:24:537,0.5627,-0.0047,-0.1853,0.592
17:41:24:542,0.5512,0.0214,-0.2007,0.587
17:41:24:548,0.5591,0.0415,-0.1980,0.595
17:41:24:553,0.5737,0.0532,-0.1796,0.604
17:41:24:558,0.5762,0.0632,-0.1564,0.600
17:41:24:562,0.5969,0.0681,-0.1303,0.615
17:41:24:567,0.6375,0.0718,-0.0958,0.649
17:41:24:572,0.6578,0.0791,-0.0682,0.666
17:41:24:578,0.6664,0.0862,-0.0506,0.674
17:41:24:583,0.6737,0.0940,-0.0393,0.681
17:41:24:588,0.6776,0.1048,-0.0293,0.686
17:41:24:596,0.6849,0.1097,-0.0229,0.694
17:41:24:597,0.6937,0.1104,-0.0266,0.703
17:41:24:605,0.7011,0.1080,-0.0396,0.710
17:41:24:611,0.7138,0.0992,-0.0515,0.722
17:41:24:612,0.7377,0.0918,-0.0596,0.746
17:41:24:618,0.7644,0.0901,-0.0679,0.773
17:41:24:622,0.7893,0.0896,-0.0772,0.798
17:41:24:628,0.8140,0.0857,-0.0814,0.823
17:41:24:632,0.8382,0.0772,-0.0740,0.845
17:41:24:638,0.8626,0.0686,-0.0608,0.868
17:41:24:642,0.8854,0.0593,-0.0528,0.889
17:41:24:648,0.9057,0.0496,-0.0493,0.908
17:41:24:652,0.9264,0.0329,-0.0496,0.928
17:41:24:658,0.9494,0.0109,-0.0476,0.951
17:41:24:663,0.9766,-0.0108,-0.0413,0.977
17:41:24:669,0.9995,-0.0294,-0.0276,1.000
17:41:24:673,1.0130,-0.0409,-0.0222,1.014
17:41:24:679,1.0105,-0.0487,-0.0332,1.012
17:41:24:683,0.9910,-0.0482,-0.0550,0.994
17:41:24:688,0.9543,-0.0504,-0.0726,0.958
17:41:24:694,0.8981,-0.0582,-0.0794,0.903
17:41:24:698,0.8433,-0.0558,-0.0836,0.849
17:41:24:702,0.8067,-0.0394,-0.0811,0.812
17:41:24:710,0.7698,-0.0401,-0.0718,0.774
17:41:24:713,0.7502,-0.0516,-0.0481,0.754
17:41:24:718,0.7502,-0.0577,-0.0095,0.752
17:41:24:722,0.7524,-0.0604,0.0330,0.756
17:41:24:728,0.7470,-0.0590,0.0746,0.753
17:41:24:733,0.7346,-0.0548,0.1262,0.747
17:41:24:738,0.7233,-0.0604,0.1736,0.746
17:41:24:743,0.7221,-0.0707,0.2073,0.755
17:41:24:750,0.7211,-0.0839,0.2186,0.758
17:41:24:752,0.7365,-0.0859,0.2127,0.771
17:41:24:758,0.7646,-0.0705,0.1831,0.789
17:41:24:763,0.7619,-0.0661,0.1369,0.777
17:41:24:768,0.7446,-0.0602,0.0922,0.753
17:41:24:775,0.7250,-0.0580,0.0607,0.730
17:41:24:779,0.6901,-0.0683,0.0343,0.694
17:41:24:784,0.6473,-0.0658,0.0215,0.651
17:41:24:788,0.6353,-0.0492,0.0225,0.638
17:41:24:796,0.6439,-0.0357,0.0174,0.645
17:41:24:798,0.6656,-0.0277,0.0145,0.666
17:41:24:803,0.6977,-0.0260,0.0193,0.698
17:41:24:810,0.7258,-0.0267,0.0321,0.727
17:41:24:813,0.7475,-0.0267,0.0506,0.750
17:41:24:818,0.7676,-0.0257,0.0673,0.771
17:41:24:824,0.7869,-0.0235,0.0773,0.791
17:41:24:830,0.8079,-0.0233,0.0829,0.812
17:41:24:835,0.8389,-0.0250,0.0900,0.844
17:41:24:842,0.8673,-0.0255,0.0897,0.872
17:41:24:845,0.8832,-0.0233,0.0783,0.887
17:41:24:856,0.8827,-0.0162,0.0585,0.885
17:41:24:857,0.8683,-0.0052,0.0228,0.869
17:41:24:860,0.8450,0.0095,-0.0283,0.846
17:41:24:864,0.8135,0.0332,-0.0892,0.819
17:41:24:869,0.7764,0.0581,-0.1633,0.795
17:41:24:873,0.7529,0.0789,-0.2319,0.792
17:41:24:879,0.7497,0.0997,-0.2728,0.804
17:41:24:884,0.7549,0.1204,-0.2928,0.819
17:41:24:888,0.7585,0.1437,-0.3043,0.830
17:41:24:893,0.7676,0.1644,-0.3124,0.845
17:41:24:900,0.7812,0.1781,-0.3153,0.861
17:41:24:904,0.8094,0.1860,-0.3099,0.886
17:41:24:912,0.8487,0.1894,-0.2928,0.918
17:41:24:913,0.8878,0.1862,-0.2620,0.944
17:41:24:918,0.9230,0.1798,-0.2161,0.965
17:41:24:926,0.9651,0.1684,-0.1547,0.992
17:41:24:929,1.0086,0.1544,-0.0999,1.025
17:41:24:934,1.0677,0.1407,-0.0569,1.078
17:41:24:940,1.1342,0.1324,-0.0095,1.142
17:41:24:944,1.2075,0.1422,0.0365,1.216
17:41:24:950,1.3056,0.1552,0.0702,1.317
17:41:24:954,1.4158,0.1740,0.0880,1.429
17:41:24:958,1.5383,0.1970,0.1010,1.554
17:41:24:963,1.6676,0.2256,0.1235,1.687
17:41:24:970,1.7896,0.2661,0.1555,1.816
17:41:24:973,1.8920,0.2940,0.1821,1.923
17:41:24:979,1.9753,0.3123,0.2120,2.011
17:41:24:984,2.0763,0.3338,0.2511,2.118
17:41:24:990,2.1929,0.3646,0.2486,2.237
17:41:24:994,2.2738,0.3910,0.1574,2.313
17:41:25:000,2.2334,0.3949,-0.0308,2.268
17:41:25:004,2.1357,0.3984,-0.2405,2.186
17:41:25:012,2.0726,0.4062,-0.4194,2.153
17:41:25:015,2.0325,0.4189,-0.5446,2.146
17:41:25:019,1.9966,0.4282,-0.5991,2.128
17:41:25:024,1.9399,0.4138,-0.5766,2.066
17:41:25:030,1.8455,0.3380,-0.5084,1.944
17:41:25:034,1.7265,0.2537,-0.4101,1.793
17:41:25:039,1.6026,0.2097,-0.2862,1.641
17:41:25:044,1.4852,0.1823,-0.1559,1.504
17:41:25:050,1.3650,0.1549,-0.0403,1.374
17:41:25:054,1.2403,0.1256,0.0433,1.247
17:41:25:060,1.1161,0.1055,0.0941,1.125
17:41:25:064,0.9922,0.1036,0.1178,1.005
17:41:25:070,0.8768,0.1141,0.1210,0.892
17:41:25:074,0.7742,0.1273,0.1130,0.793
17:41:25:079,0.6884,0.1424,0.1029,0.710
17:41:25:084,0.6229,0.1539,0.0963,0.649
17:41:25:091,0.5965,0.1640,0.1032,0.627
17:41:25:096,0.5869,0.1679,0.1086,0.620
17:41:25:099,0.5852,0.1627,0.1147,0.618
17:41:25:105,0.6011,0.1566,0.1335,0.635
17:41:25:114,0.6263,0.1508,0.1511,0.662
17:41:25:115,0.6436,0.1368,0.1552,0.676
17:41:25:121,0.6671,0.1192,0.1445,0.693
17:41:25:130,0.6918,0.1026,0.1100,0.708
17:41:25:131,0.7057,0.0889,0.0599,0.714
17:41:25:134,0.7138,0.0779,0.0147,0.718
17:41:25:141,0.7260,0.0635,-0.0251,0.729
17:41:25:144,0.7326,0.0466,-0.0545,0.736
17:41:25:150,0.7382,0.0295,-0.0745,0.743
17:41:25:155,0.7321,0.0129,-0.0885,0.738
17:41:25:161,0.7101,-0.0015,-0.0953,0.716
17:41:25:164,0.6779,-0.0164,-0.0987,0.685
17:41:25:170,0.6480,-0.0267,-0.0980,0.656
17:41:25:175,0.6246,-0.0267,-0.0892,0.631
17:41:25:180,0.6048,-0.0191,-0.0794,0.610
17:41:25:184,0.5789,-0.0086,-0.0728,0.583
17:41:25:196,0.5532,0.0004,-0.0706,0.558
17:41:25:202,0.5307,0.0109,-0.0777,0.536
17:41:25:203,0.5060,0.0258,-0.0870,0.514
17:41:25:206,0.4923,0.0452,-0.0919,0.503
17:41:25:212,0.5016,0.0676,-0.0887,0.514
17:41:25:214,0.5253,0.0850,-0.0755,0.537
17:41:25:220,0.5520,0.0938,-0.0633,0.563
17:41:25:224,0.5889,0.0953,-0.0562,0.599
17:41:25:230,0.6285,0.0923,-0.0442,0.637
17:41:25:235,0.6541,0.0943,-0.0244,0.661
17:41:25:240,0.6673,0.1002,-0.0024,0.675
17:41:25:245,0.6766,0.1060,0.0191,0.685
17:41:25:250,0.6879,0.1138,0.0382,0.698
17:41:25:255,0.7038,0.1244,0.0523,0.717
17:41:25:260,0.7157,0.1398,0.0563,0.731
17:41:25:265,0.7184,0.1561,0.0548,0.737
17:41:25:271,0.7101,0.1676,0.0602,0.732
17:41:25:276,0.6955,0.1754,0.0704,0.721
17:41:25:280,0.6749,0.1798,0.0805,0.703
17:41:25:285,0.6581,0.1838,0.0880,0.689
17:41:25:296,0.6451,0.1896,0.0883,0.678
17:41:25:297,0.6319,0.1899,0.0800,0.665
17:41:25:300,0.6246,0.1867,0.0587,0.655
17:41:25:305,0.6185,0.1847,0.0225,0.646
17:41:25:313,0.6155,0.1806,-0.0132,0.642
17:41:25:315,0.6263,0.1701,-0.0557,0.651
17:41:25:320,0.6500,0.1549,-0.0963,0.675
17:41:25:325,0.6688,0.1456,-0.1207,0.695
17:41:25:330,0.6854,0.1344,-0.1229,0.709
17:41:25:336,0.7033,0.1197,-0.1156,0.723
17:41:25:342,0.7074,0.1138,-0.0980,0.723
17:41:25:346,0.6928,0.1197,-0.0669,0.706
17:41:25:351,0.6625,0.1354,-0.0149,0.676
17:41:25:360,0.6449,0.1466,0.0453,0.663
17:41:25:361,0.6554,0.1444,0.1073,0.680
17:41:25:365,0.6781,0.1358,0.1489,0.707
17:41:25:371,0.6930,0.1278,0.1714,0.725
17:41:25:376,0.7069,0.1138,0.1653,0.735
17:41:25:381,0.7280,0.0992,0.1406,0.748
17:41:25:386,0.7512,0.0823,0.1110,0.764
17:41:25:396,0.7844,0.0635,0.0702,0.790
17:41:25:402,0.8213,0.0508,0.0157,0.823
17:41:25:403,0.8294,0.0505,-0.0359,0.832
17:41:25:406,0.8001,0.0628,-0.0618,0.805
17:41:25:412,0.7575,0.0821,-0.0613,0.764
17:41:25:415,0.7397,0.0965,-0.0601,0.748
17:41:25:421,0.7534,0.0953,-0.0828,0.764
17:41:25:426,0.7825,0.0813,-0.1325,0.798
17:41:25:431,0.8135,0.0694,-0.1779,0.836
17:41:25:436,0.8448,0.0474,-0.1906,0.867
17:41:25:440,0.8817,0.0300,-0.2068,0.906
17:41:25:453,0.9262,0.0139,-0.2148,0.951
17:41:25:455,0.9792,-0.0147,-0.2300,1.006
17:41:25:456,1.0284,-0.0296,-0.2493,1.059
17:41:25:461,1.1044,-0.0265,-0.2393,1.130
17:41:25:466,1.2271,-0.0106,-0.1989,1.243
17:41:25:471,1.3657,0.0234,-0.1483,1.374
17:41:25:476,1.4938,0.0559,-0.1136,1.499
17:41:25:481,1.6148,0.0769,-0.0887,1.619
17:41:25:486,1.7358,0.0894,-0.0775,1.740
17:41:25:497,1.8839,0.0872,-0.1051,1.889
17:41:25:503,2.0511,0.0520,-0.1515,2.057
17:41:25:504,2.1941,0.0102,-0.1779,2.201
17:41:25:511,2.2965,-0.0157,-0.1828,2.304
17:41:25:512,2.3579,-0.0225,-0.1244,2.361
17:41:25:517,2.4270,-0.0406,-0.0317,2.428
17:41:25:521,2.4664,-0.0546,0.0333,2.467
17:41:25:526,2.4732,-0.0450,0.0739,2.475
17:41:25:532,2.4652,-0.0228,0.0607,2.466
17:41:25:536,2.4300,0.0153,0.0140,2.430
17:41:25:541,2.3828,0.0642,-0.0295,2.384
17:41:25:546,2.2924,0.1202,-0.0889,2.297
17:41:25:552,2.1657,0.1600,-0.1586,2.177
17:41:25:558,2.0333,0.1684,-0.2026,2.050
17:41:25:562,1.8964,0.1505,-0.1985,1.913
17:41:25:568,1.7397,0.1244,-0.1442,1.750
17:41:25:577,1.5713,0.0977,-0.0511,1.575
17:41:25:578,1.4143,0.0718,0.0599,1.417
17:41:25:582,1.2777,0.0481,0.1633,1.289
17:41:25:586,1.1528,0.0224,0.2489,1.180
17:41:25:596,1.0416,-0.0079,0.3002,1.084
17:41:25:603,0.9558,-0.0445,0.3034,1.004
17:41:25:604,0.8937,-0.0812,0.2579,0.934
17:41:25:612,0.8336,-0.1083,0.1848,0.861
17:41:25:613,0.7781,-0.1250,0.1029,0.795
17:41:25:618,0.7346,-0.1313,0.0140,0.746
17:41:25:623,0.6898,-0.1220,-0.0792,0.705
17:41:25:627,0.6387,-0.0954,-0.1608,0.666
17:41:25:632,0.5979,-0.0631,-0.2180,0.640
17:41:25:637,0.5647,-0.0421,-0.2513,0.619
17:41:25:642,0.5407,-0.0333,-0.2627,0.602
17:41:25:646,0.5241,-0.0311,-0.2495,0.581
17:41:25:653,0.5063,-0.0291,-0.2156,0.551
17:41:25:658,0.4953,-0.0250,-0.1674,0.523
17:41:25:662,0.4955,-0.0169,-0.1149,0.509
17:41:25:666,0.5136,-0.0047,-0.0616,0.517
17:41:25:673,0.5331,0.0097,-0.0159,0.533
17:41:25:677,0.5417,0.0229,0.0206,0.543
17:41:25:682,0.5505,0.0373,0.0484,0.554
17:41:25:688,0.5637,0.0515,0.0646,0.570
17:41:25:693,0.5784,0.0674,0.0709,0.587
17:41:25:696,0.5852,0.0860,0.0690,0.596
17:41:25:703,0.5869,0.1063,0.0663,0.600
17:41:25:714,0.5906,0.1200,0.0594,0.606
17:41:25:715,0.5952,0.1278,0.0521,0.611
17:41:25:718,0.5965,0.1339,0.0511,0.613
17:41:25:723,0.5938,0.1400,0.0514,0.612
17:41:25:730,0.5916,0.1446,0.0494,0.611
17:41:25:733,0.5933,0.1503,0.0445,0.614
17:41:25:736,0.6004,0.1554,0.0345,0.621
17:41:25:742,0.6138,0.1583,0.0145,0.634
17:41:25:747,0.6304,0.1578,-0.0156,0.650
17:41:25:753,0.6515,0.1537,-0.0459,0.671
17:41:25:757,0.6845,0.1483,-0.0726,0.704
17:41:25:762,0.7197,0.1402,-0.0975,0.740
17:41:25:768,0.7571,0.1297,-0.1205,0.777
17:41:25:775,0.7957,0.1112,-0.1422,0.816
17:41:25:778,0.8372,0.0884,-0.1586,0.857
17:41:25:783,0.8741,0.0706,-0.1689,0.893
17:41:25:787,0.9013,0.0498,-0.1723,0.919
17:41:25:796,0.9223,0.0263,-0.1735,0.939
17:41:25:798,0.9384,0.0058,-0.1686,0.953
17:41:25:804,0.9504,-0.0194,-0.1596,0.964
17:41:25:810,0.9445,-0.0450,-0.1518,0.958
17:41:25:813,0.9282,-0.0653,-0.1376,0.941
17:41:25:818,0.9005,-0.0766,-0.1215,0.912
17:41:25:823,0.8729,-0.0903,-0.0968,0.883
17:41:25:828,0.8497,-0.1066,-0.0767,0.860
17:41:25:833,0.8228,-0.1159,-0.0640,0.833
17:41:25:837,0.7935,-0.1176,-0.0557,0.804
17:41:25:844,0.7688,-0.1196,-0.0474,0.779
17:41:25:849,0.7470,-0.1267,-0.0383,0.759
17:41:25:853,0.7197,-0.1330,-0.0383,0.733
17:41:25:858,0.6867,-0.1318,-0.0493,0.701
17:41:25:863,0.6581,-0.1228,-0.0635,0.672
17:41:25:868,0.6351,-0.1088,-0.0904,0.651
17:41:25:873,0.6185,-0.0983,-0.1163,0.637
17:41:25:880,0.6062,-0.0964,-0.1168,0.625
17:41:25:882,0.6004,-0.0976,-0.1173,0.619
17:41:25:887,0.5921,-0.0888,-0.1141,0.609
17:41:25:894,0.5740,-0.0797,-0.0728,0.584
17:41:25:897,0.5463,-0.0717,-0.0486,0.553
17:41:25:902,0.5263,-0.0683,-0.0210,0.531
17:41:25:907,0.5114,-0.0700,-0.0102,0.516
17:41:25:913,0.4916,-0.0680,0.0000,0.496
17:41:25:918,0.4899,-0.0582,0.0157,0.494
17:41:25:923,0.5258,-0.0487,0.0233,0.529
17:41:25:928,0.5796,-0.0426,0.0130,0.581
17:41:25:935,0.6199,-0.0360,-0.0019,0.621
17:41:25:938,0.6336,-0.0260,-0.0127,0.634
17:41:25:943,0.6441,-0.0169,-0.0352,0.645
17:41:25:948,0.6840,-0.0059,-0.0633,0.687
17:41:25:954,0.7456,-0.0035,-0.0948,0.752
17:41:25:959,0.8059,0.0019,-0.1290,0.816
17:41:25:963,0.8607,0.0214,-0.1567,0.875
17:41:25:968,0.9145,0.0564,-0.1681,0.932
17:41:25:974,0.9844,0.0989,-0.1659,1.003
17:41:25:978,1.0682,0.1363,-0.1601,1.089
17:41:25:983,1.1411,0.1703,-0.1527,1.164
