accx,accy,accz
-0.11535,-0.297875,0.997675
-0.121775,-0.2924,0.998375
-0.1252,-0.2862,1.010425
-0.11725,-0.27525,1.004925
-0.106425,-0.245125,0.95065
-0.106,-0.2272,0.969325
-0.114025,-0.2166,0.969525
-0.122725,-0.213725,0.98045
-0.125075,-0.221525,0.996825
-0.125075,-0.227375,0.993375
-0.125425,-0.23155,0.987125
-0.1225,-0.2387333,0.9852667
-0.12616,-0.24088,0.9831
-0.129475,-0.247925,0.982675
-0.124025,-0.25385,0.98315
-0.116725,-0.258,0.98095
-0.123475,-0.2526,0.97485
-0.114,-0.2552,0.97445
-0.108825,-0.26765,0.987375
-0.1129,-0.27,0.984275
-0.112225,-0.264975,0.97885
-0.122375,-0.26475,0.974675
-0.123825,-0.264,0.982
-0.1279,-0.26595,0.980275
-0.1298333,-0.2639,0.9798
-0.12908,-0.26766,0.9904
-0.138475,-0.268025,0.989575
-0.13815,-0.26395,0.97305
-0.138925,-0.259175,0.9745
-0.1354,-0.2607333,0.9765
-0.12914,-0.2585,0.97702
-0.12445,-0.25825,0.98185
-0.12605,-0.258925,0.98015
-0.128175,-0.262025,0.97775
-0.1294,-0.2564,0.969675
-0.13165,-0.266,0.9756
-0.1290333,-0.2759667,0.9901333
-0.11822,-0.26262,0.97928
-0.1281,-0.26065,0.9798
-0.124625,-0.266125,0.978625
-0.1296,-0.2720333,0.9774
-0.130275,-0.265525,0.973975
-0.12418,-0.26508,0.97574
-0.1252667,-0.2669333,0.9821667
-0.121075,-0.2668,0.98115
-0.1196,-0.26595,0.979975
-0.12495,-0.26015,0.976675
-0.1296,-0.258,0.97675
-0.12685,-0.260025,0.978075
-0.12015,-0.26295,0.981425
-0.1173,-0.265275,0.97825
-0.118225,-0.26545,0.978075
-0.118575,-0.266275,0.9793
-0.1195,-0.2633,0.98175
-0.12075,-0.26625,0.9832
-0.116325,-0.26245,0.978775
-0.11595,-0.260875,0.976075
-0.119,-0.261725,0.979425
-0.121525,-0.262025,0.980225
-0.120775,-0.26255,0.980825
-0.119675,-0.26025,0.979025
-0.116825,-0.261175,0.97735
-0.11775,-0.26015,0.9786
-0.120225,-0.261175,0.983
-0.1228,-0.2621,0.981025
-0.119725,-0.258675,0.9787
-0.11875,-0.259225,0.97755
-0.114725,-0.2612,0.979925
-0.115275,-0.26185,0.981675
-0.11945,-0.260625,0.982375
-0.118525,-0.25985,0.980925
-0.119275,-0.260875,0.98065
-0.1218,-0.260575,0.9792
-0.12425,-0.260075,0.9769
-0.118575,-0.261075,0.978375
-0.119675,-0.254575,0.9803
-0.119,-0.2553667,0.9811333
-0.11882,-0.25946,0.98198
-0.117725,-0.26085,0.981575
-0.117975,-0.258925,0.978875
-0.11655,-0.2577,0.9774
-0.1195,-0.2588333,0.9794667
-0.120225,-0.260575,0.979
-0.12078,-0.26168,0.98182
-0.118675,-0.26185,0.9807
-0.1185,-0.261225,0.9805
-0.118475,-0.261675,0.97945
-0.118775,-0.259425,0.98
-0.1176,-0.25875,0.98125
-0.119375,-0.257825,0.980875
-0.117975,-0.258225,0.9812
-0.117975,-0.258125,0.9825
-0.1195,-0.25715,0.9826
-0.121025,-0.257425,0.980125
-0.11585,-0.257175,0.97985
-0.114975,-0.2589,0.98095
-0.114975,-0.2596,0.977175
-0.1165,-0.2607,0.978925
-0.11425,-0.26055,0.97825
-0.1147667,-0.2604667,0.9777667
-0.1176,-0.2588,0.979475
-0.11916,-0.25908,0.98524
-0.1165,-0.257575,0.9845
-0.11475,-0.2552,0.98415
-0.115325,-0.25545,0.98015
-0.114925,-0.257825,0.97965
-0.116325,-0.258625,0.9797
