accx,accy,accz
0.929325,0.056825,0.352575
0.927925,0.05665,0.348275
0.933025,0.053225,0.34365
0.932925,0.0553,0.344325
0.929375,0.0571,0.34445
0.92815,0.056775,0.335025
0.929325,0.054625,0.336375
0.932425,0.054375,0.332025
0.933475,0.0564,0.33155
0.93205,0.05935,0.324225
0.9306,0.0584,0.334425
0.9293,0.0616,0.3404
0.930425,0.06165,0.341825
0.93535,0.057975,0.3359
0.9375,0.058175,0.30215
0.93415,0.059025,0.311675
0.93085,0.0613,0.33145
0.931325,0.065625,0.3378
0.936475,0.0666,0.3494
0.943125,0.055175,0.342325
0.933025,0.057325,0.297025
0.92915,0.050775,0.2465
0.94355,0.047175,0.26415
0.9419333,0.0551,0.3011667
0.94732,0.05144,0.31638
0.937275,0.055225,0.3316
0.93745,0.052175,0.3186
0.9362,0.0508,0.31485
0.93535,0.053725,0.309725
0.93615,0.05585,0.3095
0.9422,0.053525,0.32605
0.9383333,0.0566667,0.3185333
0.932975,0.052175,0.3084
0.93558,0.05252,0.3145
0.92645,0.05585,0.33115
0.922725,0.054375,0.337175
0.9254667,0.0537,0.3160333
0.93596,0.0524,0.34078
0.938325,0.06075,0.369975
0.9299667,0.0580333,0.3640667
0.92455,0.051,0.350675
0.928275,0.04865,0.342775
0.9312,0.054125,0.34305
0.9319,0.0581,0.34835
0.934025,0.057125,0.3571
0.9326,0.057675,0.339925
0.9292,0.057575,0.342425
0.929075,0.055725,0.346525
0.93175,0.0572,0.349875
0.930425,0.05835,0.3539
0.9313,0.05685,0.344975
0.928775,0.0534,0.33585
0.9293,0.0553,0.319875
0.931575,0.0555,0.336375
0.930125,0.05775,0.345075
0.929675,0.06015,0.34085
0.928975,0.05665,0.3216
0.9325,0.052725,0.3272
0.92975,0.0564,0.334675
0.928525,0.059225,0.344825
0.928525,0.0573,0.349575
0.9246,0.0586,0.35485
0.92235,0.05955,0.3516
0.9298,0.052975,0.3516
0.9294,0.0557,0.3635
0.9299714,0.0519857,0.3507
0.92695,0.052675,0.33645
0.92625,0.053725,0.33925
0.92865,0.05525,0.348975
0.9282,0.0564,0.352
0.9288714,0.0567571,0.3522429
0.92755,0.056075,0.345425
0.927075,0.0556,0.3437
0.927375,0.054425,0.33865
0.92875,0.056475,0.34135
0.93025,0.056575,0.349675
0.9278,0.055975,0.3508
0.92845,0.05395,0.3438
0.929525,0.05255,0.3386
0.9283333,0.055,0.3450667
0.929,0.05374,0.34836
0.931375,0.053025,0.350375
0.93005,0.05415,0.344825
0.9292,0.053525,0.338375
0.929325,0.0561,0.33875
0.9284,0.056125,0.337
0.928775,0.05535,0.33925
