accx,accy,accz
0.95185,0.012225,0.073125
0.9585333,0.0044,0.0663
0.96306,0.00904,0.07122
0.986275,0.0047,0.051725
1.002975,0.0056,0.049525
1.0025333,0.0107,0.0504667
0.99856,0.01132,0.06194
0.98725,0.010325,0.057725
0.9808,0.006275,0.056125
0.9723,0.0132,0.06005
0.9646667,0.0172333,0.0614667
0.9752,0.01898,0.03694
0.994225,0.017725,0.043525
0.986125,0.024625,0.06035
0.988225,0.017025,0.043425
0.9960667,0.0068667,0.0365333
0.99772,-0.00026,0.01266
0.999425,0.008975,0.042275
0.9832,0.02235,0.0724
0.973675,0.020525,0.07665
0.9675,0.0229333,0.0956
0.9721,0.00952,0.07044
0.992075,0.003225,0.05725
0.9975,0.010875,0.084125
0.985425,0.02855,0.1065
0.9756667,0.0318,0.0964333
0.9855,0.0173,0.08568
0.981525,0.0145,0.090975
0.9685667,0.0195667,0.0845333
0.97655,0.013975,0.085825
0.9742,0.0121,0.084375
0.9737,0.01375,0.087425
0.97455,0.019775,0.083425
0.980175,0.0201,0.0827
0.9855,0.019425,0.07665
0.990875,0.01435,0.070075
0.978375,0.01985,0.075625
0.984125,0.015025,0.0702
0.990875,0.0097,0.06805
0.980175,0.013575,0.079825
0.980425,0.014175,0.063325
0.994075,0.003225,0.051075
0.991175,0.0091,0.063825
0.98205,0.008975,0.0735
0.978875,0.011375,0.07355
0.98505,0.008125,0.07625
0.99255,0.009475,0.0822
1.001175,0.008825,0.0804
1.014625,0.01355,0.07365
1.008825,0.028225,0.0793
0.9975333,0.0309,0.0721333
0.98848,0.03182,0.06726
0.97765,0.030975,0.060975
0.967875,0.024575,0.051725
0.951475,0.012575,0.040125
0.9430667,0.0097,0.0343333
0.96052,0.00674,0.02442
0.979975,0.0096,0.03245
0.987325,0.018575,0.038875
0.995875,0.022775,0.0449
0.9957,0.0228333,0.0472667
0.9967,0.00808,0.05358
0.9853,-0.004075,0.053375
0.9831,-0.01025,0.0449
0.978525,-0.013525,0.04495
0.9804,-0.0138333,0.0401333
0.982,-0.01308,0.04344
0.98725,-0.008725,0.044775
1.0005,-0.00495,0.03065
