accx,accy,accz
1.285525,0.005125,0.208425
1.2354,0.1419,0.185975
1.035825,0.2759,-0.071
0.88255,0.200975,-0.268825
1.0084,0.1553,-0.3814333
1.17906,0.21656,-0.32042
1.2135667,0.2997,-0.3391667
1.25652,0.35926,-0.16508
1.312825,0.323575,0.120775
1.090975,0.1666,0.02355
0.824775,0.194875,-0.11715
0.8101,0.1018333,-0.1007667
0.84018,-0.02728,-0.04318
0.730875,-0.0599,0.099325
0.662925,-0.0031,0.140775
0.5905667,0.0705667,0.0745
0.60874,0.09008,-0.02514
0.700175,0.05995,0.01035
0.855,0.033675,0.050675
0.960725,0.070075,0.17785
0.9609,0.0956,0.2815333
0.9196667,0.1375667,0.2217333
0.9366,0.11664,0.25374
1.03656,0.01578,0.26496
1.244575,-0.0256,0.234225
1.3843667,-0.0326,0.3563333
1.26815,-0.019425,0.372725
1.08936,-0.04502,0.30172
1.03055,-0.02655,-0.040975
1.0982667,0.1212,-0.2368333
1.206125,0.2907,-0.08145
1.3090667,0.3095667,-0.1259667
1.35802,0.17636,-0.08264
1.08835,0.095975,-0.066325
0.731125,-0.03645,-0.119725
0.548775,-0.06205,-0.1511
0.67894,0.01264,-0.2015
0.9549,0.0523,-0.1500667
1.0203,0.069675,-0.00895
0.873875,0.079525,0.133975
0.7109,0.124625,0.2018
0.65745,0.13665,0.122
0.644675,0.117025,0.0372
0.6856,0.0628,0.083625
0.704025,0.016675,0.10785
0.7433,-0.025775,0.120925
0.830925,-0.077425,0.1228
0.9311,-0.113225,0.1154
1.030875,-0.11,0.121025
1.153775,-0.0732,0.165275
1.225025,-0.05755,0.405375
1.2212667,-0.0086,0.5144
1.17182,0.0253,0.37008
1.215675,-0.000425,0.167375
1.2758,0.081,0.20255
1.288625,0.18675,-0.240175
1.1859,0.2122,-0.3254
1.22164,0.28516,-0.20962
1.425175,0.275475,-0.287975
1.44165,0.271975,-0.48725
1.20455,0.350325,-0.246775
0.9746,0.256575,0.035175
0.826625,0.244275,0.08025
0.711575,0.296825,-0.0334
0.720525,0.15565,-0.03915
0.736275,0.050175,0.01115
0.6808,0.0215667,0.0359667
0.6089,0.01962,0.05454
0.59395,0.026025,-0.000575
0.61815,0.017475,-0.003225
0.685275,0.02295,0.123525
0.8066,0.07205,0.2529
0.92135,0.092825,0.2798
0.9947,0.076375,0.24605
1.134875,0.03415,0.40005
1.27685,0.045575,0.412475
1.2955333,0.0625333,0.3174667
1.26998,0.08016,0.30654
1.217,0.052875,0.3311
1.1574,0.005925,0.319325
1.0324333,-0.0490333,0.3785667
1.0015,-0.101625,-0.0395
1.00612,0.10014,-0.60006
1.1408,0.354875,-0.28315
1.496,0.447375,-0.1868
1.5305333,0.4987667,-0.0849667
1.14795,0.22525,0.010675
0.75185,-0.093025,0.062
0.61405,-0.154925,-0.15905
0.7596,-0.00562,-0.21806
0.940875,0.061475,0.1106
0.8467,0.0921,0.103725
0.67455,0.104075,-0.012075
0.6360333,0.1201333,0.0186
0.655125,0.12135,0.040475
0.683275,0.125075,-0.000375
0.734525,0.119975,0.0006
0.8190667,0.0599333,0.0702667
0.9045167,-0.0050833,0.1645
0.9274,-0.0365667,0.2045333
0.977725,-0.0336,0.18555
1.0547,-0.0167,0.2657667
1.10364,-0.00826,0.3418
1.0967,-0.031625,0.3368
1.1278,-0.01875,0.246075
1.196,-0.05645,0.245625
1.25705,0.061075,0.37695
1.257475,0.2984,0.036875
1.04395,0.28875,-0.194
1.11835,0.162225,-0.260975
1.420625,0.1391,-0.305575
1.4826333,0.2224,-0.3228667
1.30414,0.32802,-0.15304
1.0791,0.3996,0.174475
0.9092,0.289975,0.075025
0.770675,0.30065,-0.118475
0.8065,0.124825,-0.102125
0.7799,-0.027375,-0.04385
0.70995,-0.065575,0.0153
0.643425,-0.053825,0.0689
0.6222,-0.02085,0.06475
0.64765,0.01595,0.047625
0.6899,0.0073667,0.1247333
0.71696,0.04828,0.19974
0.772775,0.099625,0.207975
0.813275,0.11945,0.158475
0.8744667,0.1162,0.2039333
1.00472,0.07072,0.34058
1.126125,0.030925,0.34285
1.2536,0.036325,0.195525
1.41465,0.054825,0.3349
1.366375,0.043675,0.418975
1.168675,0.0189,0.333275
1.09505,-0.025725,0.31725
1.02305,-0.077775,-0.12035
0.9903,0.145125,-0.306475
1.1707,0.360775,-0.055825
1.424125,0.4208,-0.18905
1.4423,0.274,-0.244825
1.064,0.110525,-0.2559
0.843025,-0.03715,-0.2539
0.8576,-0.060225,-0.278925
0.8899,0.052125,-0.15085
0.866725,0.106225,0.057125
0.77845,0.128825,0.038525
0.6372,0.1365667,0.0345
0.5735667,0.1270667,0.0622
0.5716667,0.1099833,0.0307167
0.650725,0.063375,0.024
0.7757,0.0221,0.0657
0.85414,-0.0124,0.09466
0.9001,-0.0414333,0.1135333
0.9487,-0.0813,0.15998
0.9980333,-0.0827,0.1959667
1.041325,-0.056825,0.2333
1.1026,-0.01872,0.32566
1.1788667,0.0013,0.3128333
1.230825,-0.00675,0.283075
1.228175,0.024875,0.16205
1.20335,0.03985,0.1893
1.163975,0.083775,0.28555
1.106775,0.30475,-0.065225
0.88715,0.3243,-0.272625
0.937,0.141175,-0.403975
1.27155,0.11935,-0.342925
1.4114,0.231975,-0.260675
1.30295,0.31575,-0.037975
1.172525,0.318475,0.24445
0.950675,0.242375,0.105825
0.8336,0.238575,-0.111125
0.81075,0.09815,-0.087225
0.79775,-0.016725,0.048925
0.71955,-0.045375,0.136925
0.618575,-0.03655,0.136125
0.595275,-0.0256,0.075675
0.615875,-0.0053,0.054
0.688475,0.01705,0.137925
0.73095,0.055425,0.263475
0.74965,0.100875,0.2155
0.79,0.10395,0.13465
0.9078,0.1037,0.231275
1.067975,0.083725,0.32005
1.195425,0.05245,0.2522
1.392725,0.07995,0.27565
1.52715,0.08605,0.413825
1.34315,0.049525,0.32055
1.2078,5e-05,0.31025
1.14105,-0.0709667,0.0586667
1.055275,0.05175,-0.427075
1.22245,0.242,0.07515
1.3768667,0.3595667,-0.0272333
1.39986,0.23098,-0.30688
1.029475,0.1216,-0.145625
0.743775,-0.0097,-0.1723
0.738375,-0.055975,-0.2566
0.805175,0.02745,-0.1739
0.821575,0.099925,0.035275
0.763975,0.13715,0.056325
0.6509,0.1554,0.02525
0.5896,0.1308,0.0511333
0.574375,0.100425,0.041175
0.60785,0.05945,0.05155
0.72415,0.028125,0.09615
0.85922,0.0056,0.03628
0.9853667,-0.0209667,0.0324667
1.064025,-0.049325,0.168875
1.113375,-0.0649,0.191525
1.17596,-0.05002,0.07694
1.1998,-0.0329,0.1546667
1.1578,-0.00616,0.24232
1.1615,-0.0036333,0.2003
1.14055,-0.01515,0.197975
1.1561,-0.02205,0.25865
1.1828833,0.1427333,0.1041667
1.031875,0.353575,-0.27135
1.045075,0.225675,-0.360025
1.144375,0.15135,-0.295575
1.225125,0.1944,-0.122325
1.1758,0.2867,-0.021675
1.105125,0.379475,0.11925
1.08625,0.3628,0.19155
0.956775,0.28795,0.0292
0.8615,0.160575,-0.00705
0.78745,-0.003,0.000325
0.7117,-0.054075,0.037775
0.586375,-0.08225,0.076675
0.50245,-0.051625,0.120575
0.564,0.01705,0.13435
0.6163,0.074025,0.097925
0.655175,0.113425,0.1127
0.7299,0.1435,0.1437667
0.85844,0.19058,0.11662
0.94495,0.208225,0.13335
1.017675,0.1785,0.17345
1.135675,0.10805,0.242775
1.269925,0.063475,0.225875
1.442625,0.07015,0.248825
1.49635,0.075525,0.387525
1.3655,0.0632,0.4535
1.2354857,-0.0237714,0.3263857
1.156675,0.006975,-0.280025
1.0854,0.1845667,-0.3484333
1.2528,0.31744,-0.13972
1.4418,0.272825,-0.110325
1.182925,0.127175,-0.119225
0.8317,0.002975,-0.1308
0.85835,-0.031325,-0.2093
1.0386,0.097725,-0.168375
1.1052,0.13995,-0.0048
1.0455,0.15635,0.119175
0.922175,0.0932,0.0918
0.714225,0.08255,0.06515
0.56215,0.07045,0.050075
0.43935,0.0659,-0.01165
0.4372,0.066775,0.00835
0.487425,0.036575,0.05735
0.562,-0.003425,0.0953
0.649125,-0.07245,0.109775
0.735475,-0.09235,0.015125
0.9148667,-0.0933667,0.0488333
1.10776,-0.03528,0.23792
1.2874,0.009775,0.381825
1.38325,0.02565,0.450525
1.35615,0.0124,0.391375
1.3325333,-0.0228,0.2662
1.37004,-0.02742,0.1478
1.310775,-0.01315,0.252175
1.0723,0.0878667,0.2651667
0.92582,0.29702,-0.16314
0.8061,0.271125,-0.382925
0.9306667,0.1787,-0.3539333
1.2504,0.1628,-0.3033
1.413475,0.17825,-0.1718
1.22906,0.29482,-0.03536
1.0807,0.3442667,-0.0043667
0.998125,0.3126,-0.05625
0.975325,0.25825,-0.003875
0.883125,0.111225,0.051575
0.765175,0.0214,0.077925
0.6787,-0.0339,0.113625
0.6058,-0.055275,0.108925
0.508125,-0.016575,0.03125
0.5593,0.0089,-0.0150333
0.63456,0.03924,0.09974
0.7102,0.07735,0.14345
0.7727,0.111725,0.111175
0.8119667,0.1449333,0.1075
0.8872,0.1486,0.09845
1.08964,0.11624,0.23458
1.305575,0.07655,0.3923
1.442325,0.00635,0.33785
1.49905,-0.032325,0.329225
1.4191,-0.03715,0.461525
1.2686,-0.074625,0.45745
1.143275,-0.108425,0.27165
1.038475,-0.0558,-0.295475
0.963575,0.14195,-0.306175
1.0181,0.2786,-0.0814
1.3186143,0.3499857,-0.0047857
1.34285,0.2113,-0.19185
0.943075,0.083275,-0.28135
0.60465,-0.02995,-0.195775
0.557225,0.00815,-0.187025
0.74385,0.0426,-0.115325
0.901375,0.068175,0.05385
0.822875,0.05695,0.1528
0.7049,0.062625,0.048625
0.6601,0.0874333,0.0245667
0.71576,0.08778,0.02008
0.770625,0.0705,0.04525
0.8222,0.0486,0.0692333
0.86246,0.03452,0.04648
0.864,0.01245,0.0475
0.8355,-0.0484,0.15615
0.859175,-0.0904,0.211175
0.977575,-0.049575,0.215475
1.03875,0.011125,0.23435
1.052875,0.02005,0.28255
1.0740667,0.0594,0.2266333
1.06636,0.07706,0.13664
1.077275,0.0588,0.11845
1.03015,0.119325,0.03365
0.9383333,0.2689,-0.2893667
0.90855,0.2729,-0.26665
1.290225,0.1301,-0.182325
1.87805,-0.027925,-0.1724
1.854025,0.220625,-0.460975
1.403875,0.311725,-0.295575
1.095825,0.35975,-0.162225
0.942,0.40848,-0.09322
0.727525,0.426425,0.120625
0.6202333,0.2712667,0.0553
0.5243,0.23725,-0.0367
0.504,0.144225,-0.1127
0.6019,0.019925,-0.096075
0.754175,-0.125425,-0.0422
0.86265,-0.20495,0.05245
0.956575,-0.195975,0.136375
0.9263,-0.13535,0.197575
0.90505,-0.049775,0.31725
0.900725,0.0476,0.3651
0.878325,0.094825,0.3914
0.8456,0.0841,0.32025
0.892675,0.058325,0.300025
0.98695,0.014225,0.315175
1.0741,-0.012075,0.258575
1.316925,0.01925,0.34865
1.4733,0.1026,0.456775
1.278475,0.07925,0.321425
1.1432,-0.0316,0.01175
1.059675,0.085525,-0.379575
1.111475,0.225075,-0.2883
1.3147,0.3001333,-0.1219333
1.39888,0.226,-0.10778
1.10995,0.051525,-0.0637
0.8497,-0.0883,-0.069225
0.716925,-0.167425,-0.11305
0.7687,-0.119775,-0.22655
0.9201,-0.05805,-0.11875
0.856225,0.0014,0.033225
0.708525,0.068675,0.1347
0.5719,0.119625,0.210375
0.5962,0.16345,0.207425
0.675825,0.1592,0.100875
0.73305,0.096075,0.07585
0.74705,0.040325,0.085525
0.79445,0.00385,0.1423
0.9051333,-0.0254667,0.1877
0.9961,-0.0333667,0.122
1.04475,-0.0299,0.0603
1.1606143,-0.0237286,0.1099286
1.269,-0.00495,0.2452
1.3014333,-0.04935,0.2995
1.197625,-0.03695,0.3406
1.150675,-0.00305,0.464
1.13725,0.16145,0.171125
0.96655,0.3421,-0.2114
1.084675,0.14985,-0.207125
1.238375,0.03735,-0.20635
1.4152,0.086225,-0.1404
1.3755667,0.1982667,-0.131
1.16848,0.30256,-0.06668
0.9409333,0.3739,0.0429667
0.85025,0.34865,0.060325
0.79606,0.3074,-0.06226
0.797575,0.1425,-0.09125
0.766775,0.010925,-0.01365
0.721075,-0.050575,0.0742
0.6597,-0.0488,0.113425
0.6232667,-0.0476333,0.1023
0.6052,-0.0229,0.084975
0.63895,-0.007325,0.102
0.688375,0.012775,0.21555
0.730525,0.0392,0.32025
0.7814,0.06818,0.26006
0.891975,0.1163,0.130275
0.9918,0.1174333,0.3422333
1.194725,0.09795,0.412025
1.34565,0.106575,0.317025
1.48755,0.114825,0.3464
1.487525,0.0547,0.390275
1.313075,-0.024325,0.364575
1.211325,-0.086325,0.1768
1.043,0.0204,-0.30515
0.9577,0.1896,-0.302325
1.276325,0.31325,-0.140625
1.46435,0.2667,-0.07355
1.193375,0.214625,-0.094075
0.8372,0.110425,-0.176625
0.7059,-0.016,-0.187775
0.793225,0.002925,-0.267275
1.017675,0.0509,-0.2573
1.03955,0.073825,-0.083475
0.851275,0.109375,0.08825
0.6847,0.148075,0.159275
0.607275,0.169575,0.094125
0.586125,0.15925,0.046
0.65695,0.088875,0.110475
0.73805,0.019675,0.146775
0.813425,-0.04025,0.116625
0.805125,-0.08085,0.0965
0.8126,-0.0834,0.09995
0.916475,-0.05,0.203725
1.0387,-0.0079,0.258975
1.1459333,0.0031667,0.2095
1.24108,-0.0096,0.236
1.282225,-0.05425,0.3192
1.259425,-0.036725,0.311775
1.210875,0.0202,0.366175
1.1495,0.20675,0.033275
1.02665,0.321575,-0.1868
1.0904667,0.2151333,-0.0989333
1.1991,0.12376,-0.02514
1.2354,0.1133333,-0.1653
1.14484,0.19492,-0.38974
0.94465,0.3102,-0.177175
0.8666333,0.352,0.0538333
0.9938,0.3209,0.14414
1.1426667,0.2227333,0.1341667
1.13958,0.074,0.02402
0.9318,-0.021325,0.0949
0.722125,-0.030525,0.1609
0.585875,-0.04345,0.1648
0.5034,-0.0287333,0.1578333
0.508175,-0.022725,0.1342
0.566275,0.009225,0.14645
0.6721,0.0489,0.1839
0.84142,0.0948,0.24294
0.8968667,0.1408333,0.2897
0.866,0.131625,0.263575
0.89815,0.0814,0.2496
1.0038,0.04645,0.2111
1.1787,0.073825,0.320075
1.389825,0.073625,0.369925
1.425025,0.0385,0.320325
1.31055,-0.015275,0.357025
1.185075,-0.1022,0.1946
1.092775,0.0869,-0.21555
1.1177,0.271475,-0.26855
1.2244,0.378275,-0.11255
1.327,0.192975,-0.045625
