accx,accy,accz
0.820625,0.129625,0.1096
0.659575,0.1073,0.145175
0.55995,0.10765,0.2091
0.5334,0.1128,0.233475
0.571375,0.0889,0.1729
0.57195,0.04995,0.148975
0.564525,0.04545,0.198225
0.578975,0.08115,0.24875
0.6399,0.134025,0.132525
0.769225,0.220025,0.129875
0.84285,0.238225,0.12305
0.924575,0.214625,0.106275
0.90965,0.289475,0.173175
0.7997,0.23255,0.18775
0.769525,0.191725,0.1871
0.74805,0.113375,0.2117
0.6635,0.039675,0.241625
0.649,0.010025,0.18445
0.809275,0.012325,0.125925
1.0017667,0.0616333,-0.0659667
1.18868,0.16382,0.02674
1.2549,0.225975,-0.0205
1.27195,0.3044,0.091275
1.359825,0.229625,0.248325
1.4831,0.19845,0.298275
1.8473,0.0618,0.102925
2.038125,-0.121825,0.02675
1.584425,-0.083025,0.05325
1.227175,-0.054725,0.073725
1.00615,0.0094,0.18685
0.917875,0.024525,0.152125
0.799375,0.053375,0.079975
0.73455,0.083675,0.024425
0.712825,0.101375,0.0368
0.7320333,0.0811667,0.0539667
0.7422,0.05242,0.03768
0.753425,0.021025,0.0373
0.82685,0.022375,0.112625
0.82855,0.029175,0.124175
0.80555,0.017225,0.14365
0.766125,0.0022,0.132675
0.7238,-0.0133,0.0947
0.69405,-0.007375,0.087775
0.6646,0.017725,0.045975
0.6472333,0.0367,0.0476
0.64258,0.08096,0.12606
0.798225,0.11545,0.158725
0.85355,0.1232,0.243175
0.8697667,0.1138333,0.2427
0.9264,0.07684,0.19672
0.98695,0.049625,0.0656
1.054175,0.088125,-0.027575
1.17185,0.174875,0.066825
1.25,0.262225,0.11185
1.342625,0.3179,0.185325
1.4776333,0.3169667,0.2440667
1.6359,0.29224,0.27806
1.67465,0.313125,0.26685
1.489375,0.29815,0.156825
1.2506667,0.2757667,0.0902333
1.105475,0.216625,0.11595
0.97602,0.17982,0.15422
0.89395,0.1729,0.1713
0.8455667,0.1640333,0.1595667
0.778,0.162675,0.178975
0.712775,0.154475,0.236075
0.6448,0.1327,0.22675
0.597925,0.122475,0.1474
0.592075,0.131925,0.0245
0.582525,0.1711,-0.1045
0.5356,0.1642,-0.129025
0.403825,0.1963,0.050325
0.414075,0.2381,0.097875
0.53565,0.217825,0.07055
0.661525,0.208675,-0.015625
0.834725,0.176675,0.0876
0.8244,0.1186,0.30545
0.8485,0.095375,0.210025
0.93475,0.071075,0.111125
1.100175,0.08975,0.09535
1.313825,0.092275,0.02845
1.479,0.1453,-0.10235
1.524225,0.175575,0.04475
1.59195,0.1578,0.2125
1.64485,0.176425,0.42245
1.6072,0.1911,0.250275
1.394125,0.13485,0.186375
1.281125,0.0834,0.21235
1.276125,0.029825,0.1773
1.219525,0.01735,0.12985
1.121825,0.036975,0.020175
0.941225,0.076975,-0.043825
0.797925,0.123125,0.05925
0.7268333,0.1512667,0.1280333
0.694525,0.12875,0.1132
0.6903,0.08006,0.1131
0.7262,0.06165,0.116975
0.733025,0.0443,0.07925
0.72825,0.0072,0.09895
0.680425,-0.012075,0.034
0.6105667,-0.0154667,-0.0924333
0.56725,-0.0214,-0.07905
0.6299429,-0.0205,0.1090143
0.7924,-0.0072,0.156025
0.767925,-0.01745,0.187475
0.709275,0.06015,0.244525
0.787825,0.058825,0.218725
0.88555,0.022675,0.34205
0.8908,0.010125,0.34395
0.904375,0.005975,0.262325
1.0149,0.071075,0.1509
1.123275,0.101875,0.1002
1.27055,0.1155,0.041525
1.4995333,0.1054667,0.0653667
1.57138,0.1861,0.21784
1.7726667,0.2739,0.3352333
1.573675,0.41945,0.40255
1.33186,0.38868,0.33134
1.256775,0.277325,0.202575
1.2444667,0.1570333,0.2292667
1.15602,0.0879,0.21082
0.9660667,0.0401667,0.1536333
0.780975,-0.0138,0.134575
0.61975,-0.03355,0.11915
0.525575,-0.04235,0.152125
0.46275,-0.034275,0.2133
0.44305,-0.01685,0.251025
0.4471,0.011325,0.196425
0.434575,0.05335,0.035225
0.34915,0.07995,-0.10985
0.44515,0.15315,-0.179
0.499775,0.183275,0.15005
0.61815,0.247125,0.1604
0.76105,0.272675,0.361975
0.78905,0.220375,0.494625
0.941125,0.05365,0.2329
1.15225,-0.101575,-0.068125
1.2833,-0.163775,0.108425
1.562975,-0.214675,0.100775
1.647325,-0.099025,0.2115
1.635525,-0.01675,0.788225
1.9545,0.017125,0.458975
1.92465,0.191325,0.5667
1.631225,0.05755,0.4441
1.29975,-0.024925,0.0116
1.10515,0.03855,-0.15185
0.9559,0.014975,-0.094875
0.757375,0.085725,0.06435
0.7021,0.14465,0.153325
0.67585,0.1448,0.199775
0.67745,0.08875,0.22195
0.6671,0.0451,0.153975
0.590575,0.0159,0.17725
0.57445,-0.0219,0.19655
0.588825,-0.075775,0.183025
0.620275,-0.122575,0.262975
0.731375,-0.166775,0.38495
0.8,-0.15185,0.42505
0.76095,-0.125725,0.318175
0.83375,-0.109775,0.30685
1.031725,-0.06885,0.4987
1.2469,-0.01045,0.43675
1.32555,-0.0206,0.222475
1.232675,-0.03365,-0.0081
1.211825,-0.02755,-0.225
1.16405,0.0984,-0.183725
1.183575,0.175025,-0.14065
1.26945,0.197375,-0.212725
1.460675,0.244,-0.109
1.565525,0.36245,0.135775
1.532825,0.426225,0.210025
1.267625,0.35425,0.171925
1.026575,0.196175,0.0334
0.8507333,0.0912667,-0.0219333
0.71844,-0.02926,0.00976
0.6882,-0.0919,0.1258
0.73475,-0.109625,0.192875
0.768925,-0.08775,0.193675
0.820725,-0.037,0.18385
0.898825,0.0847,0.20975
0.9228667,0.1383667,0.2671667
0.92205,0.1836333,0.2296333
0.914825,0.203925,0.09645
0.9655667,0.2187667,0.0362
0.97735,0.154675,0.076475
0.993125,0.121175,0.1474
0.985775,0.10105,0.20895
0.945575,0.0946,0.21915
0.9228,0.09405,0.15535
0.9281167,0.0976167,0.09595
0.94625,0.1103,0.20855
0.9229,0.117525,0.28485
0.879075,0.075275,0.3299
0.908525,0.0308,0.3054
1.098725,0.033725,0.1632
1.396475,0.0498,0.0466
1.530125,0.1425,-0.1104
1.25735,0.24785,-0.23005
1.022625,0.266925,-0.277
0.9477,0.181975,-0.179125
0.748825,0.079225,0.05465
0.74315,-0.03915,0.0851
0.90285,-0.07385,-0.013425
1.08285,-0.05055,-0.0474
1.067925,0.01735,-0.1367
1.02935,0.08785,-0.18955
0.937675,0.148275,-0.0783
0.8294,0.1612,0.002
0.7545,0.138975,0.1049
0.76375,0.09825,0.15995
0.8638,0.038675,0.1509
0.974575,-0.033975,0.1388
1.051775,-0.06965,0.0639
1.088175,-0.063525,-0.014
1.07415,-0.02145,-0.059775
0.9936,0.0186,-0.0680667
0.9243,0.04736,-0.0628
0.91915,0.049525,-0.0636
0.926325,0.072225,-0.07515
0.942,0.10305,-0.085275
0.952675,0.13035,-0.050375
0.953275,0.12445,-0.039275
0.97295,0.0876,-0.036475
0.974425,0.116675,0.0383
0.978925,0.1212,0.073425
1.0289,0.1284,0.05265
1.099875,-0.03415,0.0686
1.2241667,-0.0695,0.0254667
1.4199,-0.070625,-0.0453
1.52525,-0.01955,-0.059475
1.3047,0.09975,-0.147975
1.0683,0.1491,-0.38795
0.93835,0.1845,-0.4325
0.87485,0.147825,-0.25245
0.80985,0.1199,-0.03405
0.916,0.122,0.11225
1.01035,0.129975,0.160125
1.0621,0.15405,0.0684
1.059425,0.18135,0.035575
1.016825,0.20075,-0.013725
0.967125,0.169875,-0.097725
0.89595,0.1269,-0.1446
0.8355,0.09015,-0.11105
0.80025,0.080425,-0.03075
0.80495,0.1044,0.0361
0.814175,0.13195,0.10935
0.832825,0.157025,0.146675
0.83985,0.1521,0.169375
0.858375,0.123875,0.118325
0.863575,0.097275,0.053875
0.872175,0.06465,-0.0132
0.8624,0.044225,-0.05295
0.820925,0.130775,0.02425
0.728075,0.162325,0.0595
0.582325,0.2084,-0.051425
0.476325,0.167575,0.0367
0.45485,0.151925,0.268425
0.45855,0.12,0.23205
0.5031,0.069125,0.130325
0.60445,0.00955,0.161525
0.683525,-0.013,0.38305
0.849025,-0.0197,0.362825
1.0381,0.050975,-0.027225
1.02945,0.135775,-0.15635
1.199,0.160125,0.07015
1.35305,0.22385,-0.1425
1.5239,0.2772,0.131475
1.851325,0.306175,0.539275
1.900575,0.30165,0.414825
2.092175,0.17665,-0.010525
1.7641,0.10375,-0.083675
1.4771,-0.022475,-0.007225
1.236075,-0.04375,0.120225
1.030575,0.05535,0.204975
0.846725,0.147875,0.2443
0.6993,0.178075,0.1836
0.6781,0.155525,0.139025
0.635275,0.1109,0.1066
0.576525,0.04945,0.069525
0.525575,-0.004175,0.0328
0.59365,0.019475,0.009075
0.56375,0.043925,0.0101
0.5018,0.051575,0.023275
0.5269,0.035825,0.110025
0.668075,0.003775,0.1682
0.818275,-0.00835,0.141025
0.8482,-0.023925,0.1453
0.7965,-0.0307,0.1543667
0.81808,-0.03828,0.14132
0.867725,-0.07575,0.233175
0.881175,-0.054075,0.229425
0.86055,-0.015025,0.159075
0.9148667,0.0274667,0.1275333
1.07356,0.07258,0.15416
1.20265,0.10785,0.05305
1.2463833,0.2157333,-0.0450667
1.399575,0.299675,0.198825
1.5968,0.3014667,0.3241333
1.72825,0.319225,0.293475
1.67822,0.4778,0.25434
1.5367,0.4291,0.2664
1.350075,0.3218,0.2801
1.2161,0.223075,0.22265
1.129475,0.1762,0.189525
1.0249333,0.1712333,0.1976
0.93584,0.15326,0.1395
0.816925,0.1254,0.096475
0.67445,0.070175,0.156625
0.55655,0.017025,0.18385
0.483775,0.000175,0.162775
0.51315,0.068425,0.156775
0.609875,0.1725,0.18775
0.6927,0.220125,0.253075
0.75715,0.2427,0.23495
0.808975,0.257125,0.044875
0.858975,0.245125,-0.098975
0.87015,0.213625,-0.17925
0.761125,0.180025,-0.1626
0.521275,0.1823,-0.020275
0.417125,0.140225,0.070975
0.5683,0.044675,0.1441
0.77565,0.011925,0.105125
0.8046,0.01245,0.16685
0.83905,0.068875,0.28135
1.0013,0.1821,0.343025
1.13785,0.23435,0.229675
1.23665,0.2719,0.1352
1.3685667,0.2166833,0.1710833
1.577125,0.17245,0.2496
1.63185,0.0908,0.272575
1.91685,-0.0347,0.0572
1.916175,-0.105775,0.316275
1.5379,-0.050475,0.270925
1.23855,0.066725,0.01645
1.028625,0.169225,0.091325
0.857625,0.2887,0.076975
0.7807,0.2742,0.009925
0.7013,0.24455,-0.0464
0.614,0.1838667,0.0064667
0.5004,0.11668,0.10742
0.477375,0.03145,0.149025
0.46355,0.008125,0.17945
0.481,-0.0126,0.1762
0.51432,-0.02168,0.1955
0.553625,-0.03085,0.210675
0.617775,-0.049075,0.244225
0.721925,-0.0594,0.2247
0.810275,-0.026275,0.2545
0.830025,0.0429,0.22485
0.8602,0.0629333,0.2821
0.91966,0.05538,0.45806
1.026175,0.0325,0.477925
1.228875,0.055175,0.149575
1.3923333,0.0954333,0.0556
1.46136,0.166,0.01742
1.5128,0.2705333,0.1152333
1.48508,0.29886,0.28174
1.4177667,0.3311667,0.3995333
1.390325,0.3325,0.43005
1.39555,0.31115,0.456525
1.37065,0.28025,0.4437
1.302625,0.191325,0.24075
1.1303,0.16315,0.054725
0.94495,0.122225,0.047575
0.79415,0.10065,0.121025
0.726375,0.083375,0.14615
0.65245,0.04485,0.149575
0.579275,0.00575,0.153825
0.539875,-0.005175,0.210175
0.549825,0.012075,0.229375
0.574275,0.042525,0.1207
0.522325,0.0897,0.060725
0.4842,0.160875,0.1038
0.6286,0.173975,0.195625
0.731625,0.1727,0.1251
0.803925,0.184975,0.0851
0.718875,0.199825,0.1559
0.728925,0.212625,0.222575
0.810825,0.151425,0.317
0.8625,0.06605,0.34455
0.9944,0.0496333,0.2205667
1.15078,0.06408,-0.00594
1.20705,0.146,-0.085225
1.30025,0.16015,0.105425
1.322975,0.14715,0.1286
1.41495,0.093425,0.250925
1.54705,0.0357,0.40085
1.7617,0.017175,0.115275
1.914325,-0.01815,0.060225
1.58415,0.00315,0.229225
1.29505,0.0509,0.099275
1.10165,0.046075,0.1103
0.9311,0.04395,0.15915
0.793175,0.061775,0.041275
0.657325,0.08385,-0.041525
0.5296,0.08125,-0.0166
0.49715,0.0765,-0.0156
0.499,0.0660667,0.0361
0.54248,0.02964,0.12582
0.495175,0.002425,0.082225
0.370125,-0.00665,0.0232
0.294475,-0.000825,-0.0072
0.236925,0.0005,0.082575
0.523325,-0.0344,0.242225
0.74075,-0.066475,0.21395
0.91385,-0.018225,0.088575
1.0288,0.0396,-0.0068333
1.1111,0.097525,0.02645
1.46508,0.18198,0.0265
1.67845,0.229525,0.259575
1.7323,0.30945,0.2906
1.70675,0.34015,0.390125
1.7144333,0.4272333,0.5122667
1.92178,0.35052,0.39894
1.84985,0.291375,0.249175
1.586625,0.247075,0.18465
1.261575,0.194125,0.2315
1.0217,0.1488667,0.1884
0.814675,0.10815,0.1074
0.58965,0.0573,0.118025
0.410075,0.03575,0.134175
0.335225,-0.03365,0.1308
0.1887,-0.050475,0.101525
0.09,0.0242,0.0182
0.08605,0.1084,-0.0191
0.28815,0.183575,0.0315
0.4267,0.216375,0.1874
0.4881,0.303,0.293125
0.51585,0.29675,0.15915
0.5499,0.2797,0.08865
0.862975,0.19805,0.141
1.1394,0.109375,0.2659
1.08,0.138725,0.2871
1.006475,0.097275,0.078125
1.008275,0.126925,-0.107275
1.28465,0.149225,0.191625
1.6547,0.15745,0.408925
1.7639,0.187,0.487675
1.77385,0.17075,0.320525
1.8514,0.106025,0.370175
1.957425,0.074225,0.302525
1.663475,0.10405,0.33045
1.3310667,0.1017,0.3148667
1.04802,0.10512,0.19548
0.79715,0.11665,0.178475
0.684275,0.09335,0.143075
0.623525,0.09,0.092675
0.5628,0.0894,0.1039667
0.5441,0.06922,0.08738
0.5406,0.0484,0.082725
0.5406,0.022475,0.083825
0.53705,0.004625,0.0755
0.6141333,-0.0089,0.0711667
0.67762,-0.03556,0.15858
0.68875,-0.021175,0.192225
0.709675,-0.003125,0.0647
0.775525,0.046425,0.05835
0.6251,0.06165,0.269525
0.668,0.0296667,0.3607333
0.729625,0.0531,0.312
0.8547,0.03998,0.22282
0.9359,0.0708333,0.2434333
1.04695,0.118675,0.3327
1.201675,0.10005,0.263525
1.28924,0.02448,0.21726
1.3992,0.032325,0.09125
1.580925,0.0654,0.213
1.6705,0.1102333,0.3288667
1.70178,0.2404,0.38724
1.6837,0.2760667,0.3878667
1.60195,0.36645,0.38045
1.465375,0.4205,0.340575
1.264125,0.2973,0.29705
1.0706,0.248975,0.144625
0.9012,0.135025,0.01255
0.731575,0.034825,0.001925
0.60855,-0.024375,0.0284
0.53655,-0.03805,0.050575
0.495675,-0.022675,0.096325
0.463825,0.012475,0.13775
0.450525,0.02205,0.15445
0.4485,0.055875,0.168175
0.4451,0.055975,0.120925
0.4524,0.075975,0.009475
0.460075,0.080825,-0.00725
0.527975,0.08005,0.066225
0.70675,0.137675,0.07415
0.803925,0.170675,0.153975
0.928625,0.2348,0.200875
0.80105,0.2148,0.381425
0.845275,0.177575,0.3687
0.967525,0.127325,0.14045
1.241525,0.0779,-0.2806
1.520175,0.06385,-0.39785
1.609,0.0068,-0.0156
1.66905,0.02125,0.28515
1.7205,0.0038,0.3609
1.7317,-0.0457,0.107
1.73302,-0.08986,0.03762
1.653525,-0.1306,0.162875
