accx,accy,accz
1.2856,0.1649333,0.1677
1.38888,0.24862,-0.0001
1.427,0.2137,-0.279875
1.18045,0.09855,-0.32215
0.94155,0.017775,-0.26785
0.742925,5e-05,-0.259125
0.6829667,-0.0068,-0.2269
0.786,0.00194,-0.11572
0.97065,0.012,-0.017875
0.993075,0.054925,0.047325
0.924,0.075825,0.0377
0.8593,0.058125,-0.00055
0.819725,0.025975,-0.041475
0.756425,-0.00395,-0.0522
0.70125,-0.00645,-0.08545
0.6804667,-0.0007,-0.0895
0.67416,0.01606,-0.09878
0.7351,0.013375,-0.154175
0.829025,0.0128,-0.13945
0.91905,0.022425,-0.02125
0.9734667,0.0257667,0.0695333
1.0016,0.00702,0.06956
1.023075,-0.01185,-0.000975
1.0313,-0.031425,-0.055825
1.005825,-0.050425,-0.031375
0.9747667,-0.0405667,-0.0007667
0.99268,-0.03494,0.01318
1.06615,-0.037825,-0.014625
1.1295,-0.025675,-0.048875
1.159375,-0.001,-0.019325
1.201825,0.00195,0.004125
1.2179,-0.00235,0.018
1.18378,0.01138,0.00772
1.1504,0.02346,-0.12844
1.131825,0.006475,-0.18255
1.0973,0.059025,-0.16785
1.08785,0.1125,-0.111125
1.07575,0.182575,-0.1194
1.026425,0.21645,-0.1375
0.9731667,0.2485333,-0.1543
0.90022,0.2093,-0.15152
0.8509,0.1902667,-0.2252667
0.8655,0.1458667,-0.2154
0.9427333,0.0873167,-0.1030333
1.0061,0.0538,-0.0178
0.96242,0.05802,-0.00532
0.86725,0.071325,-0.008825
0.8153,0.0966333,-0.0040333
0.781725,0.13305,0.012075
0.76875,0.14305,-0.0136
0.7712333,0.1290333,-0.0435667
0.78664,0.12004,-0.08004
0.79725,0.107975,-0.0502
0.8098,0.1046,-0.02485
0.85365,0.1029,-0.0205
0.914175,0.107375,0.022225
0.997125,0.113725,0.056075
1.0246,0.123375,0.03665
1.010825,0.12795,0.003
1.004975,0.132625,0.0151
1.0037667,0.1436,0.0368
1.00402,0.14186,0.03656
1.01855,0.1185,0.032575
1.036575,0.09075,0.075425
1.072625,0.0677,0.117425
1.1028667,0.0655333,0.1378
1.15032,0.07174,0.16574
1.186225,0.067925,0.197025
1.1988,0.079075,0.0724
1.16,0.1599,-0.053325
1.1817333,0.2222333,-0.0197667
1.31684,0.26432,0.00058
1.258275,0.171975,-0.219
1.05915,0.0575,-0.354975
0.884325,-0.059175,-0.28445
0.8122667,-0.1151,-0.2029333
0.8227,-0.0723,-0.12732
0.931825,-0.028825,-0.01695
0.979375,0.014525,-0.030275
0.9558667,0.0432667,-0.0065333
0.9,0.112025,0.061075
0.828425,0.100275,0.0442
0.77576,0.09414,0.00218
0.7606,0.063375,-0.006375
0.761925,0.035675,0.00565
0.77,0.0171333,0.0197667
0.74594,0.01596,0.0256
0.769925,0.0187,0.0192
0.832875,0.00465,0.02345
0.8988333,-0.0129,0.0383333
0.951975,-0.0173,0.06175
0.973875,-0.0077,0.056075
0.9921,-0.01192,0.04286
1.0382333,-0.0386667,0.0364333
1.0615,-0.048025,0.0367
1.035575,-0.03635,0.076925
1.02825,-0.0447,0.098825
1.0373,-0.054925,0.074
1.062225,-0.044,0.049475
1.063025,-0.0054,0.060175
1.074125,0.0229,0.0769
1.1177667,0.0313,0.0798667
1.18502,0.03832,0.07218
1.19085,0.06325,-0.04605
1.19055,0.087675,-0.232625
1.2660333,0.0474,-0.2471667
1.37622,0.04968,-0.07246
1.236525,0.087875,-0.041275
1.066125,0.108775,-0.1877
0.9047,0.157425,-0.155675
0.816,0.1673667,-0.0909667
0.84584,0.17968,-0.10474
0.91855,0.1601,-0.14585
0.95265,0.1433,-0.0975
0.96055,0.120375,-0.032
0.9278667,0.1103333,0.0467333
0.8799,0.1177,0.06308
0.801,0.10115,0.057675
0.756475,0.07345,0.00975
0.726525,0.0578,-0.003725
0.7079,0.0714,-0.0109
0.7226,0.09886,0.0018
0.770725,0.126075,0.00895
0.80325,0.13865,0.021475
0.842575,0.145975,0.027775
0.8876667,0.1489667,0.0059
0.91758,0.14722,-0.01234
0.941425,0.1436,-0.027275
0.976375,0.138,-0.0551
1.0331,0.1127,-0.0115
1.0519333,0.1052667,0.0175667
1.0615,0.110525,0.020075
1.06504,0.11772,0.0174
1.085025,0.113225,0.086325
1.131175,0.1265,0.1055
1.1823667,0.1098667,0.1076667
1.20862,0.087,0.11534
1.227275,0.06535,0.152
1.209875,0.07125,0.0788
1.112475,0.164425,-0.074575
1.0764667,0.2448667,-0.0754333
1.2164,0.2583,-0.0386
1.27575,0.17135,-0.218975
1.09305,0.101275,-0.464225
0.952975,0.010925,-0.379475
0.8396,-0.0261333,-0.309
0.7722,0.016925,-0.20865
0.77834,0.10046,-0.08506
0.898025,0.1023,-0.04085
0.9562667,0.1034,-0.0584667
0.945525,0.10345,-0.0606
0.89396,0.12512,-0.01058
0.884475,0.1096,-0.043625
0.880775,0.0625,-0.077825
0.8953,0.0063667,-0.0775333
0.8739,-0.03366,-0.06948
0.806275,-0.046925,-0.08235
0.7675,-0.0259,-0.073675
0.768425,0.011775,-0.08435
0.8067667,0.0334,-0.0740333
0.8469667,0.0433667,-0.0258
0.8992,0.0380667,0.02265
0.9316,0.0221,-0.0346667
0.92798,-0.00776,-0.08328
0.9389667,-0.0375333,-0.0894333
0.9561333,-0.0467,-0.0627667
0.97354,-0.0574,-0.01574
1.0102,-0.080525,0.004625
1.02375,-0.0934,-0.001125
1.002475,-0.0674,-0.005875
1.0025333,-0.0312333,-0.0041333
1.04392,-0.00538,0.03198
1.10665,0.005375,0.077775
1.12585,-0.006475,0.0375
1.14555,0.007425,0.0056
1.1541667,0.0139333,-0.0237
1.17838,0.02594,-0.02278
1.20965,0.025225,-0.077125
1.218075,0.01685,-0.204275
1.199125,-0.0136,-0.27415
1.2195333,0.0157667,-0.2242
1.2084,0.04834,-0.16864
1.1588,0.064375,-0.149325
1.016575,0.092325,-0.09845
0.8093625,0.12795,-0.13765
0.741575,0.132975,-0.187825
0.781575,0.121425,-0.005975
0.9019,0.1064,0.135275
0.963275,0.105225,0.13545
0.9385667,0.1091667,0.078
0.89526,0.10862,-0.02276
0.825125,0.0954,-0.0775
0.77775,0.05745,-0.081175
0.72825,0.032425,-0.09525
0.730175,0.009575,-0.073375
0.76315,0.00385,-0.0101
0.8405333,0.0052,0.0327167
0.90535,0.0185,0.00455
0.952175,0.016325,0.0381
0.965975,0.027825,0.12135
0.9421,0.0437,0.1391
0.8774333,0.0813333,0.0898667
0.864,0.102,0.0221
0.9075,0.09345,0.067925
0.940575,0.099325,0.107325
0.9910667,0.0956667,0.1213333
1.07644,0.08152,0.09858
1.207275,0.032625,0.0931
1.26345,0.018675,0.1762
1.2947333,-0.0004667,0.3148667
1.30518,-0.01434,0.34112
1.2794667,-0.0515667,0.3069
1.2647,-0.03685,0.216525
1.13388,-0.00178,-0.17548
1.2356667,0.1381333,0.2584
1.38688,0.18998,0.2028
1.161225,0.265125,-0.3293
0.8819667,0.2023333,-0.3261333
0.81892,0.13398,-0.22876
0.836675,0.173825,-0.34515
0.8064,0.2004667,-0.2625667
0.881275,0.15375,-0.186875
0.95605,0.071425,-0.1948
0.899975,0.06905,-0.1258
0.837375,0.09245,-0.0347
0.8303,0.09444,-0.03398
0.8532667,0.0647,-0.0728
0.89625,0.000875,-0.098225
0.921775,-0.05915,-0.09565
0.93178,-0.0971,-0.07898
0.8908333,-0.0881333,-0.0612333
0.85745,-0.0547,-0.0675
0.86215,-0.0482,-0.08705
0.903825,-0.057625,-0.06035
0.8651,-0.044675,-0.024975
0.8081,-0.02915,-0.0252
0.823775,-0.033825,-0.01165
0.839225,-0.0575,-0.03985
0.855875,-0.106875,-0.042675
0.8835,-0.1546,-0.0641
0.9106,-0.18754,-0.00996
0.9422,-0.200875,0.0504
0.959225,-0.194075,0.050875
0.946325,-0.1973,0.108075
0.9494,-0.199575,0.171375
0.9614,-0.2115,0.1627
0.96884,-0.2514,0.10896
0.98096,-0.2663,0.15304
0.947875,-0.220375,0.23035
0.88055,-0.2196,0.190375
0.879225,-0.246025,0.143825
0.902225,-0.269675,0.123725
0.972175,-0.27295,0.164775
1.00925,-0.2444,0.1422
1.013275,-0.179,0.055675
1.00735,-0.07695,-0.015725
1.0926,0.041675,-0.0447
1.1867,0.19275,0.12925
1.32245,0.369725,0.354725
1.4749,0.437625,0.3349
1.4830333,0.4859,0.3102
1.37734,0.51506,0.2402
1.15315,0.395175,0.0609
0.8859667,0.3233333,-0.0793333
0.71922,0.2123,-0.03664
0.68775,0.11025,0.0243
0.726375,0.058175,0.071525
0.8005,0.0217,0.0762
0.852675,0.00695,0.071025
0.922925,-0.014025,0.090175
0.97305,0.001025,0.0942
0.99865,0.02085,0.07785
0.9768,0.0179,0.0329167
0.9823333,0.0083,0.0864
1.0082,0.013875,0.12775
1.024775,0.042875,0.130675
1.073375,0.076325,0.153775
1.036575,0.09975,0.1624
0.956225,0.1288,0.154225
0.9113,0.1536667,0.1557333
0.899075,0.1636,0.1695
0.93154,0.14444,0.19518
1.0064,0.097525,0.219
1.031975,0.067275,0.228575
1.08128,0.05098,0.27174
1.1668667,0.0686,0.3446667
1.21895,0.097575,0.40985
1.30185,0.097175,0.463625
1.340275,0.100725,0.48285
1.32335,0.083125,0.3585
1.08375,0.0971,-0.22915
0.859075,0.1284,-0.241925
0.9243,0.1505,-0.142425
1.220725,0.16445,-0.139925
1.3449,0.160125,-0.3933
1.14465,0.0568,-0.440575
1.049375,-0.0469,-0.292775
0.934075,-0.054075,-0.186325
0.77,0.041825,-0.0139
0.711925,0.1067,0.08825
0.7701,0.09245,0.0984
0.8211333,0.0348833,0.0707167
0.786975,-0.04035,-0.02905
0.77475,-0.07825,-0.081575
0.803175,-0.060425,-0.0574
0.910425,-0.044325,-0.053875
1.0158,-0.024675,-0.025925
1.0348,-0.0086,0.037675
1.00455,-0.009075,0.0315
0.979975,-0.020575,0.0291
0.927625,-0.003,0.02475
0.9212,-0.026425,0.043675
0.915025,-0.03785,0.064625
0.921375,-0.039425,0.055025
0.91635,-0.032075,0.1007
0.9083,-0.04425,0.108125
