time,gFx,gFy,gFz,TgF
15:57:14:983,0.9660,0.0894,0.1516,0.982
15:57:14:984,0.9695,0.0789,0.1486,0.984
15:57:14:989,0.9917,0.0760,0.1594,1.007
15:57:14:996,1.0054,0.0833,0.1741,1.024
15:57:14:999,0.9976,0.0948,0.1816,1.018
15:57:15:006,0.9788,0.1011,0.1787,1.000
15:57:15:010,0.9665,0.0982,0.1660,0.986
15:57:15:014,0.9604,0.0909,0.1494,0.976
15:57:15:019,0.9572,0.0843,0.1347,0.970
15:57:15:025,0.9484,0.0838,0.1257,0.960
15:57:15:029,0.9399,0.0884,0.1296,0.953
15:57:15:034,0.9374,0.0909,0.1425,0.953
15:57:15:038,0.9401,0.0926,0.1570,0.958
15:57:15:044,0.9465,0.0936,0.1692,0.966
15:57:15:049,0.9482,0.0936,0.1807,0.970
15:57:15:054,0.9438,0.0984,0.1904,0.968
15:57:15:059,0.9448,0.1063,0.1951,0.971
15:57:15:065,0.9528,0.1104,0.2027,0.980
15:57:15:069,0.9592,0.1126,0.2161,0.990
15:57:15:078,0.9670,0.1129,0.2296,1.000
15:57:15:082,0.9751,0.1109,0.2352,1.009
15:57:15:085,0.9770,0.1090,0.2291,1.009
15:57:15:090,0.9697,0.1080,0.2100,0.998
15:57:15:094,0.9565,0.1060,0.1863,0.980
15:57:15:099,0.9487,0.1024,0.1724,0.970
15:57:15:105,0.9528,0.0972,0.1721,0.973
15:57:15:110,0.9616,0.0938,0.1819,0.983
15:57:15:114,0.9663,0.0918,0.1926,0.990
15:57:15:119,0.9663,0.0899,0.1968,0.990
15:57:15:125,0.9663,0.0887,0.1956,0.990
15:57:15:130,0.9651,0.0874,0.1926,0.988
15:57:15:134,0.9616,0.0882,0.1922,0.985
15:57:15:140,0.9577,0.0884,0.1948,0.981
15:57:15:146,0.9597,0.0896,0.2012,0.985
15:57:15:150,0.9660,0.0896,0.2068,0.992
15:57:15:162,0.9692,0.0887,0.2120,0.996
15:57:15:163,0.9646,0.0887,0.2173,0.993
15:57:15:165,0.9563,0.0921,0.2188,0.985
15:57:15:169,0.9548,0.0960,0.2154,0.983
15:57:15:179,0.9607,0.0960,0.2083,0.988
15:57:15:181,0.9607,0.0950,0.2088,0.988
15:57:15:185,0.9541,0.0962,0.2112,0.982
15:57:15:191,0.9494,0.0984,0.2078,0.977
15:57:15:195,0.9516,0.0992,0.2007,0.978
15:57:15:199,0.9592,0.0960,0.1934,0.983
15:57:15:205,0.9626,0.0906,0.1895,0.985
15:57:15:214,0.9631,0.0872,0.1912,0.986
15:57:15:216,0.9614,0.0882,0.1961,0.985
15:57:15:219,0.9643,0.0933,0.1966,0.989
15:57:15:226,0.9722,0.0955,0.1897,0.995
15:57:15:230,0.9792,0.0923,0.1856,1.001
15:57:15:234,0.9797,0.0901,0.1882,1.002
15:57:15:240,0.9746,0.0914,0.1931,0.998
15:57:15:246,0.9675,0.0955,0.1946,0.991
15:57:15:249,0.9646,0.0987,0.1929,0.989
15:57:15:263,0.9668,0.0992,0.1941,0.991
15:57:15:264,0.9665,0.1006,0.1997,0.992
15:57:15:265,0.9604,0.1063,0.2061,0.988
15:57:15:270,0.9519,0.1104,0.2115,0.981
15:57:15:275,0.9453,0.1131,0.2173,0.977
15:57:15:281,0.9448,0.1170,0.2193,0.977
15:57:15:286,0.9472,0.1200,0.2186,0.979
15:57:15:291,0.9492,0.1204,0.2183,0.981
