time,gFx,gFy,gFz,TgF
15:41:54:605,0.9184,0.0200,0.2090,0.942
15:41:54:606,0.9091,0.0246,0.2041,0.932
15:41:54:608,0.9123,0.0307,0.2164,0.938
15:41:54:612,0.9279,0.0359,0.2406,0.959
15:41:54:617,0.9453,0.0364,0.2657,0.983
15:41:54:623,0.9538,0.0354,0.2833,0.996
15:41:54:627,0.9536,0.0386,0.2973,1.000
15:41:54:633,0.9558,0.0420,0.3058,1.004
15:41:54:638,0.9634,0.0422,0.3051,1.011
15:41:54:643,0.9692,0.0388,0.2982,1.015
15:41:54:647,0.9685,0.0356,0.2897,1.012
15:41:54:653,0.9631,0.0329,0.2853,1.005
15:41:54:657,0.9565,0.0310,0.2836,0.998
15:41:54:663,0.9538,0.0300,0.2843,0.996
15:41:54:668,0.9506,0.0285,0.2838,0.993
15:41:54:673,0.9460,0.0285,0.2787,0.987
15:41:54:677,0.9414,0.0293,0.2706,0.980
15:41:54:688,0.9360,0.0312,0.2635,0.973
15:41:54:689,0.9340,0.0320,0.2579,0.970
15:41:54:693,0.9360,0.0298,0.2584,0.971
15:41:54:698,0.9392,0.0258,0.2608,0.975
15:41:54:706,0.9409,0.0239,0.2623,0.977
15:41:54:708,0.9423,0.0246,0.2599,0.978
15:41:54:713,0.9448,0.0273,0.2564,0.979
15:41:54:718,0.9470,0.0285,0.2555,0.981
15:41:54:723,0.9460,0.0288,0.2584,0.981
15:41:54:728,0.9472,0.0278,0.2635,0.984
15:41:54:735,0.9482,0.0285,0.2704,0.986
15:41:54:738,0.9504,0.0315,0.2760,0.990
15:41:54:743,0.9568,0.0315,0.2814,0.998
15:41:54:749,0.9631,0.0293,0.2846,1.005
15:41:54:753,0.9656,0.0280,0.2836,1.007
15:41:54:758,0.9641,0.0283,0.2792,1.004
15:41:54:773,0.9621,0.0307,0.2760,1.001
15:41:54:774,0.9604,0.0324,0.2743,0.999
15:41:54:775,0.9597,0.0334,0.2758,0.999
15:41:54:778,0.9585,0.0356,0.2755,0.998
15:41:54:786,0.9568,0.0349,0.2760,0.996
15:41:54:794,0.9536,0.0342,0.2841,0.996
15:41:54:795,0.9475,0.0320,0.2978,0.994
15:41:54:799,0.9445,0.0276,0.3095,0.994
15:41:54:804,0.9487,0.0241,0.3156,1.000
15:41:54:808,0.9575,0.0236,0.3097,1.007
15:41:54:814,0.9668,0.0268,0.3002,1.013
15:41:54:819,0.9729,0.0317,0.2914,1.016
15:41:54:824,0.9758,0.0322,0.2701,1.013
15:41:54:828,0.9746,0.0344,0.2398,1.004
15:41:54:833,0.9670,0.0390,0.2181,0.992
15:41:54:839,0.9541,0.0427,0.2134,0.979
15:41:54:844,0.9411,0.0466,0.2186,0.967
15:41:54:848,0.9338,0.0488,0.2278,0.962
15:41:54:853,0.9316,0.0527,0.2362,0.962
15:41:54:859,0.9330,0.0588,0.2391,0.965
15:41:54:874,0.9389,0.0596,0.2425,0.972
15:41:54:875,0.9445,0.0544,0.2459,0.978
15:41:54:876,0.9472,0.0474,0.2481,0.980
15:41:54:878,0.9484,0.0434,0.2511,0.982
15:41:54:884,0.9489,0.0408,0.2545,0.983
15:41:54:890,0.9514,0.0378,0.2572,0.986
15:41:54:894,0.9536,0.0351,0.2594,0.989
15:41:54:901,0.9560,0.0317,0.2594,0.991
15:41:54:904,0.9582,0.0293,0.2540,0.992
15:41:54:909,0.9619,0.0266,0.2469,0.993
15:41:54:914,0.9646,0.0224,0.2415,0.995
15:41:54:919,0.9646,0.0192,0.2388,0.994
15:41:54:924,0.9636,0.0180,0.2388,0.993
15:41:54:929,0.9624,0.0173,0.2452,0.993
15:41:54:934,0.9621,0.0163,0.2555,0.996
15:41:54:940,0.9612,0.0168,0.2630,0.997
15:41:54:945,0.9577,0.0205,0.2674,0.995
15:41:54:949,0.9519,0.0249,0.2726,0.990
15:41:54:954,0.9472,0.0300,0.2733,0.986
15:41:54:959,0.9448,0.0346,0.2728,0.984
15:41:54:971,0.9443,0.0366,0.2723,0.983
15:41:54:973,0.9450,0.0361,0.2714,0.984
15:41:54:974,0.9465,0.0359,0.2716,0.985
15:41:54:979,0.9487,0.0354,0.2726,0.988
15:41:54:986,0.9514,0.0349,0.2750,0.991
15:41:54:990,0.9526,0.0354,0.2758,0.992
15:41:54:994,0.9521,0.0359,0.2740,0.991
15:41:55:000,0.9516,0.0361,0.2726,0.991
15:41:55:005,0.9516,0.0356,0.2699,0.990
15:41:55:009,0.9521,0.0366,0.2674,0.990
15:41:55:014,0.9519,0.0366,0.2660,0.989
15:41:55:019,0.9504,0.0381,0.2630,0.987
15:41:55:025,0.9502,0.0390,0.2623,0.986
15:41:55:029,0.9506,0.0376,0.2650,0.988
15:41:55:035,0.9499,0.0364,0.2687,0.988
15:41:55:039,0.9497,0.0344,0.2745,0.989
15:41:55:045,0.9499,0.0332,0.2811,0.991
15:41:55:049,0.9475,0.0346,0.2850,0.990
15:41:55:056,0.9433,0.0356,0.2843,0.986
15:41:55:060,0.9394,0.0371,0.2799,0.981
15:41:55:065,0.9387,0.0356,0.2728,0.978
15:41:55:070,0.9414,0.0337,0.2665,0.979
15:41:55:075,0.9453,0.0317,0.2630,0.982
15:41:55:080,0.9492,0.0293,0.2611,0.985
15:41:55:089,0.9538,0.0263,0.2601,0.989
15:41:55:090,0.9570,0.0241,0.2618,0.992
15:41:55:095,0.9563,0.0258,0.2655,0.993
15:41:55:099,0.9546,0.0271,0.2699,0.992
15:41:55:106,0.9543,0.0249,0.2736,0.993
15:41:55:110,0.9563,0.0219,0.2740,0.995
15:41:55:117,0.9563,0.0212,0.2699,0.994
15:41:55:119,0.9531,0.0256,0.2633,0.989
15:41:55:125,0.9506,0.0302,0.2584,0.986
15:41:55:130,0.9482,0.0305,0.2567,0.983
15:41:55:135,0.9477,0.0285,0.2557,0.982
15:41:55:140,0.9487,0.0278,0.2501,0.981
15:41:55:145,0.9516,0.0288,0.2413,0.982
15:41:55:149,0.9590,0.0278,0.2362,0.988
15:41:55:155,0.9675,0.0251,0.2362,0.996
15:41:55:160,0.9734,0.0224,0.2386,1.002
15:41:55:168,0.9768,0.0200,0.2425,1.007
15:41:55:171,0.9805,0.0183,0.2472,1.011
15:41:55:177,0.9824,0.0178,0.2489,1.014
15:41:55:184,0.9810,0.0188,0.2481,1.012
15:41:55:185,0.9797,0.0212,0.2496,1.011
15:41:55:190,0.9800,0.0217,0.2523,1.012
15:41:55:195,0.9817,0.0202,0.2518,1.014
15:41:55:200,0.9824,0.0210,0.2454,1.013
15:41:55:206,0.9807,0.0232,0.2403,1.010
15:41:55:210,0.9753,0.0258,0.2364,1.004
15:41:55:215,0.9687,0.0293,0.2327,0.997
15:41:55:220,0.9604,0.0317,0.2261,0.987
15:41:55:225,0.9560,0.0337,0.2164,0.981
15:41:55:231,0.9560,0.0346,0.2117,0.980
15:41:55:235,0.9599,0.0351,0.2154,0.984
15:41:55:240,0.9634,0.0351,0.2234,0.990
15:41:55:245,0.9648,0.0354,0.2300,0.992
15:41:55:250,0.9636,0.0373,0.2349,0.993
15:41:55:255,0.9624,0.0381,0.2408,0.993
15:41:55:260,0.9616,0.0371,0.2486,0.994
15:41:55:273,0.9604,0.0376,0.2545,0.994
