time,gFx,gFy,gFz,TgF
15:38:05:404,0.9846,0.0285,0.0240,0.985
15:38:05:405,0.9795,0.0192,0.0149,0.980
15:38:05:409,0.9861,0.0095,0.0071,0.986
15:38:05:414,0.9880,0.0104,-0.0068,0.988
15:38:05:420,0.9802,0.0200,-0.0247,0.981
15:38:05:424,0.9724,0.0276,-0.0388,0.974
15:38:05:429,0.9685,0.0310,-0.0418,0.970
15:38:05:435,0.9619,0.0364,-0.0244,0.963
15:38:05:440,0.9528,0.0434,0.0159,0.954
15:38:05:446,0.9563,0.0503,0.0577,0.959
15:38:05:450,0.9761,0.0574,0.0770,0.981
15:38:05:455,0.9954,0.0615,0.0827,1.001
15:38:05:461,1.0044,0.0623,0.0897,1.010
15:38:05:464,1.0032,0.0591,0.0976,1.010
15:38:05:470,1.0005,0.0564,0.0971,1.007
15:38:05:474,1.0039,0.0537,0.0866,1.009
15:38:05:481,1.0088,0.0535,0.0822,1.014
15:38:05:484,1.0081,0.0549,0.0929,1.014
15:38:05:490,0.9993,0.0562,0.1098,1.007
15:38:05:501,0.9873,0.0562,0.1176,0.996
15:38:05:502,0.9741,0.0552,0.1105,0.982
15:38:05:505,0.9629,0.0547,0.0954,0.969
15:38:05:510,0.9526,0.0544,0.0807,0.958
15:38:05:515,0.9443,0.0542,0.0739,0.949
15:38:05:523,0.9384,0.0532,0.0778,0.943
15:38:05:525,0.9326,0.0532,0.0885,0.938
15:38:05:530,0.9286,0.0574,0.0993,0.936
15:38:05:535,0.9269,0.0640,0.1034,0.935
15:38:05:540,0.9242,0.0694,0.1120,0.934
15:38:05:545,0.9198,0.0747,0.1328,0.932
15:38:05:550,0.9282,0.0782,0.1435,0.942
15:38:05:555,0.9477,0.0755,0.1398,0.961
15:38:05:562,0.9668,0.0728,0.1286,0.978
15:38:05:565,0.9817,0.0716,0.1086,0.990
15:38:05:570,0.9934,0.0676,0.0846,0.999
15:38:05:575,0.9956,0.0623,0.0668,1.000
15:38:05:582,0.9888,0.0562,0.0648,0.992
15:38:05:586,0.9819,0.0498,0.0829,0.987
15:38:05:590,0.9780,0.0466,0.1059,0.985
15:38:05:605,0.9746,0.0478,0.1222,0.983
15:38:05:607,0.9690,0.0522,0.1262,0.979
15:38:05:608,0.9629,0.0554,0.1232,0.972
15:38:05:611,0.9616,0.0532,0.1198,0.971
15:38:05:618,0.9646,0.0474,0.1161,0.973
15:38:05:621,0.9665,0.0417,0.1073,0.973
15:38:05:625,0.9670,0.0398,0.0980,0.973
15:38:05:631,0.9660,0.0412,0.0890,0.971
15:38:05:635,0.9678,0.0425,0.0795,0.972
15:38:05:641,0.9690,0.0439,0.0753,0.973
15:38:05:646,0.9670,0.0469,0.0807,0.972
15:38:05:650,0.9619,0.0488,0.0914,0.967
15:38:05:655,0.9577,0.0500,0.1039,0.965
15:38:05:662,0.9587,0.0532,0.1122,0.967
15:38:05:666,0.9592,0.0591,0.1154,0.968
15:38:05:671,0.9590,0.0630,0.1196,0.968
15:38:05:675,0.9609,0.0620,0.1284,0.971
15:38:05:682,0.9700,0.0584,0.1337,0.981
15:38:05:685,0.9854,0.0547,0.1281,0.995
15:38:05:692,1.0000,0.0518,0.1142,1.008
15:38:05:703,1.0042,0.0508,0.1017,1.011
15:38:05:704,1.0012,0.0508,0.1010,1.008
15:38:05:706,0.9920,0.0537,0.1100,0.999
15:38:05:711,0.9814,0.0576,0.1154,0.990
15:38:05:716,0.9739,0.0591,0.1149,0.982
15:38:05:723,0.9695,0.0579,0.1068,0.977
15:38:05:726,0.9678,0.0559,0.0963,0.974
15:38:05:732,0.9675,0.0540,0.0949,0.974
15:38:05:736,0.9670,0.0532,0.0995,0.974
15:38:05:741,0.9663,0.0540,0.1022,0.973
15:38:05:746,0.9678,0.0542,0.1032,0.975
15:38:05:751,0.9739,0.0540,0.0985,0.980
15:38:05:757,0.9780,0.0542,0.0888,0.984
15:38:05:763,0.9795,0.0515,0.0851,0.985
15:38:05:766,0.9795,0.0496,0.0939,0.985
15:38:05:771,0.9778,0.0525,0.1056,0.985
15:38:05:777,0.9709,0.0588,0.1122,0.979
15:38:05:783,0.9577,0.0659,0.1198,0.967
15:38:05:786,0.9526,0.0718,0.1279,0.964
15:38:05:792,0.9621,0.0713,0.1274,0.973
15:38:05:805,0.9744,0.0662,0.1249,0.985
15:38:05:807,0.9810,0.0620,0.1232,0.991
15:38:05:807,0.9868,0.0598,0.1222,0.996
15:38:05:812,0.9907,0.0596,0.1242,1.000
15:38:05:816,0.9893,0.0603,0.1281,0.999
15:38:05:824,0.9841,0.0603,0.1335,0.995
15:38:05:826,0.9775,0.0603,0.1408,0.989
15:38:05:832,0.9731,0.0613,0.1477,0.986
15:38:05:836,0.9719,0.0630,0.1496,0.985
15:38:05:842,0.9736,0.0647,0.1452,0.987
15:38:05:847,0.9788,0.0608,0.1401,0.991
15:38:05:852,0.9878,0.0557,0.1347,0.998
15:38:05:856,0.9917,0.0540,0.1303,1.002
15:38:05:862,0.9878,0.0542,0.1262,0.997
15:38:05:867,0.9817,0.0522,0.1242,0.991
15:38:05:873,0.9800,0.0491,0.1269,0.989
15:38:05:877,0.9773,0.0513,0.1279,0.987
15:38:05:883,0.9697,0.0564,0.1225,0.979
15:38:05:886,0.9626,0.0584,0.1186,0.972
15:38:05:893,0.9587,0.0566,0.1181,0.968
15:38:05:904,0.9585,0.0537,0.1169,0.967
15:38:05:905,0.9580,0.0525,0.1188,0.967
15:38:05:907,0.9563,0.0532,0.1218,0.965
15:38:05:912,0.9558,0.0537,0.1259,0.966
15:38:05:917,0.9604,0.0505,0.1342,0.971
15:38:05:923,0.9658,0.0513,0.1413,0.977
15:38:05:929,0.9624,0.0569,0.1413,0.974
15:38:05:934,0.9558,0.0603,0.1376,0.968
15:38:05:937,0.9546,0.0606,0.1416,0.967
15:38:05:942,0.9487,0.0606,0.1462,0.962
15:38:05:948,0.9394,0.0598,0.1484,0.953
15:38:05:953,0.9362,0.0610,0.1521,0.950
15:38:05:957,0.9377,0.0603,0.1501,0.952
15:38:05:963,0.9431,0.0569,0.1460,0.956
15:38:05:967,0.9509,0.0522,0.1408,0.963
15:38:05:972,0.9621,0.0481,0.1310,0.972
15:38:05:978,0.9756,0.0434,0.1186,0.984
15:38:05:982,0.9861,0.0430,0.1086,0.993
15:38:05:988,0.9910,0.0459,0.1002,0.997
15:38:05:993,0.9775,0.0488,0.0880,0.983
15:38:06:002,0.9516,0.0476,0.0756,0.956
15:38:06:003,0.9357,0.0420,0.0709,0.939
15:38:06:007,0.9338,0.0371,0.0641,0.937
15:38:06:013,0.9357,0.0346,0.0528,0.938
15:38:06:018,0.9328,0.0317,0.0343,0.934
15:38:06:025,0.9333,0.0263,0.0208,0.934
15:38:06:033,0.9438,0.0236,0.0321,0.945
15:38:06:034,0.9470,0.0310,0.0582,0.949
15:38:06:038,0.9480,0.0408,0.0890,0.953
15:38:06:044,0.9575,0.0386,0.0795,0.962
15:38:06:048,0.9885,0.0361,0.0958,0.994
15:38:06:052,1.0352,0.0510,0.1929,1.054
15:38:06:057,1.0665,0.0593,0.2357,1.094
15:38:06:063,1.0878,0.0620,0.2545,1.119
15:38:06:067,1.0809,0.0564,0.2574,1.113
15:38:06:073,1.0790,0.0574,0.2696,1.114
15:38:06:078,1.0621,0.0527,0.2569,1.094
15:38:06:083,1.0655,0.0579,0.2332,1.092
15:38:06:088,1.0619,0.0552,0.1973,1.081
15:38:06:093,1.0492,0.0464,0.1555,1.062
15:38:06:098,1.0316,0.0400,0.1193,1.039
15:38:06:103,1.0159,0.0324,0.0892,1.020
15:38:06:108,1.0037,0.0278,0.0729,1.007
15:38:06:121,0.9934,0.0241,0.0758,0.997
15:38:06:122,0.9880,0.0200,0.0861,0.992
15:38:06:123,0.9868,0.0153,0.0983,0.992
15:38:06:129,0.9902,0.0095,0.1022,0.996
15:38:06:133,0.9907,0.0026,0.0976,0.996
15:38:06:138,0.9783,-0.0067,0.0870,0.982
15:38:06:143,0.9502,-0.0201,0.0753,0.953
15:38:06:148,0.9238,-0.0370,0.0619,0.927
15:38:06:153,0.9577,-0.0431,-0.0056,0.959
15:38:06:158,1.0127,-0.0169,-0.1095,1.019
15:38:06:163,1.0042,0.0271,-0.1039,1.010
15:38:06:168,0.9707,0.0571,-0.0090,0.972
15:38:06:173,0.9570,0.0645,0.0660,0.961
15:38:06:179,0.9621,0.0549,0.0927,0.968
15:38:06:183,0.9704,0.0518,0.0973,0.977
15:38:06:189,0.9836,0.0518,0.1183,0.992
15:38:06:193,0.9944,0.0576,0.1389,1.006
15:38:06:199,0.9995,0.0672,0.1469,1.013
15:38:06:204,0.9971,0.0747,0.1367,1.009
