time,gFx,gFy,gFz,TgF
17:32:28:743,0.9563,0.0373,0.0360,0.958
17:32:28:743,0.9541,0.0422,0.0592,0.957
17:32:28:745,0.9497,0.0464,0.0631,0.953
17:32:28:752,0.9560,0.0425,0.0545,0.959
17:32:28:754,0.9704,0.0342,0.0497,0.972
17:32:28:760,0.9851,0.0322,0.0575,0.987
17:32:28:769,0.9939,0.0356,0.0648,0.997
17:32:28:772,0.9873,0.0373,0.0616,0.990
17:32:28:775,0.9729,0.0400,0.0558,0.975
17:32:28:780,0.9739,0.0430,0.0526,0.976
17:32:28:785,0.9824,0.0405,0.0506,0.985
17:32:28:790,0.9805,0.0386,0.0465,0.982
17:32:28:796,0.9700,0.0403,0.0367,0.971
17:32:28:800,0.9665,0.0427,0.0198,0.968
17:32:28:805,0.9702,0.0412,0.0054,0.971
17:32:28:811,0.9700,0.0376,0.0013,0.971
17:32:28:815,0.9660,0.0371,0.0035,0.967
17:32:28:821,0.9634,0.0422,0.0054,0.964
17:32:28:825,0.9641,0.0478,0.0057,0.965
17:32:28:831,0.9643,0.0508,0.0066,0.966
17:32:28:835,0.9631,0.0544,0.0103,0.965
17:32:28:840,0.9619,0.0610,0.0142,0.964
17:32:28:845,0.9563,0.0676,0.0215,0.959
17:32:28:853,0.9462,0.0706,0.0323,0.949
17:32:28:857,0.9404,0.0708,0.0413,0.944
17:32:28:860,0.9370,0.0701,0.0489,0.941
17:32:28:866,0.9370,0.0718,0.0567,0.941
17:32:28:871,0.9411,0.0740,0.0626,0.946
17:32:28:875,0.9436,0.0742,0.0665,0.949
17:32:28:881,0.9401,0.0730,0.0673,0.945
17:32:28:885,0.9401,0.0711,0.0675,0.945
17:32:28:891,0.9455,0.0691,0.0748,0.951
17:32:28:897,0.9492,0.0694,0.0890,0.956
17:32:28:900,0.9519,0.0713,0.1049,0.960
17:32:28:905,0.9541,0.0745,0.1134,0.964
17:32:28:912,0.9585,0.0801,0.1134,0.968
17:32:28:916,0.9599,0.0852,0.1086,0.970
17:32:28:921,0.9577,0.0889,0.1015,0.967
17:32:28:925,0.9577,0.0926,0.0993,0.967
17:32:28:932,0.9619,0.0940,0.1044,0.972
17:32:28:935,0.9682,0.0943,0.1164,0.980
17:32:28:942,0.9673,0.1002,0.1281,0.981
17:32:28:956,0.9616,0.1121,0.1318,0.977
17:32:28:957,0.9546,0.1217,0.1318,0.971
17:32:28:958,0.9514,0.1241,0.1323,0.969
17:32:28:961,0.9514,0.1200,0.1325,0.968
17:32:28:967,0.9531,0.1141,0.1406,0.970
17:32:28:973,0.9594,0.1068,0.1528,0.977
17:32:28:975,0.9663,0.1004,0.1682,0.986
17:32:28:983,0.9695,0.0923,0.1834,0.991
17:32:28:986,0.9761,0.0794,0.2022,1.000
17:32:28:991,0.9876,0.0679,0.2168,1.013
17:32:28:997,0.9927,0.0632,0.2264,1.020
17:32:29:001,0.9981,0.0588,0.2327,1.027
