time,gFx,gFy,gFz,TgF
17:22:01:451,0.9998,0.1175,0.1975,1.026
17:22:01:452,0.9902,0.1358,0.1939,1.018
17:22:01:458,0.9802,0.1508,0.1799,1.008
17:22:01:460,0.9770,0.1583,0.1680,1.004
17:22:01:468,0.9761,0.1610,0.1772,1.005
17:22:01:471,0.9746,0.1610,0.1983,1.008
17:22:01:476,0.9746,0.1591,0.2146,1.011
17:22:01:480,0.9770,0.1556,0.2252,1.015
17:22:01:486,0.9775,0.1515,0.2278,1.015
17:22:01:491,0.9729,0.1478,0.2154,1.007
17:22:01:496,0.9685,0.1461,0.1992,1.000
17:22:01:501,0.9624,0.1437,0.1856,0.991
17:22:01:506,0.9590,0.1383,0.1809,0.986
17:22:01:510,0.9607,0.1312,0.1868,0.987
17:22:01:517,0.9612,0.1258,0.1922,0.988
17:22:01:521,0.9580,0.1246,0.1931,0.985
17:22:01:526,0.9521,0.1248,0.1931,0.979
17:22:01:530,0.9453,0.1253,0.1897,0.972
17:22:01:536,0.9392,0.1270,0.1826,0.965
17:22:01:542,0.9348,0.1285,0.1821,0.961
17:22:01:547,0.9333,0.1292,0.1865,0.960
17:22:01:559,0.9318,0.1297,0.1931,0.960
17:22:01:560,0.9308,0.1319,0.1944,0.960
17:22:01:561,0.9318,0.1336,0.1882,0.960
17:22:01:567,0.9348,0.1341,0.1834,0.962
17:22:01:571,0.9348,0.1339,0.1863,0.962
17:22:01:577,0.9335,0.1356,0.1924,0.963
17:22:01:581,0.9340,0.1368,0.1961,0.964
17:22:01:587,0.9367,0.1366,0.1968,0.967
17:22:01:591,0.9409,0.1334,0.1990,0.971
17:22:01:596,0.9438,0.1307,0.2041,0.974
17:22:01:601,0.9448,0.1297,0.2080,0.976
17:22:01:606,0.9470,0.1295,0.2071,0.978
17:22:01:611,0.9516,0.1288,0.2032,0.982
17:22:01:617,0.9580,0.1270,0.1975,0.986
17:22:01:621,0.9604,0.1266,0.1917,0.988
17:22:01:627,0.9587,0.1285,0.1953,0.987
17:22:01:631,0.9592,0.1302,0.2017,0.989
17:22:01:637,0.9602,0.1302,0.2002,0.989
17:22:01:641,0.9594,0.1290,0.1958,0.988
17:22:01:646,0.9580,0.1275,0.1944,0.986
17:22:01:661,0.9580,0.1251,0.1980,0.986
17:22:01:662,0.9602,0.1219,0.2024,0.989
17:22:01:663,0.9638,0.1182,0.2032,0.992
17:22:01:667,0.9648,0.1156,0.1997,0.992
17:22:01:671,0.9646,0.1129,0.1978,0.991
17:22:01:677,0.9675,0.1092,0.1904,0.992
17:22:01:681,0.9712,0.1046,0.1802,0.993
17:22:01:686,0.9719,0.1026,0.1731,0.993
17:22:01:691,0.9700,0.1048,0.1748,0.991
17:22:01:697,0.9673,0.1063,0.1836,0.990
17:22:01:702,0.9646,0.1065,0.1944,0.990
17:22:01:707,0.9624,0.1041,0.2034,0.989
17:22:01:711,0.9629,0.0994,0.2039,0.989
17:22:01:717,0.9626,0.0975,0.1926,0.987
17:22:01:721,0.9604,0.0980,0.1728,0.981
17:22:01:728,0.9568,0.1006,0.1614,0.975
