time,gFx,gFy,gFz,TgF
17:16:36:766,0.9775,0.0222,0.1112,0.984
17:16:36:767,0.9741,0.0249,0.1149,0.981
17:16:36:769,0.9753,0.0263,0.1222,0.983
17:16:36:775,0.9773,0.0283,0.1274,0.986
17:16:36:778,0.9768,0.0293,0.1257,0.985
17:16:36:784,0.9751,0.0298,0.1176,0.983
17:16:36:791,0.9758,0.0293,0.1105,0.982
17:16:36:794,0.9770,0.0290,0.1083,0.983
17:16:36:799,0.9766,0.0312,0.1110,0.983
17:16:36:804,0.9763,0.0346,0.1188,0.984
17:16:36:809,0.9802,0.0351,0.1308,0.990
17:16:36:814,0.9858,0.0327,0.1384,0.996
17:16:36:819,0.9863,0.0317,0.1408,0.997
17:16:36:830,0.9814,0.0307,0.1450,0.993
17:16:36:831,0.9751,0.0302,0.1526,0.987
17:16:36:834,0.9744,0.0295,0.1543,0.987
17:16:36:839,0.9827,0.0298,0.1538,0.995
17:16:36:844,0.9910,0.0293,0.1518,1.003
17:16:36:849,0.9910,0.0258,0.1511,1.003
17:16:36:854,0.9858,0.0219,0.1491,0.997
17:16:36:859,0.9790,0.0212,0.1442,0.990
17:16:36:864,0.9709,0.0219,0.1420,0.982
17:16:36:870,0.9643,0.0227,0.1442,0.975
17:16:36:875,0.9634,0.0222,0.1467,0.975
17:16:36:879,0.9629,0.0180,0.1467,0.974
17:16:36:884,0.9585,0.0183,0.1521,0.971
17:16:36:890,0.9575,0.0234,0.1596,0.971
17:16:36:894,0.9599,0.0246,0.1648,0.974
17:16:36:900,0.9638,0.0217,0.1662,0.978
17:16:36:904,0.9668,0.0200,0.1636,0.981
17:16:36:911,0.9704,0.0173,0.1604,0.984
17:16:36:914,0.9726,0.0136,0.1582,0.986
17:16:36:919,0.9758,0.0087,0.1609,0.989
17:16:36:933,0.9792,0.0078,0.1658,0.993
17:16:36:934,0.9770,0.0107,0.1655,0.991
17:16:36:935,0.9670,0.0124,0.1606,0.980
17:16:36:939,0.9638,0.0122,0.1530,0.976
17:16:36:946,0.9709,0.0146,0.1391,0.981
17:16:36:950,0.9836,0.0141,0.1264,0.992
17:16:36:958,0.9942,0.0119,0.1244,1.002
17:16:36:960,0.9922,0.0095,0.1306,1.001
17:16:36:964,0.9797,0.0131,0.1369,0.989
17:16:36:971,0.9675,0.0207,0.1396,0.978
17:16:36:975,0.9663,0.0229,0.1391,0.977
17:16:36:980,0.9739,0.0266,0.1418,0.984
17:16:36:984,0.9744,0.0236,0.1376,0.984
17:16:36:991,0.9629,0.0207,0.1369,0.973
17:16:36:995,0.9484,0.0266,0.1401,0.959
17:16:37:002,0.9546,0.0312,0.1484,0.967
17:16:37:005,0.9675,0.0283,0.1501,0.979
17:16:37:011,0.9753,0.0241,0.1435,0.986
17:16:37:016,0.9829,0.0222,0.1384,0.993
17:16:37:020,0.9866,0.0236,0.1396,0.997
17:16:37:032,0.9998,0.0210,0.1535,1.012
17:16:37:033,1.0008,0.0082,0.1523,1.012
17:16:37:035,0.9961,0.0060,0.1469,1.007
17:16:37:040,0.9878,0.0109,0.1452,0.998
17:16:37:048,0.9805,0.0129,0.1504,0.992
17:16:37:050,0.9790,0.0109,0.1528,0.991
17:16:37:059,0.9758,0.0112,0.1494,0.987
17:16:37:060,0.9731,0.0126,0.1516,0.985
17:16:37:065,0.9761,0.0036,0.1574,0.989
17:16:37:071,0.9651,-0.0057,0.1464,0.976
17:16:37:077,0.9509,0.0014,0.1320,0.960
17:16:37:080,0.9455,0.0095,0.1235,0.954
17:16:37:085,0.9560,0.0085,0.1247,0.964
17:16:37:091,0.9675,0.0102,0.1271,0.976
17:16:37:095,0.9744,0.0134,0.1320,0.983
17:16:37:100,0.9756,0.0161,0.1425,0.986
17:16:37:105,0.9717,0.0207,0.1572,0.985
17:16:37:111,0.9690,0.0263,0.1694,0.984
17:16:37:116,0.9714,0.0302,0.1763,0.988
17:16:37:121,0.9722,0.0310,0.1834,0.990
17:16:37:131,0.9707,0.0312,0.1900,0.990
17:16:37:133,0.9709,0.0315,0.1912,0.990
17:16:37:136,0.9783,0.0285,0.1895,0.997
17:16:37:142,0.9890,0.0234,0.1875,1.007
17:16:37:145,0.9954,0.0188,0.1885,1.013
17:16:37:150,0.9944,0.0168,0.1904,1.013
17:16:37:158,0.9910,0.0168,0.1904,1.009
17:16:37:160,0.9893,0.0168,0.1875,1.007
17:16:37:165,0.9885,0.0144,0.1831,1.005
17:16:37:173,0.9910,0.0114,0.1809,1.007
17:16:37:176,0.9964,0.0085,0.1797,1.012
17:16:37:181,1.0020,0.0046,0.1814,1.018
17:16:37:185,1.0049,0.0009,0.1880,1.022
17:16:37:192,1.0030,-0.0001,0.1939,1.022
17:16:37:196,1.0086,-0.0037,0.1975,1.028
17:16:37:201,1.0232,-0.0103,0.2181,1.046
17:16:37:206,1.0184,-0.0096,0.2252,1.043
17:16:37:211,1.0105,-0.0042,0.2151,1.033
17:16:37:216,1.0196,-0.0062,0.2034,1.040
17:16:37:221,1.0298,-0.0096,0.2102,1.051
17:16:37:231,1.0208,0.0124,0.2112,1.042
17:16:37:233,1.0276,0.0197,0.2230,1.052
17:16:37:236,1.0345,0.0031,0.2337,1.061
17:16:37:241,1.0132,0.0082,0.2244,1.038
17:16:37:246,0.9844,0.0315,0.2000,1.005
17:16:37:251,0.9822,0.0464,0.1931,1.002
17:16:37:262,0.9944,0.0456,0.1973,1.015
17:16:37:263,0.9868,0.0474,0.2034,1.009
17:16:37:265,0.9744,0.0532,0.2137,0.999
17:16:37:274,0.9717,0.0569,0.2266,0.999
17:16:37:276,0.9824,0.0657,0.2291,1.011
17:16:37:282,0.9873,0.0804,0.2154,1.014
17:16:37:287,0.9868,0.0892,0.2102,1.013
17:16:37:291,0.9819,0.0806,0.2178,1.009
17:16:37:296,0.9780,0.0870,0.2374,1.010
17:16:37:302,0.9626,0.0784,0.2516,0.998
17:16:37:306,0.9538,0.0730,0.2616,0.992
17:16:37:312,0.9448,0.0725,0.2613,0.983
17:16:37:316,0.9404,0.0767,0.2630,0.979
17:16:37:330,0.9504,0.0789,0.2670,0.990
17:16:37:331,0.9546,0.0782,0.2767,0.997
17:16:37:332,0.9709,0.0640,0.2860,1.014
17:16:37:336,0.9861,0.0503,0.2934,1.030
17:16:37:342,0.9829,0.0576,0.2987,1.029
17:16:37:348,1.0005,0.0559,0.3053,1.048
17:16:37:352,1.0284,0.0549,0.2934,1.071
17:16:37:360,1.0355,0.0549,0.2770,1.073
17:16:37:361,1.0188,0.0425,0.2503,1.050
17:16:37:366,0.9981,0.0623,0.2374,1.028
17:16:37:372,1.0071,0.0784,0.2459,1.040
17:16:37:376,1.0152,0.0706,0.2286,1.043
17:16:37:382,1.0093,0.0867,0.2115,1.035
17:16:37:387,1.0012,0.0994,0.2205,1.030
17:16:37:393,0.9944,0.0958,0.2530,1.031
17:16:37:396,0.9790,0.1131,0.2758,1.023
17:16:37:401,0.9602,0.1280,0.2985,1.014
17:16:37:414,0.9594,0.1146,0.3278,1.020
17:16:37:415,0.9726,0.1004,0.3459,1.037
17:16:37:416,0.9854,0.0933,0.3437,1.048
17:16:37:422,0.9858,0.0955,0.3207,1.041
17:16:37:427,0.9832,0.0948,0.2914,1.030
17:16:37:432,0.9785,0.0931,0.2679,1.019
17:16:37:437,0.9729,0.0967,0.2567,1.011
17:16:37:442,0.9685,0.1016,0.2545,1.007
17:16:37:447,0.9709,0.1028,0.2616,1.011
17:16:37:453,0.9810,0.0970,0.2770,1.024
17:16:37:456,0.9964,0.0889,0.2953,1.043
17:16:37:462,1.0071,0.0855,0.3058,1.056
17:16:37:466,1.0132,0.0848,0.3039,1.061
17:16:37:473,1.0228,0.0838,0.2973,1.068
17:16:37:476,1.0289,0.0845,0.2872,1.072
17:16:37:482,1.0230,0.0923,0.2726,1.063
17:16:37:487,1.0157,0.0958,0.2594,1.053
17:16:37:493,1.0098,0.0914,0.2572,1.046
17:16:37:497,1.0042,0.0872,0.2621,1.041
17:16:37:505,0.9981,0.0872,0.2731,1.038
17:16:37:512,0.9880,0.0936,0.2821,1.032
17:16:37:513,0.9670,0.1068,0.2899,1.015
17:16:37:516,0.9484,0.1182,0.3088,1.004
17:16:37:522,0.9260,0.1170,0.2794,0.974
17:16:37:528,0.9079,0.1141,0.2567,0.950
17:16:37:532,0.9066,0.1107,0.2530,0.948
17:16:37:536,0.9150,0.1014,0.2562,0.956
17:16:37:542,0.9203,0.0975,0.2569,0.960
17:16:37:547,0.9296,0.1002,0.2816,0.976
17:16:37:553,0.9506,0.1019,0.3249,1.010
17:16:37:557,0.9282,0.0936,0.2809,0.974
17:16:37:562,0.8983,0.0955,0.2496,0.937
17:16:37:569,0.8856,0.0967,0.2430,0.923
17:16:37:573,0.8837,0.0943,0.2445,0.922
17:16:37:577,0.8859,0.0933,0.2516,0.926
17:16:37:582,0.8883,0.0904,0.2589,0.930
17:16:37:587,0.8893,0.0950,0.2582,0.931
17:16:37:593,0.9049,0.1075,0.2919,0.957
17:16:37:598,0.9218,0.1041,0.2990,0.975
17:16:37:603,0.8952,0.0977,0.2322,0.930
17:16:37:608,0.8712,0.1075,0.1919,0.899
17:16:37:613,0.8558,0.1143,0.1912,0.884
17:16:37:617,0.8516,0.1261,0.2076,0.886
17:16:37:626,0.8519,0.1268,0.2283,0.891
17:16:37:632,0.8424,0.1336,0.2354,0.885
17:16:37:633,0.8394,0.1486,0.2384,0.885
17:16:37:637,0.8433,0.1517,0.2388,0.890
17:16:37:644,0.8560,0.1437,0.2408,0.901
17:16:37:647,0.8751,0.1351,0.2452,0.919
17:16:37:653,0.9008,0.1270,0.2555,0.945
17:16:37:658,0.9233,0.1178,0.2748,0.970
17:16:37:663,0.9389,0.1143,0.2897,0.989
17:16:37:667,0.9484,0.1148,0.2970,1.000
17:16:37:674,0.9548,0.1156,0.2982,1.007
17:16:37:677,0.9604,0.1141,0.2982,1.012
17:16:37:682,0.9614,0.1121,0.2948,1.012
17:16:37:688,0.9590,0.1085,0.2865,1.007
17:16:37:693,0.9568,0.1075,0.2811,1.003
17:16:37:697,0.9558,0.1102,0.2858,1.004
17:16:37:702,0.9555,0.1160,0.3315,1.018
17:16:37:707,0.9401,0.1156,0.3361,1.005
17:16:37:714,0.8917,0.1266,0.2951,0.948
17:16:37:717,0.8656,0.1451,0.2811,0.922
17:16:37:728,0.8570,0.1542,0.2904,0.918
17:16:37:729,0.8494,0.1681,0.3022,0.917
17:16:37:733,0.8406,0.1803,0.3132,0.915
17:16:37:744,0.8316,0.1889,0.3273,0.913
17:16:37:745,0.8228,0.1928,0.3366,0.910
17:16:37:747,0.8206,0.1923,0.3393,0.909
17:16:37:754,0.8230,0.1926,0.3422,0.912
17:16:37:758,0.8265,0.1957,0.3513,0.919
17:16:37:764,0.8292,0.1994,0.3640,0.927
17:16:37:768,0.8255,0.2033,0.3770,0.930
17:16:37:774,0.8096,0.2126,0.3872,0.922
17:16:37:778,0.7891,0.2248,0.3926,0.910
17:16:37:783,0.7768,0.2290,0.3972,0.902
17:16:37:789,0.7727,0.2229,0.4004,0.898
17:16:37:794,0.7656,0.2326,0.4016,0.895
17:16:37:798,0.7612,0.2400,0.3911,0.889
17:16:37:803,0.7651,0.2419,0.3745,0.886
17:16:37:809,0.7737,0.2388,0.3576,0.885
17:16:37:814,0.7837,0.2287,0.3559,0.891
17:16:37:818,0.8162,0.1974,0.3875,0.925
17:16:37:826,0.7891,0.2273,0.3149,0.879
17:16:37:832,0.7695,0.2634,0.2760,0.859
17:16:37:833,0.7876,0.2534,0.2863,0.875
17:16:37:842,0.8238,0.2295,0.3110,0.910
17:16:37:843,0.8345,0.2216,0.3171,0.920
17:16:37:848,0.8089,0.2375,0.3249,0.903
17:16:37:854,0.7954,0.2436,0.3454,0.901
17:16:37:858,0.7827,0.2388,0.3738,0.900
17:16:37:863,0.7571,0.2168,0.4029,0.885
17:16:37:868,0.7426,0.1918,0.4134,0.871
17:16:37:873,0.7563,0.1752,0.3955,0.871
17:16:37:879,0.7837,0.1708,0.3574,0.878
17:16:37:883,0.8135,0.1781,0.3303,0.896
17:16:37:889,0.8355,0.1823,0.3295,0.916
17:16:37:894,0.8553,0.1757,0.3440,0.938
17:16:37:898,0.8688,0.1652,0.3618,0.955
17:16:37:904,0.8768,0.1596,0.3706,0.965
17:16:37:908,0.8810,0.1569,0.3738,0.970
17:16:37:914,0.8920,0.1520,0.3801,0.981
17:16:37:919,0.9201,0.1473,0.3867,1.009
17:16:37:927,0.9550,0.1432,0.3950,1.043
17:16:37:932,0.9934,0.1329,0.4156,1.085
17:16:37:934,1.0284,0.1248,0.4361,1.124
17:16:37:943,1.0330,0.1251,0.4383,1.129
17:16:37:944,1.0330,0.1256,0.4354,1.128
17:16:37:949,1.0770,0.1173,0.4478,1.172
17:16:37:954,1.1552,0.1090,0.4752,1.254
17:16:37:958,1.2017,0.1158,0.5043,1.308
17:16:37:964,1.1765,0.1336,0.5050,1.287
17:16:37:969,1.1200,0.1417,0.4708,1.223
17:16:37:975,1.1034,0.1244,0.4334,1.192
17:16:37:979,1.1408,0.0901,0.4251,1.221
17:16:37:983,1.1838,0.0613,0.4280,1.260
17:16:37:989,1.2080,0.0469,0.4139,1.278
